"short" "het" "long"
"1" "CFD03-003" "CFD02-003" "CFD02-003"
"2" "CFD03-004" "CFD02-006" "CFD02-006"
"3" "CFD03-005" "CFD02-010" "CFD02-010"
"4" "CFD03-006" "CFD02-024" "CFD02-024"
"5" "CFD03-016" "CFD02-036" "CFD02-027"
"6" "CFD03-020" "CFD02-038" "CFD02-036"
"7" "CFD03-021" "CFD02-047" "CFD02-038"
"8" "CFD03-038" "CFD02-048" "CFD02-041"
"9" "CFD03-040" "CFD02-051" "CFD02-047"
"10" "CFD03-041" "CFD02-053" "CFD02-048"
"11" "CFD03-043" "CFD02-057" "CFD02-051"
"12" "CFD03-044" "CFD02-059" "CFD02-053"
"13" "CFD03-046" "CFD02-061" "CFD02-057"
"14" "CFD03-047" "CFD02-063" "CFD02-059"
"15" "CFD03-048" "CFD02-069" "CFD02-060"
"16" "CFD03-051" "CFD02-072" "CFD02-061"
"17" "CFD03-052" "CFD02-073" "CFD02-063"
"18" "CFD03-054" "CFD02-074" "CFD02-069"
"19" "CFD03-056" "CFD02-075" "CFD02-072"
"20" "CFD03-057" "CFD02-076" "CFD02-073"
"21" "CFD03-058" "CFD02-077" "CFD02-074"
"22" "CFD03-059" "CFD02-078" "CFD02-075"
"23" "CFD03-060" "CFD02-079" "CFD02-076"
"24" "CFD03-062" "CFD02-085" "CFD02-077"
"25" "CFD03-064" "CFD02-086" "CFD02-078"
"26" "CFD03-065" "CFD02-091" "CFD02-079"
"27" "CFD03-066" "CFD02-092" "CFD02-081"
"28" "CFD03-067" "CFD02-095" "CFD02-082"
"29" "CFD03-069" "CFD02-097" "CFD02-085"
"30" "CFD03-070" "CFD02-099" "CFD02-086"
"31" "CFD03-071" "CFD02-100" "CFD02-090"
"32" "CFD03-075" "CFD02-101" "CFD02-091"
"33" "CFD03-077" "CFD02-102" "CFD02-092"
"34" "CFD03-079" "CFD02-103" "CFD02-095"
"35" "CFD03-080" "CFD02-105" "CFD02-097"
"36" "CFD03-082" "CFD02-106" "CFD02-098"
"37" "CFD03-084" "CFD02-301" "CFD02-099"
"38" "CFD03-304" "CFD02-302" "CFD02-100"
"39" "CFD03-305" "CFD02-303" "CFD02-101"
"40" "CFD03-306" "CFD02-304" "CFD02-102"
"41" "CFD03-307" "CFD02-306" "CFD02-103"
"42" "CFD03-308" "CFD02-309" "CFD02-104"
"43" "CFD03-309" "CFD02-311" "CFD02-105"
"44" "CFD03-310" "CFD02-312" "CFD02-106"
