"","DMY","DMC","PH","DtTAS","DtSILK"
"CFD02-003",200.880009464682,30.4284513805702,307.983295395007,85.8911303818312,88.3777268460464
"CFD02-006",191.969922249973,33.3329977366827,279.661943203901,83.1116121866485,84.4910385245489
"CFD02-010",207.865890530196,32.0689598514901,300.088469811975,84.9933841508546,85.783083189623
"CFD02-024",195.001548277169,32.179900762212,290.242366170433,83.6116655027878,86.4829819594598
"CFD02-027",207.887431410857,34.3852568549468,296.316712276825,81.0337018228465,81.0233594370379
"CFD02-036",195.872706023198,33.5870453209527,292.872486739147,82.0347020157254,84.4284491157583
"CFD02-038",209.600489389522,34.4591378797211,306.853935130457,83.7795494579334,86.4240899449523
"CFD02-041",174.157930860107,33.9277927399787,283.549383481018,81.069374104152,82.9614273371034
"CFD02-047",189.93601375952,35.6567190151933,299.063602524831,83.1227368713594,85.048413552441
"CFD02-048",201.59204985429,31.9586278169993,296.861704362305,85.6358648146868,86.3851801167932
"CFD02-051",183.01191266758,36.3504611484943,275.074923726354,81.9214360750634,82.1814264344618
"CFD02-053",199.459442590116,31.9278194020576,294.200482910683,85.3939295593569,85.242012413662
"CFD02-057",192.208642387034,33.5277534801187,297.461102302467,82.8543131777143,85.4078224647026
"CFD02-059",190.536558044992,34.0060225546288,284.615325776001,84.5360626495071,86.798147950869
"CFD02-060",191.732653244841,33.4894767944433,297.74200230215,83.8848643035523,85.1171224491752
"CFD02-061",218.149765678771,32.2282574505325,309.864894738017,84.455793504624,86.4043065440518
"CFD02-063",169.709943295845,37.3471103151629,283.333934416329,82.7463488632992,83.7148768546329
"CFD02-069",200.111528853323,33.5402902989057,293.492650559295,84.9102440373292,86.7710578716656
"CFD02-072",198.707489845505,31.8306628841577,300.425034113187,82.945022432526,86.8939712576786
"CFD02-073",212.593699366712,33.9549397937155,305.780023845075,84.023105276854,86.1954387151155
"CFD02-074",194.285484173977,31.7376584501298,300.594590524087,83.9954792401374,86.9071830979861
"CFD02-075",185.789966495046,32.7930063913124,285.818128250932,82.6594126325003,86.1234329854392
"CFD02-076",165.65408545814,35.2038653687699,279.613949418395,81.6018475665388,83.0862300788628
"CFD02-077",218.226290383174,34.2363209951154,299.270759811506,82.9603841957708,83.3076821171401
"CFD02-078",202.723923681636,30.7244478243616,300.754433878985,83.6978769608193,86.588204026306
"CFD02-079",177.413070529655,34.0433094423844,280.589202975678,80.9629639138871,84.5135818429927
"CFD02-081",201.781674595857,32.8859222572097,293.266286527793,83.6566049035536,86.2712368674514
"CFD02-082",190.137621988383,31.2765164777914,301.599497375099,83.8209228032777,86.5107327644037
"CFD02-085",181.504308665868,34.4901307122058,284.811030703309,82.7099690658584,84.5805989790715
"CFD02-086",217.994249154389,32.6802909009419,301.333018664775,84.7202921242714,86.5221587794111
"CFD02-090",189.405342452001,32.7246748901593,293.99378103521,85.1186764721746,85.2043658408595
"CFD02-091",208.961710137904,31.9933535098612,307.130122592854,85.3009508357958,88.1273878697763
"CFD02-092",186.856444777079,33.027791031038,285.166853877156,83.5129546688433,85.3330243348888
"CFD02-095",198.796130805948,31.4693856582442,291.528444719448,84.6559729283423,85.587494432397
"CFD02-097",146.664433392267,30.7005339809453,289.667976094072,86.4751925032385,86.6059814916157
"CFD02-098",190.012639539805,33.7654791904926,292.335571717823,82.4291559068986,85.9244343537408
"CFD02-099",204.219185134966,30.561830762596,314.980059419895,84.6439875906478,88.2558719227066
"CFD02-100",199.964312949841,32.8566632969578,294.236422856833,85.1256301428593,85.1567222104969
"CFD02-101",205.253855328898,33.3110265273628,297.895739378464,83.758965271649,85.0121251457579
"CFD02-102",205.608986610697,32.3672194140285,300.900098880435,85.0770157969077,85.8802944393493
"CFD02-103",200.106454160425,31.9153688376819,299.216682385094,83.7573658218407,85.8486095942738
"CFD02-104",185.134821830439,34.2944096891867,285.734424034996,81.2790891915264,83.2635794388059
"CFD02-105",175.568088867273,33.5395413933593,272.054356801715,82.2133739161282,84.3312072146509
"CFD02-106",193.082813369298,33.369056680289,300.246213461347,83.1227733077404,84.371654611199
"CFD02-301",206.112506287851,34.5825134835826,292.140364418179,83.2569950112212,84.2806406387979
"CFD02-302",193.097119591093,33.6849061256315,292.13501199481,84.1477241427465,84.8063600458073
"CFD02-303",185.961702648233,32.3728095268952,284.3776529303,83.3769928914641,85.41358261872
"CFD02-304",189.141153288512,34.7579710494594,290.65704601649,82.1771023012394,83.941330813306
"CFD02-305",179.807284736249,34.400234877253,293.288497132795,81.0730199865094,81.5554758996972
"CFD02-306",189.040390093954,36.0640472637561,288.089624515947,82.8799490216911,85.376930710621
"CFD02-308",186.097953153392,33.1019947609099,293.701227916709,85.1125397244347,86.9478658367848
"CFD02-309",200.510931360607,33.7796963949899,291.494659073354,83.3060276443238,85.3014649228539
"CFD02-311",191.04457853586,33.0263976427092,297.063830189592,83.2198874053274,86.4020107672345
"CFD02-312",185.534792692645,31.5130760681607,297.955053926909,82.8748887687565,85.552078357737
"CFD02-313",174.021697327925,32.1081561600087,290.672823493653,83.6252810562314,87.9966690571079
"CFD02-314",203.743608488732,31.8098811144629,302.138213348562,84.8401218422246,86.333258878293
"CFD02-315",188.718252154594,33.504415323854,299.23968568054,83.3352925182635,86.4664910965959
"CFD02-316",179.137628096871,33.7068466490562,291.961844328441,82.667268659788,85.9233718166678
"CFD02-317",191.697090144218,30.9381888066933,300.724950406301,84.9888898977948,88.1513998628684
"CFD02-318",195.814089250419,32.909634324033,296.627718370181,83.256592426596,85.2024963888209
"CFD02-319",180.37524238082,32.3710119908448,293.765750917136,86.6857672536224,87.3388148131114
"CFD02-320",201.308983867563,31.5877682257242,301.983807192404,83.7910931539488,87.0551258859674
"CFD02-321",194.519505922217,33.3209740556019,310.859888429787,83.8444810898874,86.8549123778047
"CFD02-322",192.737246342445,30.8032276811513,308.569134569689,83.6571343612381,87.6604586347653
"CFD03-003",189.339410456818,38.0976250223993,301.224801679949,81.4880011626821,83.1008832184137
"CFD03-004",186.245267281125,36.3269982301557,291.29083867254,81.944677099269,82.7872050862286
"CFD03-005",202.618464176877,35.0228003069884,300.440437799326,83.5617026230109,84.3156613896897
"CFD03-006",175.108098860737,33.0637479689143,298.797010488258,82.4384951327008,83.7264944894246
"CFD03-016",211.378350093345,36.3689165481727,308.489078732505,82.7595013687676,84.3451690195616
"CFD03-017",187.40162172041,36.2864106204579,293.362260688945,81.4104623051082,81.5512163374813
"CFD03-020",190.812895718028,30.9041907525018,279.008347513702,83.6552332152399,85.8963402995921
