Genotype,Population,Pedigree,Tester,Plotcode,LOC,IncBlockNo.,Rep,DMY,DMC,PH,DtTAS,DtSILK,NBPL
CFD10-089,CFD10,F353 x UH250,UH007,1,INR,B1,R1,157,41.9,257,86,84,80
CFD05-026,CFD05,F353 x EC169,UH007,2,INR,B1,R1,164.5,42.7,250,84,84,80
CFD11-337,CFD11,F353 x UH304,UH007,3,INR,B1,R1,203.8,38.6,242,86,85,78
CFD06-347,CFD06,F353 x F252,UH007,4,INR,B1,R1,189.1,42.2,261,85,86,79
CFD02-302,CFD02,F353 x B73,UH007,5,INR,B1,R1,169.1,38.9,258,87,87,80
CFD07-076,CFD07,F353 x F618,UH007,6,INR,B1,R1,183.8,42.8,248,86,86,80
A287,NA,NA,UH007,7,INR,B1,R1,256,37.5,253.5,89,90,80
CFD12-304,CFD12,F353 x W117,UH007,8,INR,B1,R1,121,40.5,232,84,85,52
CFD04-087,CFD04,F353 x D09,UH007,9,INR,B1,R1,214.6,42.8,241,83,84,79
CFD12-019,CFD12,F353 x W117,UH007,10,INR,B1,R1,162.3,40.3,229,86,86,73
CFD10-315,CFD10,F353 x UH250,UH007,11,INR,B2,R1,185,41.8,252,86,86,76
CFD02-314,CFD02,F353 x B73,UH007,12,INR,B2,R1,199.7,38.5,254,88,88,80
CFD08-350,CFD08,F353 x F98902,UH007,13,INR,B2,R1,187,39.4,249,86,86,78
CFD07-330,CFD07,F353 x F618,UH007,14,INR,B2,R1,200.5,40.1,258,87,87,80
CFD04-101,CFD04,F353 x D09,UH007,15,INR,B2,R1,180.6,45.6,243,83,83,73
CFD07-112,CFD07,F353 x F618,UH007,16,INR,B2,R1,196.6,38.7,255,89,88,80
CFD04-345,CFD04,F353 x D09,UH007,17,INR,B2,R1,188.5,40.5,253,86,86,78
CFD02-315,CFD02,F353 x B73,UH007,18,INR,B2,R1,164.3,35,258,89,89,79
CFD09-077,CFD09,F353 x Mo17,UH007,19,INR,B2,R1,190.4,36.7,273,88,88,79
CFD11-320,CFD11,F353 x UH304,UH007,20,INR,B2,R1,174.6,40.3,266,83,83,80
CFD08-368,CFD08,F353 x F98902,UH007,21,INR,B3,R1,157.8,41.1,253,86,85,78
CFD10-327,CFD10,F353 x UH250,UH007,22,INR,B3,R1,191.5,38.5,268,86,86,78
A287,NA,NA,UH007,23,INR,B3,R1,230.8,35.4,262.5,91,92,80
CFD11-319,CFD11,F353 x UH304,UH007,24,INR,B3,R1,188,42.6,241,85,84,77
CFD02-036,CFD02,F353 x B73,UH007,25,INR,B3,R1,178.7,40,260,86,86,80
CFD09-105,CFD09,F353 x Mo17,UH007,26,INR,B3,R1,137.7,30.2,252,94,97,77
CFD10-062,CFD10,F353 x UH250,UH007,27,INR,B3,R1,163.2,39.6,243,86,86,75
CFD03-301,CFD03,F353 x D06,UH007,28,INR,B3,R1,160.9,44.2,250,83,83,78
CFD03-342,CFD03,F353 x D06,UH007,29,INR,B3,R1,189.4,41.9,251,83,85,73
CFD06-340,CFD06,F353 x F252,UH007,30,INR,B3,R1,158.9,45.3,239,84,85,79
CFD06-065,CFD06,F353 x F252,UH007,31,INR,B4,R1,179.2,43.5,253,83,83,76
CFD07-332,CFD07,F353 x F618,UH007,32,INR,B4,R1,231.3,37.8,270,89,88,79
CFD10-309,CFD10,F353 x UH250,UH007,33,INR,B4,R1,172.6,40.2,251,84,84,72
CFD08-038,CFD08,F353 x F98902,UH007,34,INR,B4,R1,200.9,37.3,261,87,88,79
CFD04-319,CFD04,F353 x D09,UH007,35,INR,B4,R1,188.9,38.7,255,83,83,70
CFD07-125,CFD07,F353 x F618,UH007,36,INR,B4,R1,191.8,36.7,255,92,92,75
CFD03-043,CFD03,F353 x D06,UH007,37,INR,B4,R1,202.5,37.5,277,86,86,80
CFD10-039,CFD10,F353 x UH250,UH007,38,INR,B4,R1,118.6,40.6,242,83,85,80
CFD04-096,CFD04,F353 x D09,UH007,39,INR,B4,R1,240.5,38.3,277,86,86,80
CFD12-318,CFD12,F353 x W117,UH007,40,INR,B4,R1,171.7,41.4,253,83,83,80
CFD07-119,CFD07,F353 x F618,UH007,41,INR,B5,R1,190.4,36.7,268,87,87,78
CFD08-309,CFD08,F353 x F98902,UH007,42,INR,B5,R1,206.9,42.4,257,83,81,79
CFD11-009,CFD11,F353 x UH304,UH007,43,INR,B5,R1,186.5,37.6,254,87,87,78
CFD11-029,CFD11,F353 x UH304,UH007,44,INR,B5,R1,205.9,36.6,259,88,87,72
CFD10-008,CFD10,F353 x UH250,UH007,45,INR,B5,R1,151.3,40.1,250,85,85,79
CFD09-332,CFD09,F353 x Mo17,UH007,46,INR,B5,R1,169.9,31.7,266,93,94,79
CFD07-106,CFD07,F353 x F618,UH007,47,INR,B5,R1,193.9,37,259,88,89,80
CFD06-089,CFD06,F353 x F252,UH007,48,INR,B5,R1,152.7,41.5,248,83,84,79
CFD11-349,CFD11,F353 x UH304,UH007,49,INR,B5,R1,199.5,41.1,252,87,87,80
CFD06-059,CFD06,F353 x F252,UH007,50,INR,B5,R1,176.4,45.3,244,84,84,74
CFD02-082,CFD02,F353 x B73,UH007,51,INR,B6,R1,169.6,37.2,267,87,88,80
CFD08-359,CFD08,F353 x F98902,UH007,52,INR,B6,R1,196.8,40,249,86,86,80
CFD07-303,CFD07,F353 x F618,UH007,53,INR,B6,R1,192.6,42.6,259,86,86,80
CFD03-065,CFD03,F353 x D06,UH007,54,INR,B6,R1,208,42.4,270,85,85,79
CFD12-093,CFD12,F353 x W117,UH007,55,INR,B6,R1,163.8,42.8,232,84,84,78
EC169,EC169,EC169,UH007,56,INR,B6,R1,150.2,44,244,84,85,78
CFD04-337,CFD04,F353 x D09,UH007,57,INR,B6,R1,189.5,40.5,252,86,85,79
CFD08-302,CFD08,F353 x F98902,UH007,58,INR,B6,R1,186.3,38.5,238,86,86,76
CFD11-324,CFD11,F353 x UH304,UH007,59,INR,B6,R1,203.4,40.9,257,84,83,79
CFD04-063,CFD04,F353 x D09,UH007,60,INR,B6,R1,190.3,39,257,83,83,80
CFD12-336,CFD12,F353 x W117,UH007,61,INR,B7,R1,166.7,37.1,264,86,86,80
CFD03-070,CFD03,F353 x D06,UH007,62,INR,B7,R1,216,40.6,277,83,84,74
CFD11-055,CFD11,F353 x UH304,UH007,63,INR,B7,R1,201.6,39.9,260,85,85,79
CFD08-330,CFD08,F353 x F98902,UH007,64,INR,B7,R1,181.2,38.6,244,84,84,84
CFD06-338,CFD06,F353 x F252,UH007,65,INR,B7,R1,178.1,43.5,249,83,83,80
CFD11-308,CFD11,F353 x UH304,UH007,66,INR,B7,R1,209.5,40.7,265,84,84,80
CFD03-321,CFD03,F353 x D06,UH007,67,INR,B7,R1,175.6,42.2,253,83,83,78
CFD06-044,CFD06,F353 x F252,UH007,68,INR,B7,R1,188,42.6,263,83,83,76
CFD08-318,CFD08,F353 x F98902,UH007,69,INR,B7,R1,167,41.6,249,86,86,73
CFD06-341,CFD06,F353 x F252,UH007,70,INR,B7,R1,222.9,43.3,265,87,84,80
CFD12-340,CFD12,F353 x W117,UH007,71,INR,B8,R1,159.9,40.8,241,85,86,80
CFD04-309,CFD04,F353 x D09,UH007,72,INR,B8,R1,196.1,44.3,243,83,83,80
CFD10-113,CFD10,F353 x UH250,UH007,73,INR,B8,R1,139.6,40.9,243,85,85,79
A287,NA,NA,UH007,74,INR,B8,R1,270.2,39.2,263,89,90,80
CFD03-303,CFD03,F353 x D06,UH007,75,INR,B8,R1,151.2,41.7,228,82,79,72
CFD09-078,CFD09,F353 x Mo17,UH007,76,INR,B8,R1,139.4,42,251,84,84,73
CFD07-072,CFD07,F353 x F618,UH007,77,INR,B8,R1,203.4,40.9,243,86,86,80
CFD06-004,CFD06,F353 x F252,UH007,78,INR,B8,R1,169.2,45.8,232,80,79,80
CFD02-085,CFD02,F353 x B73,UH007,79,INR,B8,R1,157.3,40,237,86,85,80
CFD07-010,CFD07,F353 x F618,UH007,80,INR,B8,R1,197.6,39.1,261,84,83,80
CFD05-303,CFD05,F353 x EC169,UH007,81,INR,B9,R1,174.5,42.5,233,83,83,80
CFD10-033,CFD10,F353 x UH250,UH007,82,INR,B9,R1,154.5,42.6,246,83,83,80
CFD07-326,CFD07,F353 x F618,UH007,83,INR,B9,R1,217.6,37,251,89,89,78
CFD03-305,CFD03,F353 x D06,UH007,84,INR,B9,R1,170.1,39.5,248,83,83,79
CFD03-077,CFD03,F353 x D06,UH007,85,INR,B9,R1,154.6,41.4,249,83,83,75
CFD06-023,CFD06,F353 x F252,UH007,86,INR,B9,R1,198.3,44.8,251,85,84,80
CFD11-321,CFD11,F353 x UH304,UH007,87,INR,B9,R1,187.9,44.6,242,83,83,80
CFD09-317,CFD09,F353 x Mo17,UH007,88,INR,B9,R1,147.1,41,239,87,86,77
CFD10-002,CFD10,F353 x UH250,UH007,89,INR,B9,R1,174,44.1,251,86,86,77
A287,NA,NA,UH007,90,INR,B9,R1,258.4,38.3,244,NA,NA,80
A287,NA,NA,UH007,91,INR,B10,R1,223.7,36.8,257,90,90,80
CFD11-026,CFD11,F353 x UH304,UH007,92,INR,B10,R1,188.2,43.7,253,86,84,77
CFD04-003,CFD04,F353 x D09,UH007,93,INR,B10,R1,176.8,44.8,238,81,79,80
A287,NA,NA,UH007,94,INR,B10,R1,253,38.8,247,89,90,80
CFD03-063,CFD03,F353 x D06,UH007,95,INR,B10,R1,168.4,45.1,244,83,83,79
CFD06-346,CFD06,F353 x F252,UH007,96,INR,B10,R1,132,44.4,225,83,83,65
CFD02-041,CFD02,F353 x B73,UH007,97,INR,B10,R1,159.3,39.7,239,83,83,79
CFD03-314,CFD03,F353 x D06,UH007,98,INR,B10,R1,187.1,40.8,250,84,84,76
CFD10-316,CFD10,F353 x UH250,UH007,99,INR,B10,R1,186.3,39.7,256,85,84,73
