N.QTL	p.ts	p.vs	bias
1	14.27	9.97	0.3
2	30.98	22.7	0.27
3	35.96	15.19	0.58
1	11.77	8.63	0.27
3	32.07	12.69	0.6
2	26.24	17.07	0.35
0	0	0	NA
1	10.75	8.54	0.21
2	29.58	7.94	0.73
0	0	0	NA
0	0	0	NA
1	10.36	17.97	-0.73
2	30.12	6.76	0.78
0	0	0	NA
2	20.28	20.57	-0.01
1	14.45	30.65	-1.12
0	0	0	NA
1	18.45	9.52	0.48
2	31.95	13.65	0.57
3	36.08	14.7	0.59
1	17.14	11.76	0.31
0	0	0	NA
3	37.09	2.14	0.94
3	30.01	12.67	0.58
1	13.06	7	0.46
5	59.8	8.8	0.85
0	0	0	NA
3	32.61	2.48	0.92
3	40.43	22.17	0.45
1	11.64	27.06	-1.33
1	19.25	16.25	0.16
3	38.49	13.74	0.64
0	0	0	NA
2	26.54	23.56	0.11
2	21.85	14.15	0.35
2	17.73	18.64	-0.05
1	15.35	10.03	0.35
3	33.49	21.42	0.36
2	27.06	16.65	0.38
0	0	0	NA
2	25.78	4.87	0.81
1	10.79	11.2	-0.04
3	39.81	12.47	0.69
2	25.04	21.55	0.14
0	0	0	NA
1	15.49	13.08	0.16
3	31.14	19.3	0.38
1	11.77	8.79	0.25
1	20.07	30.09	-0.5
4	41.31	10.96	0.73
1	10.49	25.48	-1.43
2	25.74	8.64	0.66
0	0	0	NA
2	22.13	20.75	0.06
1	14.25	6.09	0.57
2	27.11	6.49	0.76
2	25.26	19.79	0.22
3	36.06	11.07	0.69
1	24	6.56	0.73
1	12.7	20.62	-0.62
3	41.48	9.94	0.76
2	26.19	22.53	0.14
2	23.9	9.97	0.58
0	0	0	NA
2	19.49	12.72	0.35
2	25.36	9.41	0.63
3	37.5	17.69	0.53
0	0	0	NA
0	0	0	NA
1	16.77	8.4	0.5
1	15.88	5.65	0.64
0	0	0	NA
1	12.39	21.76	-0.76
1	11.94	26.17	-1.19
3	32.88	12.43	0.62
2	23.54	9.69	0.59
0	0	0	NA
1	13.15	21.45	-0.63
5	62.12	6.12	0.9
1	11.99	11.19	0.07
2	21.54	19.45	0.1
1	8.67	22.16	-1.56
1	14.82	10.36	0.3
2	32.87	23.3	0.29
1	14.07	6.9	0.51
2	20.73	20.54	0.01
3	32.3	29.03	0.1
1	16.05	14.36	0.11
1	10.1	21.5	-1.13
2	27.1	7.32	0.73
0	0	0	NA
1	13.76	13.11	0.05
2	27.82	15.31	0.45
2	22.48	7.91	0.65
1	14.09	12.85	0.09
2	27.56	18.46	0.33
3	36.12	7.58	0.79
1	13.94	7.33	0.47
0	0	0	NA
1	16.12	32.33	-1.01
