N.QTL	p.ts	p.vs	bias
3	31.62	11.18	0.65
3	33.03	29.84	0.1
3	26.59	10.86	0.59
3	31.13	14.85	0.52
1	11.36	4.43	0.61
3	30.66	8.56	0.72
2	22.47	16.25	0.28
2	24.51	6.35	0.74
2	18.17	10.36	0.43
2	20.63	33.09	-0.6
2	19.24	18.6	0.03
2	24.61	13.21	0.46
2	17.73	29.06	-0.64
2	26.41	11.02	0.58
3	29.75	22.97	0.23
1	12.21	14.27	-0.17
3	29.11	15.32	0.47
3	30.63	7.61	0.75
1	12.26	27.28	-1.23
2	23.43	10.89	0.54
2	26.27	22.67	0.14
4	43.42	9.45	0.78
2	21.26	18.22	0.14
2	23.65	12.1	0.49
2	19.88	12.16	0.39
3	25.16	37.56	-0.49
2	20.4	21.86	-0.07
2	19.86	21.39	-0.08
4	45.28	0.57	0.99
2	21.86	18.7	0.14
1	18.02	4.56	0.75
2	23.91	22.09	0.08
2	21.83	26.81	-0.23
2	21.15	22.31	-0.05
2	20.95	14.95	0.29
2	22.47	19.98	0.11
3	34.4	27.62	0.2
1	9.57	29.1	-2.04
1	18.38	3.28	0.82
2	21.28	28.4	-0.33
3	27.92	13.88	0.5
5	42.72	12.8	0.7
1	11.43	18.47	-0.62
3	30.15	8.41	0.72
2	21.04	22.12	-0.05
1	10.79	17.34	-0.61
3	32.11	11.95	0.63
2	24.83	12.5	0.5
2	27.26	6.58	0.76
3	25.49	27.92	-0.1
1	16.11	8.94	0.45
3	33.37	13.61	0.59
2	19.68	13.69	0.3
2	23.98	7.82	0.67
1	16.28	0.78	0.95
2	19.6	27.56	-0.41
3	28.98	9.87	0.66
3	29.55	19.56	0.34
2	23.04	42.85	-0.86
2	17.26	22.4	-0.3
2	20.94	15.06	0.28
1	13.31	10.44	0.22
2	23.85	7.31	0.69
3	31.4	22.26	0.29
3	29.62	35.95	-0.21
3	35.92	5.34	0.85
1	12.65	11.66	0.08
3	28.57	18.23	0.36
2	17.58	17.37	0.01
2	20.6	18.58	0.1
1	13.46	10.95	0.19
2	22.99	37.36	-0.63
2	22.89	18.07	0.21
1	15.42	3.96	0.74
1	10.58	32.36	-2.06
2	24.11	9.32	0.61
3	29.13	22.51	0.23
3	29.14	22.56	0.23
2	22.32	15.97	0.28
2	20.06	32.39	-0.61
4	40.25	22.56	0.44
2	19.82	27.12	-0.37
2	20.9	32.38	-0.55
2	17.9	8.97	0.5
2	24.07	21.04	0.13
3	28.55	23.17	0.19
2	22.33	16.57	0.26
2	21.15	17.97	0.15
3	31.11	17.69	0.43
4	35.43	19.39	0.45
2	21.06	8.48	0.6
3	29.69	23.74	0.2
3	30.13	24.48	0.19
3	29.12	25.84	0.11
2	22.24	17.87	0.2
2	15.71	36.25	-1.31
3	27.68	19.79	0.28
2	27.24	12.19	0.55
2	22.84	33.27	-0.46
0	0	0	NA
