N.QTL	p.ts	p.vs	bias
1	16.1	4.33	0.73
3	31.55	20.21	0.36
2	22.94	20.27	0.12
3	26.41	31.85	-0.21
2	22.67	26.01	-0.15
2	16.4	40.35	-1.46
3	27.02	31.02	-0.15
2	22.86	21.12	0.08
3	23.59	23.8	-0.01
2	24.54	18.32	0.25
3	30.99	15.93	0.49
2	19.13	30.57	-0.6
1	11.92	31.72	-1.66
2	24.79	16.94	0.32
2	17.34	30.31	-0.75
3	23.84	38.51	-0.62
1	14.67	7.53	0.49
3	29.53	32.77	-0.11
3	26.44	25.58	0.03
2	26.7	8.89	0.67
1	11.38	34.55	-2.04
3	30.3	6.95	0.77
2	27.09	11.98	0.56
3	26.67	26.95	-0.01
3	30.56	12.16	0.6
1	12.23	15.75	-0.29
3	31.42	13.8	0.56
0	0	0	NA
2	23.61	15.53	0.34
4	32.96	14.66	0.56
2	25.05	12.24	0.51
1	14.25	5.95	0.58
2	19.01	18.29	0.04
0	0	0	NA
2	23.67	7.53	0.68
0	0	0	NA
2	21.11	20.26	0.04
3	25.63	21.21	0.17
3	27.66	15.9	0.43
2	23.14	5.08	0.78
1	11.29	42.8	-2.79
2	24.03	4.72	0.8
2	24.47	23.08	0.06
3	31.05	8.89	0.71
2	20.56	19.82	0.04
2	23.31	37.41	-0.6
2	23.2	13.59	0.41
2	27.72	10.51	0.62
1	11.14	12.4	-0.11
2	16.52	19.58	-0.18
2	25.19	34.22	-0.36
3	23.31	39.71	-0.7
1	10.71	21.67	-1.02
4	35.83	12.79	0.64
3	27.29	25.62	0.06
3	27.14	26.77	0.01
4	36.72	14.17	0.61
2	20.89	7.89	0.62
2	22.33	15.13	0.32
1	11.17	10.22	0.08
2	23.01	4.38	0.81
2	21.81	20.4	0.06
2	20.53	7.93	0.61
2	22.88	10.72	0.53
0	0	0	NA
1	12.5	11.78	0.06
3	23.67	25.05	-0.06
2	21.93	14.24	0.35
3	34.58	4.88	0.86
2	27.52	11.59	0.58
3	27.93	28.33	-0.01
1	12.33	11.56	0.06
1	12.32	9.07	0.26
2	23.93	8.46	0.65
3	30.78	11.15	0.64
1	12.81	10.33	0.19
2	21.21	14.55	0.31
2	20.4	20.84	-0.02
3	29.16	23.94	0.18
3	32.67	22.75	0.3
1	12.06	21.1	-0.75
3	25.82	40.4	-0.56
3	27.26	7.61	0.72
0	0	0	NA
3	29.66	18.03	0.39
2	25.05	17.77	0.29
2	20.87	15.28	0.27
2	23.85	18.67	0.22
3	34	24.44	0.28
0	0	0	NA
1	10.04	21.84	-1.18
3	31.11	14.66	0.53
4	35.14	11.48	0.67
2	20.01	14.58	0.27
2	21.31	26.31	-0.23
0	0	0	NA
3	27.95	17.4	0.38
3	32.26	23.69	0.27
2	17.31	34.54	-1
2	25.79	18.17	0.3
