N.QTL	p.ts	p.vs	bias
3	37.9	5.37	0.86
2	28.61	18.31	0.36
1	20.92	21.44	-0.02
2	29.74	35.5	-0.19
1	17.29	18.41	-0.06
1	17.38	16.42	0.05
3	41.51	13.32	0.68
0	0	0	NA
2	32.4	8.85	0.73
2	29.63	16.37	0.45
1	15.87	4.86	0.69
0	0	0	NA
2	33.5	6.02	0.82
2	29.88	18.83	0.37
2	33.29	4.72	0.86
2	35.86	10.27	0.71
2	27.19	19.47	0.28
1	16.12	17.67	-0.1
2	30.72	20.29	0.34
3	40.87	17.37	0.57
1	19.73	11.68	0.41
1	15.64	5.33	0.66
3	42.02	5.19	0.88
1	15.04	8.16	0.46
1	14.85	18.95	-0.28
2	31.6	10.39	0.67
1	18.09	5.68	0.69
0	0	0	NA
2	29.35	11.29	0.62
0	0	0	NA
1	16.46	17.7	-0.08
3	39.52	16.74	0.58
1	15.95	23.43	-0.47
2	31.51	13.28	0.58
2	31.08	19.38	0.38
1	18.32	14.44	0.21
0	0	0	NA
3	42.42	13.35	0.69
1	21.52	10.77	0.5
2	30.92	24.29	0.21
1	17.92	10.66	0.4
2	30.91	9.06	0.71
1	14.27	31.64	-1.22
2	27.1	11.56	0.57
1	20.83	11.75	0.44
4	55.52	18.38	0.67
1	16.77	19.04	-0.14
2	29.63	7.11	0.76
1	17.06	11.37	0.33
1	21.05	10.5	0.5
1	19.94	14.64	0.27
0	0	0	NA
1	17.43	17.75	-0.02
1	16.16	20.55	-0.27
4	46.4	20.29	0.56
1	18.94	17.65	0.07
2	33.82	6.19	0.82
3	39.28	11.23	0.71
0	0	0	NA
1	23.39	3.33	0.86
3	38.34	18.46	0.52
1	14.78	22.7	-0.54
1	15.5	14.31	0.08
2	31.21	8.19	0.74
1	19.41	16	0.18
1	17.24	30.95	-0.79
1	17.28	13.12	0.24
2	27.14	10.1	0.63
4	56.43	23.11	0.59
1	18.04	14.54	0.19
1	18.43	14.57	0.21
0	0	0	NA
0	0	0	NA
2	28.12	29.1	-0.03
0	0	0	NA
2	29.24	19.01	0.35
1	14.23	13.65	0.04
2	30.22	21.84	0.28
3	45.33	9.59	0.79
1	14.98	27.19	-0.82
1	22.65	7.16	0.68
1	15.74	25.66	-0.63
0	0	0	NA
1	15.53	26.03	-0.68
1	14.63	27.86	-0.9
1	17.58	17.52	0
2	32.83	19.64	0.4
2	29.23	13.98	0.52
2	28.71	22	0.23
0	0	0	NA
2	25.81	19.43	0.25
1	19.16	6.97	0.64
2	31.96	23.7	0.26
2	30.64	7.61	0.75
0	0	0	NA
2	29.09	26.95	0.07
1	16.37	11.17	0.32
2	31.65	6.41	0.8
0	0	0	NA
2	31.69	5.3	0.83
