N.QTL	p.ts	p.vs	bias
4	38.54	28.41	0.26
7	62.46	43.09	0.31
7	65.64	37.56	0.43
6	57.63	31.78	0.45
6	60.26	35.07	0.42
8	68.54	24.46	0.64
8	65.74	46.86	0.29
5	52.16	34.34	0.34
5	52.23	35.5	0.32
4	38.69	19.32	0.5
5	57.53	32.55	0.43
6	59.59	21.32	0.64
7	59.64	33.48	0.44
6	57.57	34.01	0.41
4	40.67	36.17	0.11
7	65.06	29.92	0.54
5	44.39	35.38	0.2
5	48.78	16.98	0.65
8	69.1	38.08	0.45
6	55.81	41.57	0.26
7	61.02	42.87	0.3
7	59.36	21.86	0.63
8	64.4	47.25	0.27
7	64.51	30.41	0.53
4	45.52	19.96	0.56
6	52.5	42.18	0.2
6	57.8	25.69	0.56
7	65.79	36.56	0.44
9	77.14	24.33	0.68
5	51.16	39.51	0.23
6	55.48	43.39	0.22
10	82.17	43.84	0.47
6	58.88	43.36	0.26
9	78.3	35.36	0.55
6	52.9	36.32	0.31
7	65.2	25.12	0.61
6	60.5	44.74	0.26
7	64.46	50.77	0.21
8	71.9	43.85	0.39
7	61.33	49.6	0.19
6	61.62	51.99	0.16
5	43.65	44.35	-0.02
8	68.84	20.44	0.7
7	69.12	39.54	0.43
7	63.78	27.58	0.57
4	43.43	32.08	0.26
7	69.56	30.74	0.56
6	59.36	35.48	0.4
6	59.89	45.19	0.25
7	60.34	47.26	0.22
6	61.46	40.33	0.34
8	70.91	49.1	0.31
7	66.91	35.58	0.47
5	50.87	36.38	0.28
6	62.49	33.77	0.46
5	53.91	36.99	0.31
5	53.27	31.34	0.41
5	44.76	32.39	0.28
7	69.49	36.59	0.47
7	64.15	35.29	0.45
4	44.45	23.64	0.47
6	61.04	42.6	0.3
9	71.84	55.35	0.23
6	58.34	33.66	0.42
8	69.19	42.83	0.38
6	61.46	34.91	0.43
7	69.03	28.47	0.59
6	56.02	49.08	0.12
6	58.47	57.9	0.01
6	57.23	40.28	0.3
7	67.11	25.26	0.62
5	47.84	30.89	0.35
5	51.14	32.73	0.36
7	67.42	49.71	0.26
6	59.13	11.16	0.81
7	60.39	45.1	0.25
6	59.99	47.23	0.21
7	62.77	38	0.39
5	49.39	34.77	0.3
4	46.64	28.65	0.39
7	64.56	58.7	0.09
7	65.25	39.02	0.4
6	63.26	32.24	0.49
5	51.79	32.72	0.37
6	59.65	33.34	0.44
6	58.83	42.93	0.27
7	61.51	40.94	0.33
6	57.73	35	0.39
6	63.72	47.83	0.25
7	64.69	44.36	0.31
5	48.54	42.06	0.13
8	68.66	48.99	0.29
7	68.8	37.24	0.46
7	67.99	23.99	0.65
7	65.05	38.13	0.41
7	58.62	35.34	0.4
9	75.31	44.91	0.4
6	58.85	50.6	0.14
7	68.53	32.5	0.53
7	63.41	37.49	0.41
