N.QTL	p.ts	p.vs	bias
5	45.6	19.57	0.57
5	51.35	17.71	0.66
3	30.49	27.18	0.11
6	63.64	30.4	0.52
4	45.27	19.47	0.57
4	42.94	27.98	0.35
6	55.14	27.74	0.5
6	52.97	19.6	0.63
6	62.82	34.21	0.46
5	55.79	21.32	0.62
4	50.26	30.37	0.4
5	51.41	28.61	0.44
7	68.22	31.66	0.54
5	48.3	22.35	0.54
5	54.64	30.96	0.43
7	62.06	34.88	0.44
7	63.18	29.58	0.53
4	41.1	28.27	0.31
7	62.17	44.1	0.29
4	43.72	15.54	0.64
7	67.01	18	0.73
6	58.09	31.85	0.45
7	65.33	31.65	0.52
5	53.32	36.15	0.32
4	42.67	37.97	0.11
5	45.69	43.06	0.06
8	71.86	41.59	0.42
7	64.2	54.94	0.14
5	57.43	14.68	0.74
5	48.78	47.1	0.03
5	50	28.96	0.42
5	52.92	34.46	0.35
6	65.48	26.51	0.6
5	56.34	29.31	0.48
9	74.05	52.46	0.29
3	35.08	16.95	0.52
3	35.04	17.01	0.51
7	66.16	51.73	0.22
4	42.13	36.05	0.14
6	59.98	12.13	0.8
4	45.72	21.57	0.53
6	55.43	34.02	0.39
7	65.92	16.11	0.76
4	42.11	19.75	0.53
7	59.88	29.21	0.51
6	54.28	32.6	0.4
6	54.49	35.69	0.34
6	55.22	28.64	0.48
7	57.28	30.54	0.47
8	66.72	46	0.31
6	56.8	39.97	0.3
4	42.2	37.3	0.12
6	58.35	26.22	0.55
5	58.61	25.7	0.56
6	54.67	36.93	0.32
4	45.81	21.07	0.54
5	56.34	23.54	0.58
7	65	29.17	0.55
5	49.56	34.26	0.31
6	54.27	29.29	0.46
6	57.1	57.82	-0.01
4	43.48	17.88	0.59
6	58.35	20.81	0.64
5	45.64	25.91	0.43
6	54.63	40.86	0.25
5	51.07	27.33	0.46
9	73.22	38.05	0.48
6	54.65	24.74	0.55
4	42.89	29.32	0.32
6	60.93	52	0.15
5	47.73	40.47	0.15
5	57	32.81	0.42
5	54.07	39.83	0.26
5	51.52	19.54	0.62
5	52.81	18.02	0.66
5	60.6	14.35	0.76
6	63.4	40.16	0.37
6	54.06	33.7	0.38
6	54.06	18.66	0.65
8	70.38	30.44	0.57
7	55.99	39.82	0.29
7	67.86	32.19	0.53
4	43.61	14.72	0.66
4	39.43	46.03	-0.17
5	55.04	28.32	0.49
6	57.74	30.92	0.46
4	43.31	17.49	0.6
5	56.57	9.8	0.83
5	56.08	26.31	0.53
3	36.76	23.85	0.35
6	61.8	25.47	0.59
5	53.64	22.25	0.59
6	55.19	25.36	0.54
6	51.89	28	0.46
8	72.67	49.07	0.32
4	43.61	30.96	0.29
5	56.04	26.13	0.53
4	39.27	28.67	0.27
4	42.41	22.59	0.47
6	56.94	62.89	-0.1
