N.QTL	p.ts	p.vs	bias
7	49.59	28.01	0.44
7	47.32	13.77	0.71
6	43.8	32.01	0.27
5	40.39	11.53	0.71
6	47.24	18.58	0.61
5	39.27	38.41	0.02
6	47.79	28.59	0.4
10	58.58	34.56	0.41
6	47.83	27.34	0.43
7	56.47	22.99	0.59
6	44.9	30.04	0.33
7	49.66	24.87	0.5
9	55.77	36.16	0.35
6	50.37	26.44	0.48
6	50.02	7.16	0.86
7	47.15	39.46	0.16
7	53.59	35.88	0.33
5	41.02	16.56	0.6
7	47.85	27.14	0.43
6	43.7	45.89	-0.05
7	48.27	33.81	0.3
6	45.01	22.87	0.49
7	43.48	44.36	-0.02
6	46.8	22.98	0.51
8	53.12	18.95	0.64
7	47.92	33.78	0.29
7	58.65	27.58	0.53
5	33.82	39.52	-0.17
7	52.19	22.36	0.57
5	39.09	35.43	0.09
6	49.71	24.59	0.51
6	43.57	41.18	0.05
6	40.85	27.01	0.34
10	65.97	29.91	0.55
6	43.04	28.81	0.33
6	41.89	33.99	0.19
7	52.23	33.26	0.36
8	54.73	35.95	0.34
9	56.28	17.13	0.7
8	53.19	30.47	0.43
8	53.2	22.07	0.59
6	44.41	18.28	0.59
9	59.1	19.65	0.67
7	49.25	44.72	0.09
7	47.15	35.13	0.25
4	38.86	22.86	0.41
9	51.95	34.52	0.34
4	37.03	21.18	0.43
7	54.51	20.33	0.63
7	46.66	30.06	0.36
8	49.99	50.09	0
8	43.89	47.98	-0.09
6	54.11	28.27	0.48
4	41.65	15.79	0.62
9	52.35	36.28	0.31
8	49.56	36.99	0.25
7	50.47	42.06	0.17
9	62.17	24.78	0.6
6	46.52	34.92	0.25
5	44.53	20.01	0.55
7	44.57	37.24	0.16
6	47.54	33.33	0.3
8	55.07	40.3	0.27
5	39.38	32.04	0.19
5	42.41	34.76	0.18
6	52.76	14.29	0.73
6	45.46	39.84	0.12
7	52.31	35.41	0.32
6	44.23	13.89	0.69
8	51.23	39.07	0.24
8	56	20.68	0.63
7	45.95	23.84	0.48
5	41.2	28.03	0.32
5	38.02	33.91	0.11
6	51.5	21.43	0.58
6	46.65	40.24	0.14
7	48.07	17.97	0.63
6	47.63	43.68	0.08
7	46.87	29.11	0.38
7	48.13	27.15	0.44
8	54.07	35.02	0.35
5	37.39	36.17	0.03
6	42.65	35.38	0.17
8	60.88	11.64	0.81
9	56.57	20.23	0.64
8	54.74	17.05	0.69
6	38.56	46.86	-0.22
9	57.17	38.21	0.33
6	52.28	23.45	0.55
5	39.89	38.4	0.04
10	59.24	46.76	0.21
7	49.48	27.61	0.44
5	41.39	35.27	0.15
6	42.77	24.3	0.43
5	46.54	29.92	0.36
7	51.98	17.61	0.66
8	55.1	41.56	0.25
8	53.89	32.7	0.39
5	43.87	33.27	0.24
5	38.41	29.3	0.24
