N.QTL	p.ts	p.vs	bias
5	36.21	40.34	-0.11
5	39.45	28.18	0.29
5	40.23	24.41	0.39
6	46.51	25.11	0.46
5	42.76	14.98	0.65
6	47.51	25	0.47
5	42.17	31.14	0.26
4	32.33	31.59	0.02
4	30.04	32.69	-0.09
6	49.61	10.32	0.79
5	43.39	26.3	0.39
8	53.72	25.73	0.52
6	44.8	26.14	0.42
5	40.67	38.39	0.06
4	36.08	19.46	0.46
6	43.64	27.39	0.37
6	41.4	22.73	0.45
6	51.76	17.9	0.65
4	37.83	23.15	0.39
3	30.05	29.16	0.03
6	46.04	28.17	0.39
6	44.66	21.75	0.51
7	47.37	23.88	0.5
7	51.33	17.16	0.67
6	42.38	37.15	0.12
6	47.39	31.83	0.33
3	32.67	14.58	0.55
5	42.56	21.72	0.49
5	36.05	30.26	0.16
6	42.51	43.89	-0.03
5	39.68	15.87	0.6
4	34.23	26.73	0.22
5	42.63	25.84	0.39
4	33.62	25.79	0.23
6	47.07	33.48	0.29
6	47.62	29.87	0.37
6	41.05	46.77	-0.14
4	33.1	31.94	0.04
6	46.25	15.21	0.67
5	41.54	23.64	0.43
6	45.62	38.32	0.16
5	42.25	20.06	0.53
4	38.23	22.99	0.4
7	51.33	25.7	0.5
4	33.77	24.51	0.27
2	25.51	17.29	0.32
4	36.46	23.97	0.34
5	37.63	38.11	-0.01
6	46.45	22.68	0.51
4	39.22	31.18	0.21
4	34.9	32.15	0.08
6	45.16	21.46	0.52
6	51.18	14.63	0.71
7	46.6	33.87	0.27
5	39.59	42.26	-0.07
7	47.53	33.53	0.29
6	48.63	14.7	0.7
8	51.63	24.57	0.52
6	45	34.11	0.24
5	39.32	36	0.08
4	35.78	28.5	0.2
6	44.07	33.98	0.23
7	49.9	24.86	0.5
6	44.91	22.56	0.5
5	42.74	31.42	0.26
9	61.71	17.84	0.71
5	39.35	29.14	0.26
6	43.49	37.05	0.15
2	27.82	17.72	0.36
6	42.46	30.6	0.28
5	44.52	21.47	0.52
4	35.61	32.46	0.09
5	43.93	20.35	0.54
6	37.98	32.67	0.14
5	43.92	24.29	0.45
6	44.56	26.45	0.41
6	42.31	26.53	0.37
5	41.22	41.74	-0.01
6	48.26	13.15	0.73
6	46.56	28.52	0.39
4	36.45	36.03	0.01
5	38.75	32.69	0.16
6	49.07	30.03	0.39
4	38.94	17.87	0.54
5	44.9	29.26	0.35
7	48.25	28.36	0.41
6	47.2	35.62	0.25
8	55.95	19.92	0.64
6	45.88	22.4	0.51
4	34.52	30.1	0.13
5	43.33	27.62	0.36
6	47.27	26.76	0.43
6	46.25	39.22	0.15
7	52.71	19.76	0.63
4	34.83	33.36	0.04
5	39.3	24.46	0.38
7	48.35	34.29	0.29
5	43.33	34.03	0.21
3	32.75	24.84	0.24
6	38.24	19.21	0.5
