N.QTL	p.ts	p.vs	bias
3	43.24	23.75	0.45
4	45.33	31.58	0.3
6	64.51	28.94	0.55
4	49.01	22.05	0.55
6	60.15	23	0.62
5	51.83	25.08	0.52
6	64.3	25.19	0.61
4	41.02	19.43	0.53
3	36.5	17.9	0.51
4	53.96	17.9	0.67
6	54.93	59.1	-0.08
5	52.84	32.31	0.39
5	53.11	37.24	0.3
6	67.12	20.01	0.7
4	46.87	39.55	0.16
7	71.44	35.8	0.5
5	54	33.35	0.38
5	54.33	39.84	0.27
3	40.73	17.74	0.56
2	24.66	20.92	0.15
5	56.77	14.61	0.74
6	62.09	25.46	0.59
6	59.71	29.14	0.51
5	55.74	19.56	0.65
5	56.55	7.82	0.86
5	53.51	36.43	0.32
3	32.21	25.03	0.22
7	73.74	27.56	0.63
6	66.21	25.16	0.62
8	69.58	28.18	0.6
5	53.36	34.42	0.35
5	54.76	35.46	0.35
4	48.65	28.19	0.42
6	65.79	28.7	0.56
4	45.41	17.09	0.62
4	46.22	37.75	0.18
5	54.76	30.13	0.45
4	48.03	31.67	0.34
4	46.95	23.97	0.49
6	64.3	29.16	0.55
8	71.29	25.26	0.65
4	44.58	29.26	0.34
6	60.42	11.67	0.81
5	53.96	30.35	0.44
4	44.92	22.43	0.5
4	48.25	20.52	0.57
5	55.92	22.11	0.6
5	51.75	40.46	0.22
4	45.24	27.74	0.39
4	43.32	21.3	0.51
6	58.71	44.99	0.23
4	46.61	25.94	0.44
5	57.86	27.29	0.53
6	60.02	36.66	0.39
7	67.4	38.96	0.42
5	51.03	39.53	0.23
4	49.2	26.43	0.46
3	43.02	25.84	0.4
6	62.92	20.5	0.67
5	57.04	34.27	0.4
4	47.92	38.74	0.19
3	41.31	20.48	0.5
5	60.72	15.92	0.74
5	51.7	10.37	0.8
5	50.42	18.57	0.63
5	56.57	38.92	0.31
5	51.93	31.76	0.39
5	52.96	41.18	0.22
3	33.6	20.21	0.4
6	64.92	21.77	0.66
5	56.43	34.74	0.38
4	50.57	19.08	0.62
5	51.84	32.28	0.38
5	53	20.43	0.61
7	71.49	39.68	0.44
5	57.22	31.7	0.45
5	61.87	17.73	0.71
5	49.56	46.55	0.06
4	45.57	21.09	0.54
4	46.32	26.97	0.42
5	57.53	19.15	0.67
5	51.37	34.94	0.32
4	45.02	28.53	0.37
6	63.17	20.59	0.67
6	66.55	28.48	0.57
8	79.73	28.96	0.64
3	26.83	29.98	-0.12
4	48.91	29.89	0.39
7	65.91	30.83	0.53
6	62.88	30.79	0.51
3	37.57	43.05	-0.15
3	35.67	20.08	0.44
4	42.21	17.2	0.59
7	72.87	20.45	0.72
6	67.95	24.25	0.64
5	53.48	39.52	0.26
6	57.79	40.39	0.3
5	52.12	18.3	0.65
4	47.45	20.43	0.57
6	63.79	30.32	0.52
