N.QTL	p.ts	p.vs	bias
4	46.08	19.19	0.58
4	48.57	31.17	0.36
4	43.02	26.69	0.38
5	51.35	26.95	0.48
5	57.01	37.24	0.35
5	53.38	13.45	0.75
3	37.29	21.98	0.41
5	55.91	25.55	0.54
5	57.52	30.06	0.48
5	50.6	18.22	0.64
5	54.33	32.06	0.41
4	49.53	5.58	0.89
9	77.91	40.6	0.48
4	51.79	17.56	0.66
8	73.99	14.96	0.8
5	54.52	24.52	0.55
5	52.08	16.6	0.68
7	70.17	43.46	0.38
7	70.35	24.22	0.66
4	45.96	28.87	0.37
4	47.7	14.9	0.69
6	61.15	46.65	0.24
6	62.42	30.24	0.52
8	72.7	39.07	0.46
6	64.81	34.13	0.47
5	49.71	27.78	0.44
6	65.99	25.06	0.62
3	38.72	14.96	0.61
6	61.08	52.56	0.14
5	61.19	23.67	0.61
3	35.88	27.87	0.22
5	55.4	41.56	0.25
4	51.65	23.59	0.54
4	39.88	8.93	0.78
6	65.76	15.54	0.76
6	60.93	16.36	0.73
6	56.97	21.78	0.62
5	58.88	18.96	0.68
6	60.26	36.21	0.4
4	41.43	40.84	0.01
5	47.43	37.79	0.2
6	59.12	40.51	0.31
6	60.97	45.99	0.25
5	59.61	21.06	0.65
4	46.86	17.18	0.63
7	68.16	20.31	0.7
7	67.85	7.52	0.89
4	43.29	27.61	0.36
6	61.46	29.97	0.51
7	63.15	25.87	0.59
5	58.91	24.2	0.59
5	56.67	31.96	0.44
5	55.95	7.67	0.86
5	55.19	26.42	0.52
4	42.04	23.96	0.43
5	53.38	42.08	0.21
7	68.26	41.7	0.39
6	65.04	24.28	0.63
5	57.16	32.96	0.42
6	53.95	29.98	0.44
6	61.74	30.3	0.51
4	46.79	28.24	0.4
6	60.83	24.53	0.6
6	60.93	24.05	0.61
5	57.41	8.92	0.84
5	55.78	37.64	0.33
6	57.26	49.41	0.14
6	59.94	25.3	0.58
2	30.83	16.19	0.47
6	66.5	22.98	0.65
6	64.32	27	0.58
4	46.13	41.15	0.11
6	69.1	6.22	0.91
8	77.28	14.91	0.81
4	47.24	29.05	0.38
6	63.63	33.54	0.47
6	66.84	17.64	0.74
2	24.21	30.83	-0.27
7	65.72	42.39	0.36
5	52.12	20.64	0.6
4	43.33	42.89	0.01
5	50.78	16.95	0.67
6	63.1	4.7	0.93
6	64.09	27.36	0.57
3	34.13	24.95	0.27
4	43.42	36.35	0.16
5	53.23	19.29	0.64
3	39.45	31.98	0.19
6	65.34	20.09	0.69
5	54.18	28.44	0.47
4	45.05	34.53	0.23
3	37.38	30.36	0.19
6	59.01	35.91	0.39
5	62.65	28	0.55
7	66.2	50.49	0.24
4	43.61	25.44	0.42
5	51.7	37.84	0.27
6	65.05	10.45	0.84
6	63.84	29.9	0.53
4	45.86	22.53	0.51
