N.QTL	p.ts	p.vs	bias
2	28.42	7.02	0.75
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	28.58	7.43	0.74
1	15.25	11.16	0.27
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	14.84	5.5	0.63
1	15.84	4.47	0.72
1	9.63	3.84	0.6
1	14.31	6.72	0.53
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	15.05	10.63	0.29
0	0	0	NA
0	0	0	NA
1	13.7	8.4	0.39
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	13.96	2.72	0.81
1	13.6	7.41	0.45
3	41.14	10.81	0.74
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	32.12	8.91	0.72
0	0	0	NA
0	0	0	NA
2	35.5	12.34	0.65
1	15.69	7.55	0.52
4	57.14	9.77	0.83
0	0	0	NA
1	14.72	16.52	-0.12
2	32.5	14.13	0.57
0	0	0	NA
0	0	0	NA
1	12.16	4.89	0.6
1	18.36	11.37	0.38
1	13.04	2.72	0.79
1	17.94	16.24	0.09
1	13.3	13.88	-0.04
0	0	0	NA
2	24.83	8.67	0.65
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	21.04	8.24	0.61
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	18.12	5.91	0.67
0	0	0	NA
0	0	0	NA
1	13.5	14.51	-0.07
0	0	0	NA
0	0	0	NA
2	33.92	12.15	0.64
0	0	0	NA
1	15.75	6.81	0.57
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	29.25	8.2	0.72
0	0	0	NA
0	0	0	NA
1	15.32	1.16	0.92
0	0	0	NA
0	0	0	NA
2	27.01	13.78	0.49
0	0	0	NA
1	19.17	25.54	-0.33
1	13.18	4.38	0.67
0	0	0	NA
2	31.03	1.25	0.96
1	14.4	6.3	0.56
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	11.05	10.73	0.03
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	32.97	15.93	0.52
2	27.4	4.09	0.85
1	17.28	12.15	0.3
