N.QTL	p.ts	p.vs	bias
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	13.8	21.13	-0.53
1	14.5	9.24	0.36
0	0	0	NA
2	22.49	14.55	0.35
2	38.49	17.04	0.56
0	0	0	NA
1	13.84	7.41	0.46
1	14.39	5.51	0.62
1	16.29	3.2	0.8
2	28.21	11.63	0.59
2	24.96	13.93	0.44
0	0	0	NA
1	16.39	23.21	-0.42
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	31.32	9.12	0.71
0	0	0	NA
1	14.89	14.34	0.04
1	15.71	11.98	0.24
2	24.86	17.99	0.28
1	15.19	4.63	0.69
0	0	0	NA
0	0	0	NA
0	0	0	NA
4	53.36	21.46	0.6
0	0	0	NA
3	45.22	19.76	0.56
1	14.47	17.38	-0.2
0	0	0	NA
0	0	0	NA
1	16.81	12.08	0.28
1	12.32	17.16	-0.39
1	14.65	9.18	0.37
1	18.15	7.39	0.59
4	50.7	3.26	0.94
1	13.62	4.1	0.7
0	0	0	NA
1	14.93	22.84	-0.53
0	0	0	NA
1	14.12	11.72	0.17
2	29.22	8.43	0.71
0	0	0	NA
1	16.7	14.08	0.16
2	32.13	2.87	0.91
1	13.17	7.86	0.4
0	0	0	NA
0	0	0	NA
1	18.43	21.98	-0.19
0	0	0	NA
2	26.05	15.39	0.41
2	27.23	24.82	0.09
0	0	0	NA
0	0	0	NA
0	0	0	NA
1	12.65	9.61	0.24
0	0	0	NA
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	25.81	13.48	0.48
0	0	0	NA
0	0	0	NA
0	0	0	NA
3	35.72	5.95	0.83
0	0	0	NA
1	12.72	10.58	0.17
1	15.51	1.8	0.88
1	14.96	4.74	0.68
0	0	0	NA
2	26.53	18.46	0.3
0	0	0	NA
1	14.39	6.07	0.58
0	0	0	NA
1	16.36	13.05	0.2
1	11.29	19.66	-0.74
1	14.69	1.31	0.91
0	0	0	NA
1	14.4	10.97	0.24
1	13.05	22.07	-0.69
2	25.61	2.11	0.92
0	0	0	NA
2	28.41	4.92	0.83
2	29.58	3.94	0.87
0	0	0	NA
2	25.37	6.71	0.74
1	14.3	15.34	-0.07
0	0	0	NA
0	0	0	NA
2	29.83	5.49	0.82
1	14.11	4	0.72
0	0	0	NA
2	30.54	5.67	0.81
1	14.19	4	0.72
0	0	0	NA
1	14.14	21.75	-0.54
0	0	0	NA
