N.QTL	p.ts	p.vs	bias
3	32.65	21.51	0.34
5	46.26	22.45	0.51
4	39.01	24.66	0.37
5	49.21	18.19	0.63
3	33.21	23.33	0.3
5	40.88	23.61	0.42
6	54.36	31.32	0.42
3	33.01	13.9	0.58
5	42.64	19.83	0.53
4	40.39	27.96	0.31
3	31.76	28.89	0.09
7	56.53	15	0.73
3	34.06	22.66	0.33
5	42.11	34.57	0.18
4	43.49	15.3	0.65
6	57.15	19.08	0.67
5	45.33	24.73	0.45
4	43.4	35.26	0.19
2	26.09	24.08	0.08
5	42.77	16.61	0.61
4	36.74	19.37	0.47
3	36.41	14.53	0.6
4	34.55	26.27	0.24
4	40.48	41.25	-0.02
4	47.27	29.28	0.38
4	40.12	27.65	0.31
4	34.11	38.36	-0.12
4	44.21	21.09	0.52
3	36.26	20.83	0.43
5	47.78	21.43	0.55
5	42.08	29.32	0.3
4	40.84	29.36	0.28
4	46.65	16.31	0.65
2	29.06	5.14	0.82
5	40.65	26.57	0.35
7	55.72	28.87	0.48
6	47.69	11.59	0.76
3	37.47	20.72	0.45
5	41.16	14.84	0.64
5	45.19	22.6	0.5
6	52.85	22.65	0.57
4	44.38	18.39	0.59
3	32.96	29.04	0.12
4	34.9	38.32	-0.1
6	52.71	14.63	0.72
4	37.17	37.07	0
5	48.05	14.53	0.7
7	58.89	28.24	0.52
5	48.28	26.18	0.46
3	39.32	25.37	0.35
4	33.45	37.14	-0.11
4	46.38	21.83	0.53
5	47.01	20.8	0.56
6	53.58	25.98	0.52
5	50	21.44	0.57
5	48.19	30.38	0.37
4	41.25	33.59	0.19
3	33.43	34.09	-0.02
4	38.94	25.44	0.35
4	42.3	16.83	0.6
3	33.25	23.2	0.3
5	45.55	13.5	0.7
4	42.42	13.19	0.69
3	30.89	32.05	-0.04
4	40.44	23.93	0.41
3	34.91	27.15	0.22
6	42.93	14.59	0.66
4	41.63	24.41	0.41
4	42.8	27.14	0.37
6	53.87	19.83	0.63
4	34.01	23.98	0.29
3	35.99	21.61	0.4
5	43.62	22.99	0.47
4	44.66	21.78	0.51
6	50.83	34.22	0.33
5	44.84	10.37	0.77
5	45.64	15.49	0.66
6	51.02	32.38	0.37
4	39.39	29.51	0.25
5	48.74	25.39	0.48
5	44.72	17.19	0.62
5	48.45	22.29	0.54
5	50.02	27.22	0.46
4	43	19.98	0.54
5	41.91	14.23	0.66
4	43.56	8.53	0.8
3	33.48	21.06	0.37
3	30.91	23.44	0.24
5	43.03	39.66	0.08
7	61.04	23.11	0.62
4	39.52	24.98	0.37
4	41.77	23.44	0.44
4	49.45	7.29	0.85
2	32.46	13.93	0.57
3	31.89	14.88	0.53
3	37.18	29.04	0.22
4	41.33	29.32	0.29
3	32.79	18.06	0.45
5	47.57	15.12	0.68
5	49.75	23.33	0.53
