N.QTL	p.ts	p.vs	bias
4	43.26	27.82	0.36
4	32.65	11.84	0.64
5	49.64	18.97	0.62
4	42.94	16.04	0.63
4	39.21	25.99	0.34
7	64.08	18.47	0.71
9	68.37	31.34	0.54
4	41.98	26.38	0.37
3	31.67	29.32	0.07
5	39.99	23.56	0.41
5	42.8	15.68	0.63
6	54.41	29.42	0.46
5	40.8	24.66	0.4
3	35.5	15.55	0.56
5	46.5	13.74	0.7
4	42.07	19.42	0.54
3	24.45	6.5	0.73
4	42.71	17.34	0.59
3	28.76	41.14	-0.43
5	47.1	20.04	0.57
4	35.03	28.2	0.19
2	30.76	7.76	0.75
4	36.42	34.16	0.06
8	60.26	28.1	0.53
7	57.84	31.94	0.45
5	54.68	10.3	0.81
6	45.34	29.72	0.34
6	47.66	41.41	0.13
4	35.3	22.54	0.36
4	40.16	12.5	0.69
5	42.6	30.67	0.28
6	49.48	21.68	0.56
6	49.41	29.52	0.4
8	59.83	39.95	0.33
5	47.64	24.82	0.48
3	33.21	16.23	0.51
6	55.54	17.02	0.69
4	35.71	16.04	0.55
7	58.21	27.54	0.53
5	45.36	28.03	0.38
5	43.64	18.23	0.58
4	38.48	31.72	0.18
4	43.1	14.16	0.67
5	46	22.59	0.51
8	56.94	30.56	0.46
5	49.37	20.64	0.58
5	45.39	21.9	0.52
5	44.75	17.26	0.61
4	45.42	9.26	0.8
5	47.16	24.16	0.49
3	31.7	15.26	0.52
4	37.91	24.16	0.36
6	58.56	15.62	0.73
6	52.43	20.96	0.6
6	50.25	33.04	0.34
6	50.16	28.2	0.44
6	50.99	28.64	0.44
6	57.78	20.8	0.64
5	46.06	34.58	0.25
6	48.36	28.02	0.42
5	51.28	27.69	0.46
3	37.86	22.23	0.41
4	37.45	32.69	0.13
3	36.2	32.09	0.11
5	52.21	12.19	0.77
5	48.03	13.4	0.72
4	39.48	10.97	0.72
0	0	0	NA
3	27.62	12.5	0.55
4	42.72	11.49	0.73
4	35.9	29.85	0.17
3	27.83	18.5	0.34
6	53.93	28.83	0.47
5	48.02	27.29	0.43
5	43.42	15.82	0.64
5	45.4	26.11	0.42
5	48.93	32.46	0.34
5	46.64	19.19	0.59
5	47.35	29.3	0.38
4	37.77	39.84	-0.05
3	27.48	18.76	0.32
3	30.8	13.29	0.57
5	49.19	13.11	0.73
6	52.47	24.53	0.53
3	36.07	18.95	0.47
7	56.09	20.39	0.64
4	40.33	23.12	0.43
4	41.34	32.77	0.21
4	42.86	15.27	0.64
3	36.86	23.33	0.37
6	55.46	19.6	0.65
4	47.26	14.64	0.69
3	34.76	23.68	0.32
4	40.83	21.19	0.48
6	46.95	27.54	0.41
4	41.34	26.65	0.36
5	40.54	26.72	0.34
6	49.51	10.02	0.8
4	43.5	27.36	0.37
5	46.62	20.74	0.56
