N.QTL	p.ts	p.vs	bias
7	47.04	18.42	0.61
5	39.7	18.77	0.53
5	39.03	49.27	-0.26
4	33.67	45.17	-0.34
6	51.23	32.47	0.37
7	49.95	41.13	0.18
5	49.19	13.04	0.73
8	51.81	18.58	0.64
6	47.52	33.44	0.3
6	41.95	51.51	-0.23
4	42.29	16.76	0.6
5	34.05	29.09	0.15
7	46.31	28.2	0.39
3	32.95	22.46	0.32
6	51.26	24.18	0.53
4	40.51	14.25	0.65
6	48.51	20.87	0.57
6	40.33	33.93	0.16
5	42.46	25.02	0.41
8	57.07	44.19	0.23
8	53.84	19.31	0.64
5	39.69	37.17	0.06
6	50.13	22.24	0.56
4	33.44	43.44	-0.3
7	48.85	24.3	0.5
4	32.5	32.81	-0.01
5	38.62	30.02	0.22
6	45.37	32.35	0.29
7	53.72	14.35	0.73
7	45.32	27.62	0.39
5	44.03	25.49	0.42
8	54.35	43.33	0.2
4	31.65	30.65	0.03
4	33.74	24.2	0.28
7	50.12	29.5	0.41
8	53.24	41.94	0.21
6	46.94	27.71	0.41
5	40.63	36.31	0.11
8	47.7	37.9	0.21
4	35.71	40.14	-0.12
4	36.11	17.99	0.5
4	37.31	23.71	0.36
5	41.29	12.32	0.7
7	51.28	24.89	0.51
5	42.75	37.88	0.11
6	43.8	34.8	0.21
5	41.69	42.4	-0.02
6	51.28	21.8	0.57
5	37.55	32.19	0.14
7	50.64	27.41	0.46
7	50.38	23.53	0.53
4	37.84	28.43	0.25
7	46.82	26.72	0.43
6	50.61	23.38	0.54
6	44.49	36.2	0.19
6	46.96	30.41	0.35
3	33.63	19.55	0.42
5	44.84	19.72	0.56
6	45.8	33.62	0.27
6	44.7	41.23	0.08
7	55.49	22.47	0.6
6	44.51	36.66	0.18
5	37.82	33.71	0.11
5	44.84	27.63	0.38
4	36.69	30.73	0.16
4	38.85	33.68	0.13
6	45.76	31.32	0.32
6	40.56	34.96	0.14
5	37.78	22.53	0.4
6	49.29	26.61	0.46
5	44.91	22.05	0.51
4	34.17	43.57	-0.28
6	43.58	28.39	0.35
9	56.01	31.54	0.44
6	51.11	18.16	0.64
6	46.35	24.02	0.48
5	44.57	24.08	0.46
6	40.15	26.49	0.34
4	38.82	24.48	0.37
7	48.06	32.37	0.33
7	45.97	46.1	0
5	43.86	29.55	0.33
4	39.06	30.14	0.23
8	54.47	29.87	0.45
5	41.58	26.49	0.36
8	56.61	35.32	0.38
5	41.75	50.94	-0.22
7	50.76	25.97	0.49
6	42.38	25.28	0.4
4	38.45	30.66	0.2
6	46.52	32.9	0.29
7	51.31	35.55	0.31
7	47.02	29.05	0.38
4	39.42	20.31	0.48
6	47.23	36.68	0.22
5	43.09	23.43	0.46
7	50.68	29.59	0.42
5	40.27	57.56	-0.43
6	46.9	39.14	0.17
8	54.05	39.89	0.26
