N.QTL	p.ts	p.vs	bias
7	52.76	8.24	0.84
6	42.78	35.79	0.16
5	37.21	31.17	0.16
5	39.4	31.6	0.2
6	46.38	20.88	0.55
6	43.08	28.19	0.35
6	46.53	31.19	0.33
5	38.8	43.83	-0.13
5	38.38	43.95	-0.15
7	53.84	25.17	0.53
8	56.08	30.27	0.46
7	48.25	35.38	0.27
4	40.11	22.79	0.43
4	30.96	23.86	0.23
4	34.86	14.68	0.58
3	29.43	26.67	0.09
5	38.78	28.03	0.28
6	47.39	11.28	0.76
6	49.6	18.39	0.63
8	56.11	33.01	0.41
6	44.51	36.76	0.17
5	45.24	16.05	0.65
7	47.77	24.51	0.49
7	48.79	33.53	0.31
5	33.64	39.23	-0.17
7	53.61	27.45	0.49
4	30.75	21.55	0.3
8	46.94	35.98	0.23
6	41.33	30.54	0.26
7	47.57	38.31	0.19
6	46.08	18.94	0.59
7	49.4	19.13	0.61
8	49.62	50.4	-0.02
5	34.44	28.24	0.18
7	51.46	22.1	0.57
6	43.86	34.24	0.22
5	36.32	32.43	0.11
4	37.99	28.85	0.24
7	50.17	31.9	0.36
7	51	21.67	0.58
8	54	34.61	0.36
6	44.94	19.14	0.57
5	36.49	53.81	-0.47
6	44.68	29.19	0.35
4	36.12	12.95	0.64
3	30.73	20.81	0.32
7	53.58	29.02	0.46
5	39.12	40.65	-0.04
5	38.46	39.54	-0.03
5	43.75	14.55	0.67
8	54.6	29.45	0.46
6	48.94	31.53	0.36
7	51.22	35.08	0.32
4	33.29	43.03	-0.29
4	34.65	17.56	0.49
6	48.16	19.48	0.6
7	53.54	30.02	0.44
7	42.97	43.04	0
5	41.07	35.14	0.14
6	44.87	24.5	0.45
7	47.4	14.34	0.7
4	35.81	26.6	0.26
7	51.89	31.08	0.4
5	37.01	23.72	0.36
7	46.16	32.15	0.3
6	43.09	19.01	0.56
6	43.27	32.55	0.25
6	42.21	36.73	0.13
6	42.66	36.34	0.15
6	43.22	32.53	0.25
4	38.33	32.94	0.14
7	48.94	22.7	0.54
6	42.51	24.65	0.42
5	40.39	25.73	0.36
7	44	34.63	0.21
5	40.11	41.95	-0.05
6	43.49	40	0.08
6	44.1	23.7	0.46
5	37.73	35	0.07
8	55.4	27.74	0.5
6	47.75	18.53	0.61
6	51.37	18.15	0.65
6	41.65	21.49	0.48
7	54.73	36.41	0.33
4	32.55	16.38	0.5
4	31.23	26	0.17
7	52.17	30.47	0.42
6	44.82	22.59	0.5
6	45.58	24.03	0.47
5	37.29	32.6	0.13
6	48.51	28.99	0.4
4	32.97	36.87	-0.12
8	46.23	34.48	0.25
8	58.65	32.55	0.45
4	35.59	27.69	0.22
6	43.24	16.1	0.63
4	34.08	32.22	0.05
6	39.42	50.04	-0.27
5	41.9	23.7	0.43
8	50.01	47.95	0.04
