N.QTL	p.ts	p.vs	bias
4	41.3	36.4	0.12
3	35.49	14.18	0.6
3	34.87	18.79	0.46
4	40.47	35.79	0.12
4	43.16	38.02	0.12
3	31.61	22.44	0.29
5	52.78	24.18	0.54
5	48.01	27.86	0.42
4	46.62	17.95	0.62
7	62.12	28.01	0.55
5	46.91	32.93	0.3
4	47.57	19.56	0.59
4	42.78	22.45	0.48
3	38.42	16.91	0.56
6	56.64	22.55	0.6
5	53.83	15.92	0.7
4	39.09	32.36	0.17
5	52.05	22.46	0.57
4	45.73	32.37	0.29
2	26.54	15.98	0.4
3	33.73	25.57	0.24
5	52.81	20.85	0.61
5	53.94	21.95	0.59
3	35.38	18.41	0.48
4	42.56	31.53	0.26
5	49.68	30.57	0.38
4	45.66	29.34	0.36
3	38.58	16.46	0.57
6	55.16	30.77	0.44
4	44.4	20.45	0.54
6	56.23	33.46	0.4
4	42.79	16.04	0.63
3	35.91	39.48	-0.1
5	51.87	39.36	0.24
5	48.92	34.18	0.3
4	39.78	32.87	0.17
6	55.63	22.87	0.59
6	55.34	28.93	0.48
3	40.09	10.51	0.74
3	33.05	19.7	0.4
3	30.97	32.57	-0.05
3	36.53	18.62	0.49
5	53.47	17.35	0.68
4	44.59	16.36	0.63
4	45.65	18.03	0.6
7	60.43	24.15	0.6
4	37.2	27.06	0.27
3	40.17	5.46	0.86
3	40.12	20.92	0.48
4	42.15	28.21	0.33
6	53.56	19.08	0.64
4	45.11	19.75	0.56
3	34.9	20.42	0.42
3	37.94	26.18	0.31
5	47.96	21.71	0.55
4	45.65	26.8	0.41
7	62.7	22.45	0.64
3	35.08	11.45	0.67
4	43.34	14.76	0.66
5	48.72	18.12	0.63
3	32.08	32.43	-0.01
4	43.56	35.97	0.17
5	50.79	24.43	0.52
3	36	25.75	0.28
4	44.89	12.1	0.73
3	38.87	20.12	0.48
5	54.23	22.4	0.59
4	41.4	36.36	0.12
4	40.93	20.48	0.5
4	45.48	16.22	0.64
5	47.77	34.95	0.27
4	41.7	18.6	0.55
2	30.23	9.88	0.67
3	35.73	13.02	0.64
6	57.82	15.94	0.72
5	45.72	24.22	0.47
3	39.19	22.53	0.43
5	44.6	25.81	0.42
7	62.66	19.35	0.69
4	46.08	24.75	0.46
5	53.42	13.09	0.75
5	50.78	21.12	0.58
5	45.19	13.99	0.69
5	49.92	29.63	0.41
5	48.5	27.62	0.43
6	58.57	12.84	0.78
5	45.87	30.6	0.33
2	28.35	23.08	0.19
4	40.25	35.55	0.12
5	53.4	14.53	0.73
5	48.78	18.69	0.62
4	44.3	32.21	0.27
7	66.6	18.83	0.72
3	37.4	23.21	0.38
4	36.39	33.34	0.08
6	59.36	10.38	0.83
5	52.54	13.7	0.74
5	48.93	39.1	0.2
5	52.36	20.76	0.6
4	43.7	30.98	0.29
