N.QTL	p.ts	p.vs	bias
4	37.92	31.03	0.18
2	28.71	21.65	0.25
3	32.22	21.01	0.35
3	36.4	27.93	0.23
5	47.9	19	0.6
4	46.17	29.29	0.37
6	58.18	20.44	0.65
3	39.28	25.16	0.36
3	34.92	9.62	0.72
2	21.55	37.75	-0.75
6	57.66	14.99	0.74
4	46.23	13.85	0.7
5	51.18	24.39	0.52
2	26.39	10.76	0.59
2	19.84	7.89	0.6
2	25.2	28.59	-0.13
3	32.47	20.46	0.37
4	44.21	20.89	0.53
4	40.29	26.42	0.34
5	52.87	21.76	0.59
2	24.15	28.61	-0.18
4	44.69	14.97	0.67
5	52.46	28.61	0.45
3	39.76	23.85	0.4
3	34.21	15.54	0.55
2	28.51	21.12	0.26
3	31.26	21.1	0.33
2	26.27	25.25	0.04
7	66.93	8.96	0.87
4	41.44	25.94	0.37
5	45.09	12.46	0.72
4	46.41	15.78	0.66
3	30.54	17.18	0.44
3	34.7	27.99	0.19
4	45.69	8.42	0.82
3	31.73	19.34	0.39
3	40.7	16.29	0.6
5	56.31	11.77	0.79
3	37.15	13.61	0.63
3	36.2	31.26	0.14
3	34.51	11.59	0.66
3	32.99	20.86	0.37
5	52.79	18.83	0.64
3	27.85	20.37	0.27
5	54.55	23.06	0.58
4	42.24	17.64	0.58
6	61.38	16.4	0.73
3	30.66	33.41	-0.09
3	36.2	18.17	0.5
3	32.2	19.22	0.4
4	45.49	8.12	0.82
5	51.34	20.74	0.6
4	43.8	17.75	0.59
5	53.07	30.55	0.42
3	32.98	9.38	0.72
4	45.39	21.96	0.52
3	32.14	18.25	0.43
5	53.03	28.14	0.47
3	35.27	21.08	0.4
4	40.88	30.23	0.26
5	47.13	19.54	0.59
3	34.84	34.22	0.02
4	39.73	24.74	0.38
5	50.34	35.2	0.3
3	35.83	29.7	0.17
4	44.71	23.26	0.48
3	36.78	19.14	0.48
2	22.23	18.84	0.15
4	40.91	32.07	0.22
4	45.19	23.81	0.47
4	42.42	28.36	0.33
6	53.93	17.36	0.68
2	24.6	22.05	0.1
5	51.48	17.44	0.66
4	45.74	23.62	0.48
3	31.01	24.51	0.21
7	64.92	15.59	0.76
5	51.97	25.55	0.51
3	31.71	25.17	0.21
4	40.56	29.28	0.28
5	47.59	23.08	0.52
3	36.17	18.68	0.48
5	53.49	26.46	0.51
5	46.59	20.11	0.57
3	34.53	18.69	0.46
4	43.18	27.71	0.36
3	38.72	15.88	0.59
5	48.06	15.9	0.67
4	43.57	27.37	0.37
4	44.14	21.98	0.5
3	31.31	28.86	0.08
2	22.97	38.29	-0.67
3	31.83	34.77	-0.09
5	50.48	21.06	0.58
4	45.51	11.47	0.75
4	44.81	14.56	0.67
4	42.54	18.99	0.55
4	46.01	10.45	0.77
3	25.79	21.07	0.18
3	33.22	30.42	0.08
