N.QTL	p.ts	p.vs	bias
0	0	0	NA
2	24.8	51.29	-1.07
2	31.3	22.7	0.27
3	39.41	14.77	0.63
3	45.23	22.48	0.5
2	29.27	3.33	0.89
0	0	0	NA
1	11.74	10.77	0.08
3	40.58	11.12	0.73
4	57.67	27.07	0.53
2	27.73	12.1	0.56
1	16.9	6.65	0.61
3	49.55	15.09	0.7
0	0	0	NA
0	0	0	NA
3	42.09	46.16	-0.1
3	38.39	7.6	0.8
2	26.44	14.54	0.45
1	15.76	16.16	-0.03
3	39.41	8.47	0.78
2	30.66	28.75	0.06
1	17.12	2.65	0.85
3	35.41	7.51	0.79
2	30.66	25.76	0.16
1	16.03	12.71	0.21
3	46.03	30.55	0.34
0	0	0	NA
4	57.15	18.97	0.67
3	35.93	13.71	0.62
3	37.26	15.59	0.58
0	0	0	NA
2	31.07	24.88	0.2
1	14.17	15.55	-0.1
2	24.26	38.86	-0.6
2	34.62	18.62	0.46
2	30.22	46.61	-0.54
2	29.04	36.54	-0.26
2	31.82	16.22	0.49
2	24	33.44	-0.39
1	8.92	8.22	0.08
2	33.45	45.93	-0.37
0	0	0	NA
3	53.31	18.33	0.66
0	0	0	NA
2	25.81	8.93	0.65
0	0	0	NA
3	44.81	12.05	0.73
1	15.43	40.52	-1.63
2	36.35	19.42	0.47
1	18.9	4.54	0.76
1	15.54	20.02	-0.29
3	43.06	21.09	0.51
3	40.07	17.33	0.57
2	25.16	19.71	0.22
0	0	0	NA
3	45.9	16.23	0.65
0	0	0	NA
3	39.26	33.7	0.14
2	26.8	18.3	0.32
1	14.1	15.01	-0.06
1	16.97	23.09	-0.36
4	42.95	23.41	0.45
2	28.69	10.3	0.64
3	43.41	22.55	0.48
2	30.79	14.5	0.53
3	42.85	39.32	0.08
3	45.46	5.05	0.89
1	14.46	8.52	0.41
0	0	0	NA
1	16.49	6.12	0.63
2	30.2	27.12	0.1
0	0	0	NA
2	33	8.32	0.75
1	11.07	13.66	-0.23
2	34.74	21.98	0.37
2	24.2	32.27	-0.33
4	48.31	26.9	0.44
2	34.64	13	0.62
0	0	0	NA
3	38.47	24.24	0.37
3	49.7	20.41	0.59
1	14.61	13.36	0.09
2	28.11	9.75	0.65
0	0	0	NA
2	24.44	24.43	0
1	15.42	20.63	-0.34
1	17.71	9.91	0.44
1	16.61	6.15	0.63
3	44.39	11.04	0.75
3	35.97	21.13	0.41
0	0	0	NA
2	29.84	2.14	0.93
3	48.66	28.56	0.41
3	44.06	21.79	0.51
0	0	0	NA
2	30.04	20.93	0.3
4	51.53	18.42	0.64
2	33.43	16.01	0.52
1	15.7	6.08	0.61
0	0	0	NA
