N.QTL	p.ts	p.vs	bias
2	29.09	44.47	-0.53
0	0	0	NA
3	39.32	28.51	0.27
1	14.2	20.36	-0.43
3	47.35	25.1	0.47
4	47.54	24.99	0.47
3	38.65	33.19	0.14
1	15.79	20.37	-0.29
2	30.18	49.25	-0.63
4	57.1	23.56	0.59
3	47.61	9.08	0.81
1	10.31	6.74	0.35
2	25.03	11.57	0.54
0	0	0	NA
1	15.35	20.91	-0.36
2	29.2	20.37	0.3
1	13.04	2.15	0.84
4	55.94	9.42	0.83
3	44.18	41.56	0.06
3	42.31	31	0.27
3	41.4	41.01	0.01
4	57.99	33.77	0.42
2	24.44	20.55	0.16
1	18.85	6.01	0.68
2	28.83	26.83	0.07
1	19.39	25.72	-0.33
2	28.42	23	0.19
4	56.97	25.1	0.56
3	42.57	33.36	0.22
0	0	0	NA
1	9.73	18.55	-0.91
5	69.19	22.4	0.68
3	47.71	44.38	0.07
3	45.34	37.71	0.17
2	28.82	16.33	0.43
3	49.16	41.2	0.16
3	45.24	26.34	0.42
3	46.29	18.19	0.61
1	8.92	12.4	-0.39
1	12.91	13.15	-0.02
3	34.45	31.08	0.1
3	45.28	16.28	0.64
1	14.5	15	-0.03
3	42.56	26.8	0.37
4	54.13	15.86	0.71
3	47.06	27.28	0.42
2	19.35	4.67	0.76
4	54.62	30.96	0.43
1	12.27	15.01	-0.22
3	46.42	23.12	0.5
1	13.81	12.16	0.12
2	27.96	42.34	-0.51
2	22.3	13.03	0.42
0	0	0	NA
3	54.43	12.76	0.77
3	51.96	15.18	0.71
3	31.96	20.84	0.35
3	42.31	35.74	0.16
2	27.01	3.81	0.86
0	0	0	NA
2	31.38	20.38	0.35
0	0	0	NA
0	0	0	NA
3	39.42	29.18	0.26
3	44.32	30.17	0.32
2	33.12	10.04	0.7
0	0	0	NA
4	47.54	14.25	0.7
3	48.25	24.26	0.5
3	43.02	32.14	0.25
3	43.88	31.71	0.28
1	10.3	25.19	-1.44
4	57.21	15.01	0.74
1	20.71	3.24	0.84
0	0	0	NA
2	25.61	9.09	0.64
3	44	26.83	0.39
3	45.5	13.92	0.69
3	46.02	10.27	0.78
3	41.23	17.06	0.59
3	45.15	7.98	0.82
0	0	0	NA
3	38.52	54.06	-0.4
1	16.95	6.49	0.62
1	18.43	9.36	0.49
4	51.51	38.98	0.24
4	48.6	14.16	0.71
0	0	0	NA
3	41.2	27.48	0.33
3	45.7	16.88	0.63
3	34.73	8.73	0.75
3	48.56	19.11	0.61
3	47.51	15.72	0.67
0	0	0	NA
0	0	0	NA
3	51.09	48.16	0.06
0	0	0	NA
3	48.56	7.59	0.84
2	31.76	12.65	0.6
2	33.82	38.31	-0.13
