N.QTL	p.ts	p.vs	bias
2	21.9	12.21	0.44
2	23.52	10.26	0.56
2	19.91	25.48	-0.28
2	21.55	30.48	-0.41
2	24.5	24.05	0.02
2	26.28	19.12	0.27
2	21.61	19.87	0.08
4	38.06	36.5	0.04
2	20.18	39.56	-0.96
1	10.08	30.8	-2.05
2	25.35	7.32	0.71
2	25.38	11.91	0.53
2	18.83	64.42	-2.42
3	31.01	33.34	-0.08
4	38.28	27.08	0.29
2	20.51	37.91	-0.85
3	29.76	24.08	0.19
2	23.61	20.37	0.14
1	11.44	29.72	-1.6
2	20.88	37.11	-0.78
2	21.51	33.86	-0.57
1	10.97	4.09	0.63
2	22.9	21.38	0.07
2	21.56	29.16	-0.35
2	25.43	35.58	-0.4
2	23.83	38.57	-0.62
2	21.04	18.61	0.12
1	10.9	36.03	-2.31
1	13.04	9.97	0.24
3	34.34	20.31	0.41
4	36.76	25.71	0.3
2	19.05	47.73	-1.51
2	24.79	22.63	0.09
2	25.84	21.32	0.18
0	0	0	NA
1	11.76	14.84	-0.26
3	30.6	44.18	-0.44
1	11.89	27.88	-1.35
3	32.45	35.52	-0.09
2	26.9	26.08	0.03
2	20.06	43.84	-1.19
2	28.01	21.46	0.23
3	31.73	23.38	0.26
2	25.92	24.45	0.06
0	0	0	NA
2	20.73	38.41	-0.85
2	19.54	43.33	-1.22
3	29.46	17.05	0.42
3	33.94	20.11	0.41
2	25.46	12.67	0.5
0	0	0	NA
3	32.05	24.17	0.25
1	10.05	11.26	-0.12
4	40.69	20.22	0.5
3	36.32	11.26	0.69
2	25.94	18.49	0.29
2	19.92	51.85	-1.6
3	29.66	8.56	0.71
3	29	8.09	0.72
1	11.8	18.81	-0.59
2	19.98	22.35	-0.12
2	22.05	10.48	0.52
4	39.05	21.78	0.44
1	10.88	31.8	-1.92
2	21.51	43.85	-1.04
0	0	0	NA
2	22.28	10.84	0.51
2	24.68	16.06	0.35
2	24.45	49.23	-1.01
3	31.84	20.57	0.35
1	13.11	7.84	0.4
2	20.49	47.28	-1.31
3	37.33	10.73	0.71
3	29.87	16.79	0.44
2	21.23	41.66	-0.96
3	30.97	13.57	0.56
0	0	0	NA
3	34.08	14.45	0.58
1	11.46	24.7	-1.16
0	0	0	NA
2	26.88	15.06	0.44
1	10.91	25.44	-1.33
2	24.51	20.26	0.17
2	22.67	23.65	-0.04
2	19.27	21.08	-0.09
1	14.28	2.69	0.81
3	31.91	14.65	0.54
1	10.14	22.93	-1.26
2	24.38	18.9	0.22
2	25.24	33.74	-0.34
4	32.96	17.78	0.46
2	20.59	42.35	-1.06
2	26.61	19.84	0.25
1	11.23	10.16	0.1
2	24.03	26.41	-0.1
2	21.34	39.82	-0.87
2	21.85	46.19	-1.11
2	25.92	10.95	0.58
0	0	0	NA
2	21.89	43.25	-0.98
