N.QTL	p.ts	p.vs	bias
1	10.53	32.42	-2.08
2	20.89	31.32	-0.5
2	25.46	26.91	-0.06
2	18.85	45.58	-1.42
3	37.12	12.91	0.65
4	37.55	43.95	-0.17
2	21.54	15.77	0.27
2	23.26	22.22	0.04
3	29.75	46.38	-0.56
3	33.28	21.02	0.37
3	30.6	6.12	0.8
2	21.65	20.61	0.05
2	22.32	23.47	-0.05
3	33.19	21.45	0.35
2	23.73	12.17	0.49
3	32.35	51.92	-0.61
3	30.54	25.86	0.15
1	9.63	27.38	-1.84
3	36.33	14.17	0.61
0	0	0	NA
3	31.93	50.03	-0.57
3	31.76	49.39	-0.56
3	31.59	33.7	-0.07
1	13.4	2.74	0.8
1	9.44	23.07	-1.44
3	33.9	28.18	0.17
3	32.36	29.19	0.1
1	10.4	14.48	-0.39
2	20.37	57.22	-1.81
6	52.97	7.45	0.86
2	21.01	32	-0.52
4	37.1	0.7	0.98
1	11.41	15.66	-0.37
1	11.48	9.26	0.19
4	43.22	9.44	0.78
3	30.9	25.06	0.19
1	11.44	4.12	0.64
3	39.34	20.79	0.47
2	22.72	2.42	0.89
0	0	0	NA
1	10.77	12.23	-0.14
2	26.47	8.61	0.67
3	28.01	21.4	0.24
3	33.83	29.18	0.14
1	11.56	10.28	0.11
2	20.08	21.05	-0.05
2	18.48	9.49	0.49
3	31.98	23.79	0.26
1	10.32	25.3	-1.45
5	46.67	7.03	0.85
2	25.04	16.39	0.35
1	12.03	7.76	0.36
3	31.59	47.48	-0.5
2	19.95	4.48	0.78
3	32.76	14.36	0.56
3	31.38	21.05	0.33
2	25.8	22.7	0.12
1	10.41	4.63	0.56
3	28.28	20.05	0.29
2	25.18	37.2	-0.48
3	32.2	32.53	-0.01
1	10.54	13.34	-0.27
1	11.09	29.08	-1.62
3	33.23	23.13	0.3
2	24.07	16.05	0.33
4	40.57	30	0.26
2	24.33	23.09	0.05
0	0	0	NA
2	19.11	5.47	0.71
2	23.44	25.51	-0.09
4	38.62	23.82	0.38
0	0	0	NA
3	35.18	5.07	0.86
2	23.05	19.63	0.15
2	22.79	19.03	0.16
3	29.98	30.81	-0.03
2	24.14	24.62	-0.02
3	33.3	11.65	0.65
1	11.33	31.73	-1.8
2	19.34	10.36	0.46
1	12.31	31.92	-1.59
2	26.6	26.55	0
0	0	0	NA
2	21.17	27.72	-0.31
4	38.7	25.22	0.35
2	27.45	37.56	-0.37
2	23.21	13.01	0.44
1	12.76	14.7	-0.15
2	22.82	15.37	0.33
3	30.74	21.16	0.31
2	17.51	10.72	0.39
2	21.01	33.01	-0.57
3	33.1	21.35	0.36
2	22.54	49.42	-1.19
3	27.82	14.02	0.5
1	10.12	23.24	-1.3
4	41.22	39.47	0.04
3	31.98	18.8	0.41
3	33.53	5.83	0.83
3	30	3.58	0.88
