N.QTL	p.ts	p.vs	bias
0	0	0	NA
3	45.63	16.12	0.65
2	31.68	25.8	0.19
1	17.37	38.76	-1.23
2	32.44	18.15	0.44
0	0	0	NA
1	17.93	3.94	0.78
1	16.47	10.35	0.37
1	15.87	46.13	-1.91
2	27.76	18.68	0.33
0	0	0	NA
2	32.41	21.55	0.34
3	45.67	16.11	0.65
3	42.43	23.97	0.44
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	29.36	4.01	0.86
2	35.33	12.23	0.65
0	0	0	NA
1	14.7	16.62	-0.13
2	31.81	9.61	0.7
2	30	31.03	-0.03
3	46.26	36.01	0.22
3	46.81	33.93	0.28
0	0	0	NA
0	0	0	NA
1	16.12	15.6	0.03
4	52.57	21.4	0.59
1	15.52	20.47	-0.32
1	14.24	24.31	-0.71
3	44.42	36.04	0.19
1	17.09	12.89	0.25
2	32.06	20.53	0.36
0	0	0	NA
1	15.72	20.17	-0.28
0	0	0	NA
2	31.97	11.41	0.64
2	38.53	8.54	0.78
2	28.1	15.62	0.44
0	0	0	NA
3	46.84	14.55	0.69
3	44.73	43.61	0.02
2	29.21	32.19	-0.1
2	32.77	10.4	0.68
1	16.62	12.59	0.24
1	14.3	21.72	-0.52
2	34.5	12.19	0.65
1	17.23	11.3	0.34
2	29.01	5.4	0.81
4	60.47	18.9	0.69
1	15.36	25.28	-0.65
1	15.48	20.23	-0.31
1	15.93	37.07	-1.33
3	44.97	24.99	0.44
1	16.01	13.76	0.14
2	33.97	10.84	0.68
1	15.59	12.76	0.18
3	45.7	26.46	0.42
2	33.39	10.1	0.7
3	46.23	25.62	0.45
2	31.64	48.26	-0.53
2	32.27	24.4	0.24
3	46.07	43.85	0.05
1	15.52	20.62	-0.33
3	48.97	25.84	0.47
0	0	0	NA
4	55.41	21.87	0.61
1	18.09	6.77	0.63
3	47.23	31.02	0.34
2	31.38	13.68	0.56
0	0	0	NA
3	48.53	29.41	0.39
0	0	0	NA
1	16.45	10.02	0.39
2	31.3	24.28	0.22
2	30.01	30.54	-0.02
1	15.72	6.64	0.58
4	59.72	18.26	0.69
4	58.51	7.05	0.88
3	46.22	14.48	0.69
2	31.57	33.89	-0.07
0	0	0	NA
2	30.99	30.05	0.03
2	32.63	23.37	0.28
2	31.22	11.57	0.63
2	35.06	18.89	0.46
3	43.88	12.34	0.72
0	0	0	NA
1	16.83	12.25	0.27
2	34.27	17.68	0.48
1	17.93	6.55	0.63
3	46.36	28.62	0.38
2	33.45	17.52	0.48
0	0	0	NA
2	35.53	23.71	0.33
0	0	0	NA
4	61.39	10.55	0.83
1	15.54	20.78	-0.34
0	0	0	NA
