N.QTL	p.ts	p.vs	bias
2	30.44	41.55	-0.37
2	30.68	16.49	0.46
0	0	0	NA
0	0	0	NA
3	45.75	27.66	0.4
3	39.79	18.15	0.54
4	61.26	12.81	0.79
3	45.97	29.61	0.36
0	0	0	NA
2	29.7	17.2	0.42
3	42.17	15.74	0.63
2	31.98	38.12	-0.19
3	47.01	32.11	0.32
0	0	0	NA
4	55.5	12.68	0.77
1	18.67	13.22	0.29
0	0	0	NA
2	36.35	20.76	0.43
3	48.22	25.79	0.47
3	49.25	31.7	0.36
0	0	0	NA
0	0	0	NA
2	33.4	12.77	0.62
0	0	0	NA
3	55.79	15.29	0.73
2	33.5	19.95	0.4
4	63.77	31.66	0.5
1	17.32	2.9	0.83
0	0	0	NA
3	46.85	25.16	0.46
2	28.65	28.57	0
3	49.85	13.73	0.72
3	47.5	17.84	0.62
0	0	0	NA
1	16.46	14.06	0.15
1	17.76	14.04	0.21
0	0	0	NA
3	44.36	28.91	0.35
3	47.08	47.26	0
3	43.72	30.55	0.3
1	16.18	15.46	0.04
4	59	39.92	0.32
1	17.25	21.02	-0.22
4	66.66	28.95	0.57
0	0	0	NA
0	0	0	NA
3	54.19	29.65	0.45
3	49.04	26.7	0.46
0	0	0	NA
0	0	0	NA
1	17.43	14.64	0.16
2	30.85	34.23	-0.11
3	57.23	21.03	0.63
0	0	0	NA
0	0	0	NA
0	0	0	NA
2	33.25	33.73	-0.01
0	0	0	NA
1	15.53	12.61	0.19
1	19.37	13.72	0.29
3	48.83	23.66	0.52
3	41.5	14.73	0.65
0	0	0	NA
1	16.72	15.45	0.08
3	51.49	18.08	0.65
4	61.4	3.13	0.95
0	0	0	NA
0	0	0	NA
2	36.64	13.83	0.62
3	48.62	24.2	0.5
4	59.56	18.29	0.69
0	0	0	NA
2	28.15	5.84	0.79
1	17.55	11.63	0.34
3	47.8	18.43	0.61
0	0	0	NA
4	59.9	19.99	0.67
0	0	0	NA
3	50.39	17.91	0.64
3	45.03	19.48	0.57
3	44.49	53.1	-0.19
0	0	0	NA
3	48.29	22.48	0.53
2	40.44	9	0.78
1	15.99	17.98	-0.12
3	47.31	32.73	0.31
2	32.15	11.45	0.64
3	48.97	11.97	0.76
2	30.55	23.01	0.25
1	18.83	17.85	0.05
2	29.41	17.39	0.41
0	0	0	NA
3	53.52	11.36	0.79
1	22.02	17.56	0.2
0	0	0	NA
1	20.1	20.71	-0.03
3	47.58	33.11	0.3
3	47.11	23.34	0.5
0	0	0	NA
0	0	0	NA
