N.QTL	p.ts	p.vs	bias
5	46.03	35.02	0.24
5	49.59	29.84	0.4
5	46.49	27.01	0.42
4	45.6	21.64	0.53
5	57.33	22.7	0.6
4	44.62	21.07	0.53
6	54.87	13.59	0.75
4	44.4	31.29	0.3
5	49.74	35.18	0.29
5	54.02	38.29	0.29
5	53.24	33.88	0.36
3	27.63	40.96	-0.48
2	23.01	18.02	0.22
4	43.14	38.63	0.1
6	55.47	20.07	0.64
5	52.68	41.36	0.21
4	44.86	20.99	0.53
6	55.31	42.45	0.23
5	50.83	35.58	0.3
6	54.01	41.63	0.23
4	42.32	57.7	-0.36
5	42.09	16.97	0.6
6	53.62	42.38	0.21
6	61.74	22.75	0.63
4	47.09	26.14	0.44
5	50.72	48.25	0.05
4	43.68	33.47	0.23
4	47.87	26.44	0.45
4	38.12	8.87	0.77
5	52.55	38.15	0.27
4	47.85	28.17	0.41
4	40.47	49.92	-0.23
6	50.27	25.31	0.5
6	53.03	36.14	0.32
5	51.46	25.44	0.51
4	42.21	44.43	-0.05
5	51.31	36.7	0.28
3	33.23	15.99	0.52
4	44.5	24.66	0.45
4	49.68	32.39	0.35
4	44.17	32.01	0.28
4	42.82	21.17	0.51
4	38.81	29.62	0.24
5	48.33	31.89	0.34
5	55.51	27.83	0.5
4	44.99	28.75	0.36
4	46.42	30.14	0.35
5	48.79	31.48	0.35
4	44.58	32.18	0.28
4	42.51	23.78	0.44
5	53.58	25.82	0.52
5	47.54	22.67	0.52
4	36.95	25.27	0.32
4	44.2	37.71	0.15
6	50.53	32.64	0.35
4	46.83	20.9	0.55
5	51.05	22.4	0.56
4	39.28	37.94	0.03
4	45.89	31.56	0.31
4	43.58	16.73	0.62
6	55.72	32.03	0.43
4	45.68	25.95	0.43
5	53.68	39.05	0.27
3	33.05	15.63	0.53
4	41.91	18.2	0.57
5	54.13	36.58	0.32
5	50.95	36.26	0.29
4	48.26	26.09	0.46
5	52.21	30.92	0.41
6	51.14	15.57	0.7
4	40.7	10.86	0.73
5	52.03	39.8	0.24
5	47.34	42.3	0.11
5	48.76	36.45	0.25
5	53.98	34.02	0.37
5	42.12	37.41	0.11
5	48.88	20.57	0.58
4	46.99	35.12	0.25
6	50.56	25.07	0.5
7	63.71	36.41	0.43
4	42.41	32.1	0.24
5	48.31	25.41	0.47
5	58.56	21.76	0.63
5	47.36	38.71	0.18
4	48.5	33.27	0.31
5	58.09	17.99	0.69
5	47.25	23.22	0.51
4	44.6	41.54	0.07
4	49.5	19.39	0.61
5	52.17	31.27	0.4
5	54.3	23.45	0.57
6	54.85	35.61	0.35
3	36.84	32.96	0.11
5	55.6	29.84	0.46
3	31.32	31.24	0
4	43.52	40.71	0.06
6	57.01	20.67	0.64
3	36.83	37.1	-0.01
6	60.78	23.78	0.61
5	52.3	43.52	0.17
