N.QTL	p.ts	p.vs	bias
4	46.64	26.29	0.44
5	47.4	37.43	0.21
5	56.81	18.62	0.67
6	50.08	22.69	0.55
5	44.51	31.47	0.29
4	42.39	39.09	0.08
5	52.73	20.01	0.62
5	52.81	21.76	0.59
4	41.94	39.51	0.06
5	42.95	23.59	0.45
6	57.05	31.57	0.45
5	51.12	23.44	0.54
5	43.94	26.68	0.39
5	53.97	21.21	0.61
6	56.99	41.92	0.26
5	52.08	25.96	0.5
4	41.87	41.29	0.01
5	50.56	14.28	0.72
5	42.21	33.21	0.21
3	36.19	12.53	0.65
5	47.33	27.78	0.41
5	48.84	31.53	0.35
5	51.72	20.97	0.59
5	56.01	29.68	0.47
4	45.66	31.95	0.3
4	38.5	29.59	0.23
8	62.71	29.81	0.52
4	46.98	30.58	0.35
5	51.27	25.48	0.5
5	52.4	41.59	0.21
5	50.91	27.3	0.46
5	45.03	27.12	0.4
3	29.27	37.98	-0.3
5	53.5	27.39	0.49
4	46.47	32.84	0.29
4	48.8	26.85	0.45
4	40.68	29.39	0.28
6	56.65	29.37	0.48
6	58.84	21.42	0.64
3	29.19	31.12	-0.07
4	48.82	24.88	0.49
4	40.74	15.24	0.63
4	34.85	19.71	0.43
3	33.83	33.17	0.02
4	43.77	40.39	0.08
6	59.26	26.1	0.56
2	24.66	11.06	0.55
6	57.04	33.1	0.42
4	48.51	20.55	0.58
5	45.74	38.82	0.15
3	31.56	29.05	0.08
4	40.81	37.9	0.07
5	54.32	14.9	0.73
5	49.91	30.31	0.39
5	51.19	18.96	0.63
6	53.23	30.93	0.42
5	55.63	45.67	0.18
5	49.6	20.52	0.59
5	45.18	31.99	0.29
6	54.59	26.48	0.51
5	52.88	36.42	0.31
4	47.08	21.09	0.55
5	53.31	26.01	0.51
4	39.96	45	-0.13
5	52.77	38.38	0.27
5	50.37	9.05	0.82
4	46.42	26	0.44
4	38.61	40.03	-0.04
4	42.73	51.46	-0.2
5	50.24	22.39	0.55
4	43.78	30.67	0.3
7	52.9	7.14	0.87
4	37.98	32.48	0.15
5	51.01	31.2	0.39
6	60.55	23.43	0.61
4	46.99	21.39	0.54
4	39.19	18.32	0.53
5	49.63	40.33	0.19
5	51.48	29.83	0.42
5	41.15	26	0.37
4	45.1	40.28	0.11
6	53.71	43.86	0.18
5	49.69	35.25	0.29
4	44.85	30.25	0.33
3	29.59	17.49	0.41
5	50.59	25.05	0.5
5	53.15	41.94	0.21
6	59.07	12.13	0.79
5	47.64	36.57	0.23
5	48.88	29.67	0.39
5	50.19	22.41	0.55
4	49.94	23.77	0.52
5	43.38	26.73	0.38
4	46.88	35.08	0.25
4	46.28	14.43	0.69
3	36.49	11.96	0.67
5	57.46	20.75	0.64
5	53.16	25.73	0.52
4	37.06	36.35	0.02
5	43.35	40.12	0.07
