N.QTL	p.ts	p.vs	bias
3	36.67	15.11	0.59
5	42.81	25.6	0.4
4	31.8	36.33	-0.14
4	30.28	28.37	0.06
5	39.01	32.87	0.16
4	32.8	42.53	-0.3
5	46.23	15.14	0.67
5	39.73	24.52	0.38
4	35.67	39.11	-0.1
5	36.8	29.22	0.21
4	35.02	15.35	0.56
4	34.15	28.41	0.17
4	34.66	26.81	0.23
5	42.38	27.97	0.34
5	45.08	18.65	0.59
6	42.34	16.96	0.6
4	34.47	21.66	0.37
5	44.93	23.62	0.47
7	49.81	34.72	0.3
4	33.15	28.77	0.13
3	28.98	26.87	0.07
4	34.51	28.95	0.16
5	40.43	25.37	0.37
2	29.36	23.35	0.2
4	35.36	28.06	0.21
2	21.9	32.13	-0.47
4	29.54	41.07	-0.39
4	38.39	31.04	0.19
3	31.92	18.72	0.41
6	45.18	24.16	0.47
3	26.63	38.26	-0.44
6	46.27	19.02	0.59
3	28.84	30.34	-0.05
4	37.55	30.21	0.2
6	40.91	4.51	0.89
4	31.36	24.05	0.23
3	30.2	23.32	0.23
4	37.83	26.85	0.29
5	44.41	26.11	0.41
2	26.83	23.86	0.11
4	34.21	14.29	0.58
6	42.74	37.55	0.12
4	31.95	30.1	0.06
4	39.06	14.84	0.62
5	38.14	32.82	0.14
4	35.1	35.1	0
6	47.01	25.02	0.47
5	38.7	20.09	0.48
5	44.59	22.08	0.5
6	46	32.3	0.3
6	49.04	24.21	0.51
5	39.89	17.36	0.56
5	38.73	22.34	0.42
3	25.18	13.1	0.48
4	31.71	26.1	0.18
4	32.66	36.9	-0.13
4	37.27	31.52	0.15
4	38.3	18.78	0.51
2	25.68	14.27	0.44
6	49.95	27.23	0.45
4	35.55	28.47	0.2
5	43.69	36.18	0.17
5	40.66	21.81	0.46
5	35.65	25.75	0.28
4	37.53	15.48	0.59
5	40.54	36.31	0.1
3	28.57	36.58	-0.28
4	30.65	29.77	0.03
4	31.75	37.9	-0.19
4	42.48	5.69	0.87
5	43.8	27.91	0.36
5	41.93	15.69	0.63
5	38.79	27.7	0.29
5	38.2	18.12	0.53
3	29.6	24.54	0.17
4	45.44	9.25	0.8
6	44.19	26.53	0.4
3	30.43	19.85	0.35
3	26.56	30.98	-0.17
6	43.6	23.83	0.45
4	38.52	42.88	-0.11
5	45.9	15.49	0.66
4	34.34	27.13	0.21
4	36.53	27.15	0.26
5	35.59	25.14	0.29
6	43.97	33.06	0.25
7	51.96	20.8	0.6
3	32.48	27.72	0.15
4	34.96	26.44	0.24
3	33.73	16.02	0.53
5	37.81	27.14	0.28
4	37.07	29.39	0.21
5	39.49	29.29	0.26
3	31.41	35.71	-0.14
6	50.31	30.65	0.39
4	33.03	28	0.15
4	36.87	29.11	0.21
4	33.72	25.47	0.24
4	39.64	14.04	0.65
4	38.08	14.68	0.61
