N.QTL	p.ts	p.vs	bias
7	49.51	43.48	0.12
5	39.51	27.83	0.3
6	42.64	23.95	0.44
8	51.13	30.33	0.41
5	40.37	27.15	0.33
5	38.57	28.22	0.27
3	28.97	24.83	0.14
7	50.34	14.4	0.71
5	40.61	35.32	0.13
3	34.2	10.28	0.7
6	43.82	41.09	0.06
7	50.95	20.19	0.6
3	28.19	15.41	0.45
5	49.6	5.28	0.89
5	39.38	29.87	0.24
7	47.67	20.62	0.57
5	41.93	26.01	0.38
6	45.12	25.2	0.44
6	48.31	23.06	0.52
6	48.15	32.86	0.32
5	43.18	28.15	0.35
5	39.98	29.61	0.26
3	32.84	21.75	0.34
5	35.29	38.22	-0.08
8	55.72	16.41	0.71
6	41.62	43.25	-0.04
3	29.4	13.24	0.55
4	36.43	23.01	0.37
6	48.29	37.51	0.22
6	46.89	16.4	0.65
6	44.19	29.19	0.34
5	42.46	32.71	0.23
5	36.84	24.64	0.33
6	43.26	32.87	0.24
6	49.69	15.06	0.7
4	33.87	25.03	0.26
4	32.55	33.17	-0.02
6	45.99	26.18	0.43
5	42.87	17.33	0.6
6	44.84	31.19	0.3
9	60.2	23.96	0.6
4	32.02	28.37	0.11
4	32.76	36.84	-0.12
3	31.64	17.15	0.46
7	49.68	31.01	0.38
6	45.85	34.9	0.24
4	36.58	27.93	0.24
5	44.09	21.42	0.51
6	46.07	30.9	0.33
7	45.2	31.16	0.31
6	47.1	24.43	0.48
6	47.22	27.96	0.41
5	38.57	26.32	0.32
6	44.49	20.85	0.53
5	41.17	35.62	0.13
5	41.11	38.59	0.06
5	45.14	17.68	0.61
6	47.29	44.31	0.06
5	36.19	31.57	0.13
5	38.77	32.56	0.16
6	47.14	36.67	0.22
4	35.19	16.91	0.52
6	45.1	28.84	0.36
5	41.48	21.3	0.49
6	43.67	29.64	0.32
2	19.01	19.32	-0.02
5	44.44	17.44	0.61
4	36.52	31.08	0.15
7	51.61	26.72	0.48
6	41.52	33.84	0.19
4	35.42	27.03	0.24
7	46.24	24.01	0.48
6	40.78	20.27	0.5
4	35.27	25.67	0.27
6	45.64	24.59	0.46
6	45.82	34.65	0.24
7	50.6	24.88	0.51
6	46.37	34.6	0.25
4	35.67	29.14	0.18
5	42.69	33.39	0.22
7	50.77	25.4	0.5
5	44.1	23.18	0.47
5	39.34	22.32	0.43
6	43.93	32.69	0.26
6	43.96	34.1	0.22
5	37.8	35.39	0.06
5	34.23	29.09	0.15
3	32.97	26.62	0.19
5	42.7	14.6	0.66
6	48.72	24.41	0.5
6	47.49	27.67	0.42
7	46.42	34.9	0.25
5	41.99	43.05	-0.03
6	45.76	50.08	-0.09
5	39.65	26.56	0.33
9	60.87	17.27	0.72
5	41.56	30.33	0.27
4	35.48	16.37	0.54
5	39.91	17.58	0.56
6	48.9	32.34	0.34
