N.QTL	p.ts	p.vs	bias
4	57.03	15.84	0.72
3	42.03	23.27	0.45
4	48.44	18	0.63
6	61.82	39.15	0.37
6	62.53	53.65	0.14
6	63.79	51.75	0.19
5	58.28	31.42	0.46
5	60.91	22.49	0.63
6	63.88	38.74	0.39
3	44.78	20.5	0.54
5	57.67	43.08	0.25
4	51.74	37.14	0.28
5	59.04	39.15	0.34
5	56.08	12.6	0.78
5	57.09	27.93	0.51
7	63.73	33.48	0.47
5	59.03	32.12	0.46
4	52.78	29.53	0.44
6	61.44	40.34	0.34
6	66.57	24.43	0.63
4	49.75	44.51	0.11
5	57.92	39.65	0.32
5	58.79	28.1	0.52
4	47.93	23.89	0.5
5	64.09	32.84	0.49
5	56.93	34.88	0.39
4	52.16	34.1	0.35
6	62.01	38.75	0.38
6	65.34	40.42	0.38
5	57.86	33.94	0.41
5	59.19	17.88	0.7
5	55.1	28.59	0.48
6	65.71	31.49	0.52
6	63.42	47.11	0.26
5	61.1	34.1	0.44
5	54.58	56.94	-0.04
5	55.35	32.34	0.42
5	61.95	24.91	0.6
6	61.84	41.65	0.33
5	60.11	35.44	0.41
6	63.42	47.04	0.26
6	62.42	24.39	0.61
5	58.25	33.86	0.42
3	40.18	24.55	0.39
5	59.25	36.11	0.39
4	49.25	46.46	0.06
5	55.39	42.44	0.23
5	55.84	43.78	0.22
5	58.14	42.39	0.27
5	60.65	24.6	0.59
5	59.66	38.79	0.35
4	51.27	25.42	0.5
3	36.65	45.3	-0.24
5	60.62	28.28	0.53
6	63.27	32.7	0.48
5	62.66	23.1	0.63
5	52.48	52.19	0.01
4	47.44	39.69	0.16
3	40.57	23.05	0.43
6	66.75	12.94	0.81
5	58.12	39.67	0.32
5	55.19	31.37	0.43
5	62.77	12.74	0.8
5	58.51	40.33	0.31
5	60.66	42.08	0.31
6	65.5	34.74	0.47
5	61.7	30.07	0.51
4	50.13	34.62	0.31
6	62.7	17.24	0.73
4	51.61	37.67	0.27
5	58.72	36.51	0.38
6	67.53	25.77	0.62
5	55.19	43.36	0.21
6	61.83	21.61	0.65
6	67.54	22.14	0.67
5	64.25	24.7	0.62
4	52.03	29.87	0.43
5	51.39	27.85	0.46
4	48.01	29.24	0.39
5	53.42	48.83	0.09
7	69.82	31.05	0.56
6	63.07	25.43	0.6
5	53.67	48	0.11
5	61.69	16.38	0.73
6	59.9	36.75	0.39
4	51.26	37.19	0.27
5	61.92	35.52	0.43
3	38.98	38.1	0.02
5	58.14	17.8	0.69
4	50.02	40.47	0.19
5	55.76	25.24	0.55
5	60.66	15.28	0.75
4	53.73	21.01	0.61
5	50.81	40.14	0.21
5	57.22	39.06	0.32
6	67.73	35.46	0.48
6	61.56	26.68	0.57
5	58.5	36.46	0.38
7	73.21	24.41	0.67
3	43.74	19.79	0.55
