N.QTL	p.ts	p.vs	bias
3	36.1	32.54	0.1
6	58.34	63.91	-0.1
4	52.46	26.1	0.5
6	67.89	13.17	0.81
7	72.9	23.26	0.68
6	65.41	32.8	0.5
4	47.89	33.34	0.3
7	71.66	22.8	0.68
5	58.9	24.4	0.59
5	53.02	40.47	0.24
5	55.99	33.49	0.4
4	52.65	18.49	0.65
6	65.83	28.18	0.57
6	61.19	44.68	0.27
5	54.79	44.04	0.2
4	55.32	19.19	0.65
4	48.15	44.37	0.08
4	46.22	23.02	0.5
5	52.05	33.44	0.36
6	62.74	38.66	0.38
6	66.91	39.58	0.41
5	53.76	30.51	0.43
6	65.02	23.48	0.64
5	52.11	43.22	0.17
4	52.12	20.95	0.6
6	62.16	23.63	0.62
7	67.05	24.86	0.63
6	62.97	27.54	0.56
5	54.75	33.24	0.39
6	59.65	36.83	0.38
6	55.87	39.66	0.29
5	60.36	14.12	0.77
5	58.46	20.63	0.65
5	59.62	32.1	0.46
5	57.09	35.71	0.37
5	61.2	32.23	0.47
5	61.55	16.9	0.73
6	65.49	30.37	0.54
4	50.06	19.75	0.61
5	54.78	35.35	0.35
5	56.98	31.39	0.45
5	57.42	19.69	0.66
4	55.36	23.01	0.58
5	55.69	35.51	0.36
6	61.02	30.5	0.5
3	41.11	22.97	0.44
7	69.18	44.92	0.35
6	64.03	30.74	0.52
4	54.49	19.71	0.64
7	62.49	30.59	0.51
5	51.4	37.93	0.26
4	50.54	31.08	0.39
5	55.14	41.1	0.25
6	61.55	31.28	0.49
4	52.19	22.63	0.57
5	52.12	43.75	0.16
5	53.04	47.05	0.11
6	63.49	27.73	0.56
6	59.13	46.99	0.21
4	49.17	11.28	0.77
5	49.83	27.73	0.44
6	64.97	34.23	0.47
5	58.54	39.23	0.33
5	53.14	40.87	0.23
4	52.91	28.44	0.46
6	59.78	40.58	0.32
5	59.96	23.83	0.6
7	71.48	15.29	0.79
4	46.99	46.21	0.02
5	57.56	29.22	0.49
7	63.66	39.93	0.37
4	48.56	13.88	0.71
5	50.68	39.05	0.23
4	49.28	30.97	0.37
4	53.21	22.17	0.58
5	52.34	40.38	0.23
5	58.62	41.59	0.29
3	39.23	30.33	0.23
6	60.8	41.34	0.32
6	60.89	34.68	0.43
6	66.77	23.79	0.64
4	54.74	24.11	0.56
4	49.13	31.34	0.36
6	61.75	37.15	0.4
4	50.2	9.78	0.81
4	46.92	32.48	0.31
5	59.91	25.36	0.58
5	58	29.13	0.5
4	50.17	21.21	0.58
4	45.19	28.82	0.36
5	54.16	41.89	0.23
5	57.26	19.68	0.66
6	63.54	33.79	0.47
5	60.92	17.7	0.71
4	45.54	56.33	-0.24
6	58.04	55.4	0.05
5	49.5	48.06	0.03
4	56.88	8.7	0.85
6	68.32	27.79	0.59
5	57.18	32.43	0.43
