N.QTL	p.ts	p.vs	bias
4	49.04	4.62	0.91
4	45.31	8.85	0.8
1	17.26	17.13	0.01
2	26.37	24.97	0.05
2	26.33	16.43	0.38
7	65.11	14.27	0.78
2	19.97	18.53	0.07
1	20.35	7.63	0.63
4	48.89	15.95	0.67
3	31.7	10.87	0.66
3	32.72	26.7	0.18
3	39.89	8.37	0.79
2	31.39	19.42	0.38
6	54.71	35.9	0.34
1	20.24	22.14	-0.09
3	32.82	18.79	0.43
3	34.28	30.24	0.12
2	32.62	6.64	0.8
2	29.77	21.64	0.27
1	15.38	29.28	-0.9
2	23.28	23.33	0
3	27.48	25.65	0.07
4	46.99	7.49	0.84
3	35.32	12.81	0.64
3	39.42	12.73	0.68
2	24.43	23.37	0.04
2	29.44	21.33	0.28
3	33.43	24.84	0.26
5	58.26	15.35	0.74
2	25.34	24.68	0.03
2	22.9	13.58	0.41
3	37.99	2.83	0.93
2	41.97	9.88	0.76
4	44.01	12.19	0.72
3	32.67	26.64	0.18
2	30.87	7.5	0.76
1	15.63	34.03	-1.18
1	11.72	22.16	-0.89
3	33.42	23.36	0.3
4	47.07	13.87	0.71
2	24.1	15.61	0.35
4	52.56	10.47	0.8
1	17.29	25.14	-0.45
1	18.98	9.07	0.52
5	56.28	23.73	0.58
3	34.15	17.41	0.49
2	35.86	6.38	0.82
3	41.96	12.74	0.7
3	32.9	24.39	0.26
2	27.24	31.85	-0.17
5	57.99	25.35	0.56
2	31.39	12.51	0.6
2	25.36	23.96	0.06
3	33.73	17.79	0.47
4	44.65	11.95	0.73
1	15.57	16.77	-0.08
3	37.07	10.12	0.73
3	38.95	13.35	0.66
2	25.51	21.98	0.14
4	49.16	18.38	0.63
3	35.21	29.44	0.16
2	19.35	22.97	-0.19
3	43.78	14.7	0.66
4	46.48	12.19	0.74
1	15.94	16.85	-0.06
1	16.22	31.22	-0.93
3	32.84	17.59	0.46
4	47.44	10	0.79
1	15.23	23.79	-0.56
2	26.95	14.89	0.45
3	37.41	32.24	0.14
5	54.2	23.8	0.56
5	58.77	18.47	0.69
3	42.84	7.71	0.82
2	29.02	18.75	0.35
5	55.34	11.63	0.79
2	24.23	19.77	0.18
2	23.92	15.87	0.34
2	29.6	15.51	0.48
2	27.27	21.42	0.21
1	17.85	13.16	0.26
3	40.52	10.92	0.73
2	20.01	18.34	0.08
3	30.16	6.8	0.77
2	23.28	23.48	-0.01
1	22.49	1.99	0.91
1	11.52	12.1	-0.05
3	38	5.63	0.85
3	33.11	12.03	0.64
3	32.95	27.64	0.16
5	56.01	20.06	0.64
2	33.94	3.99	0.88
3	37.03	4.6	0.88
3	29.28	16.62	0.43
2	20.23	7.6	0.62
3	31.36	19.83	0.37
2	22.27	17.96	0.19
6	58.75	23.52	0.6
1	22.98	22.59	0.02
4	47	16.16	0.66
