N.QTL	p.ts	p.vs	bias
2	30.73	22.92	0.25
1	17.57	15.33	0.13
4	51.76	8.74	0.83
3	41.17	12.26	0.7
3	38.5	15.26	0.6
3	43.14	7.21	0.83
5	54.53	20.26	0.63
2	30.53	11.23	0.63
2	26.35	24.49	0.07
2	34.26	14.27	0.58
1	17.22	19.93	-0.16
6	61.83	15.35	0.75
3	32.42	1.79	0.94
2	30.53	6.23	0.8
3	39.73	13.77	0.65
2	30	13.46	0.55
3	40.67	2.97	0.93
3	39.31	11.9	0.7
2	34.04	23.59	0.31
3	40.41	11.94	0.7
2	22.55	24.68	-0.09
2	27.01	17.64	0.35
1	15.34	14.8	0.03
4	45.89	13.07	0.72
1	17.17	9.85	0.43
1	17.58	19.85	-0.13
3	36.74	5.98	0.84
2	26.01	23.48	0.1
1	17.64	14.59	0.17
2	23.67	34.18	-0.44
1	17.13	13.57	0.21
1	15.88	36.23	-1.28
1	17.72	20.23	-0.14
4	50.83	18.54	0.64
4	48.94	21.42	0.56
2	35.44	13.56	0.62
2	33.09	6.41	0.81
2	27.7	27.23	0.02
1	18.39	5.64	0.69
2	30.64	13.35	0.56
2	26	9.06	0.65
1	15.6	9	0.42
2	24.44	21.53	0.12
2	32.06	14.14	0.56
2	31.87	1.04	0.97
1	19.76	16.54	0.16
2	18.87	12.62	0.33
1	17.52	15.66	0.11
2	32.58	14.9	0.54
4	45.46	30.31	0.33
1	17.45	12.91	0.26
3	33.4	25.13	0.25
3	42.78	21.71	0.49
2	28.1	22.18	0.21
1	16.96	27.29	-0.61
2	27.26	12.25	0.55
1	11.08	17.94	-0.62
3	38.02	21.95	0.42
3	43.23	18.21	0.58
4	53.01	18.74	0.65
4	44.76	12.05	0.73
2	25.55	21.4	0.16
2	19.04	29.99	-0.57
2	38.54	6.73	0.83
2	24.79	17.49	0.29
1	15.13	10.99	0.27
2	28.63	6.06	0.79
3	43.17	11.78	0.73
1	21.96	12.35	0.44
1	11.94	13.94	-0.17
2	28.12	2.54	0.91
3	34.18	30.04	0.12
2	22.09	26.53	-0.2
1	19.85	19.58	0.01
1	15.63	13.37	0.14
1	15.32	20.51	-0.34
2	31.51	10.4	0.67
3	41.71	24.94	0.4
3	43.75	14.77	0.66
1	16.48	21.46	-0.3
2	29.37	19.82	0.33
3	35.74	20.96	0.41
1	19.56	31.38	-0.6
2	24.98	7.63	0.69
2	33.27	4.71	0.86
4	49.47	10.12	0.8
2	28.82	38.89	-0.35
2	28.41	6.15	0.78
4	48.5	20.16	0.58
1	14.18	28.13	-0.98
2	30.14	21.01	0.3
2	26.61	24.14	0.09
2	27.92	12.26	0.56
1	18.33	12.33	0.33
3	36.25	14.81	0.59
2	27.51	15.65	0.43
1	11.05	22.73	-1.06
2	32.44	23.25	0.28
2	28.87	9.68	0.66
4	47.76	19.34	0.6
