N.QTL	p.ts	p.vs	bias
7	65.2	24.91	0.62
6	58.75	38.39	0.35
10	79.43	14.69	0.82
8	71.75	14.21	0.8
9	72.75	42.47	0.42
8	71.12	26.31	0.63
10	78.3	35.08	0.55
6	62.01	36.06	0.42
10	76.19	30.32	0.6
10	80.35	27.6	0.66
6	59.03	19.36	0.67
11	82.42	21.78	0.74
9	76.03	22.29	0.71
6	56.03	12.76	0.77
8	66.55	24.24	0.64
9	74.99	33.33	0.56
11	79.68	22.83	0.71
8	64.9	48.78	0.25
6	61.27	28.71	0.53
9	75.37	42.71	0.43
8	64.87	39.72	0.39
8	72.25	28.57	0.6
9	75.58	26.98	0.64
9	74.88	28.05	0.63
9	72.14	31.04	0.57
8	69.98	19.05	0.73
9	74.06	44.07	0.4
9	79.56	29.98	0.62
6	53.2	45.72	0.14
13	85.49	44.95	0.47
9	70.48	45.48	0.35
9	77.38	37.26	0.52
7	66.89	28.68	0.57
8	68.54	24.02	0.65
8	69.18	17.34	0.75
9	77.78	14.72	0.81
7	69.19	7.34	0.89
7	64.17	8.55	0.87
7	65.14	38.39	0.41
5	54.04	28.57	0.47
8	71.97	29.27	0.59
7	60.18	39.23	0.35
7	65	17.86	0.73
6	61.1	35.1	0.43
28	104.78	18.68	0.82
10	79.9	40.71	0.49
8	68.92	28.46	0.59
7	64.19	31.53	0.51
6	58.52	14.32	0.76
8	70.28	38.18	0.46
7	63.19	31.35	0.5
9	72.04	32.74	0.55
9	80.25	26.3	0.67
10	76.89	31.18	0.59
6	54.17	18.36	0.66
8	67.46	46.16	0.32
11	81.14	30.69	0.62
7	67.96	29.12	0.57
10	80.54	30.58	0.62
8	70.64	28.22	0.6
9	76.71	13.99	0.82
11	79.12	29.02	0.63
7	66.53	38.64	0.42
7	62.68	10.3	0.84
6	57.53	20.92	0.64
9	75.82	35.13	0.54
6	57.7	24.8	0.57
8	70.29	24.69	0.65
6	56.77	11.61	0.8
8	73.91	29.58	0.6
10	77.8	25.86	0.67
9	76.57	37.46	0.51
11	82.16	37.68	0.54
7	68.48	29.65	0.57
8	67.13	37.17	0.45
7	72.36	27.3	0.62
9	77.19	43.08	0.44
9	73.04	50.31	0.31
6	61.73	29.31	0.53
5	50.24	23.23	0.54
8	70.49	39.97	0.43
11	84.91	20.25	0.76
8	66.31	45.02	0.32
8	70.15	36.87	0.47
7	71.73	29.8	0.58
10	76.44	21.32	0.72
9	68.39	36.32	0.47
6	62.1	26.36	0.58
6	65.35	14.81	0.77
9	73.43	32.16	0.56
7	64.91	38.08	0.41
7	66.11	30.87	0.53
9	74.48	36.28	0.51
8	68.9	43.88	0.36
11	80.08	34.03	0.58
8	73.71	26.86	0.64
8	72.37	15.55	0.79
7	67.17	43.64	0.35
11	81.77	27.54	0.66
8	72.18	42.77	0.41
