N.QTL	p.ts	p.vs	bias
9	78.12	25.57	0.67
12	81.62	41.55	0.49
8	72.36	26.62	0.63
6	59.31	15.51	0.74
7	70.22	31.81	0.55
7	69.95	20	0.71
6	65.88	25.86	0.61
7	66.31	28.07	0.58
7	69.43	48.47	0.3
8	73.25	48.38	0.34
9	78.75	36.62	0.53
6	58.58	7.83	0.87
7	66.93	33.74	0.5
7	64.39	49.29	0.23
4	40.46	42.18	-0.04
6	55.93	39.41	0.3
7	63.66	13.41	0.79
10	76.04	47.13	0.38
7	71.5	26.73	0.63
5	53.19	19.47	0.63
7	68.66	24.83	0.64
6	66.36	33.96	0.49
9	72.36	38.5	0.47
4	39.15	21.34	0.45
5	56.72	22.82	0.6
11	83.75	33.66	0.6
9	71.51	25.02	0.65
8	70.52	23.49	0.67
6	61.15	38.38	0.37
8	73.61	23.67	0.68
8	75.43	18.85	0.75
6	55.82	42.63	0.24
7	67.3	42.11	0.37
7	66.43	26.52	0.6
9	77.63	20.4	0.74
6	60.45	17.01	0.72
10	84.15	22.17	0.74
8	64.29	18.8	0.71
7	65.7	20.78	0.68
8	66.57	34.72	0.48
8	68.13	22.45	0.67
7	64.21	31.27	0.51
6	59.1	52.07	0.12
5	55.54	18.44	0.67
8	71.25	17.31	0.76
9	76.43	32.95	0.57
7	68.42	40.48	0.41
6	60.08	35.56	0.41
8	71.34	27.74	0.61
8	70.47	28.19	0.6
8	66.56	24.26	0.64
6	58.53	18.18	0.69
9	71.98	42.33	0.41
5	60.94	12	0.8
6	62.27	19.71	0.68
8	68.12	27.18	0.6
5	54.93	13.38	0.76
5	57.67	27.9	0.52
11	82.7	24.22	0.71
8	70.64	34.24	0.52
7	64.37	48.09	0.25
10	76.64	17.38	0.77
8	68.69	43.03	0.37
4	44.03	30.64	0.3
9	76.51	13.76	0.82
10	79.61	47.81	0.4
7	60.09	45	0.25
7	67.09	20.42	0.7
6	61.57	24.32	0.61
8	74.9	13.48	0.82
8	63.81	49.76	0.22
8	65.62	21.06	0.68
7	72.7	11.84	0.84
10	83.86	40.55	0.52
6	56.69	20.65	0.64
10	83.16	29.46	0.65
6	53.96	34.93	0.35
6	50.95	22.41	0.56
8	75.75	24.95	0.67
8	71.9	11.95	0.83
9	70.3	24.77	0.65
6	60.88	18.2	0.7
8	74.04	27.22	0.63
5	55.53	9.99	0.82
8	72.16	33.59	0.53
10	75.71	20.28	0.73
7	66.6	41.91	0.37
9	73.45	23.54	0.68
7	66.73	25.34	0.62
12	87.78	32.36	0.63
7	68.84	16.9	0.75
9	75.96	26.96	0.65
7	66.71	31.11	0.53
8	64.64	35.25	0.45
7	66.81	43.45	0.35
7	63.09	33.77	0.46
8	72.66	26.68	0.63
9	75.33	28.31	0.62
12	84.59	27.82	0.67
9	70.74	17.86	0.75
