N.QTL	p.ts	p.vs	bias
4	46.68	26.54	0.43
3	36.72	21.13	0.42
2	19.31	12.43	0.36
4	37.21	3.4	0.91
5	47.91	7.23	0.85
2	24.77	3.86	0.84
0	0	0	NA
4	55.68	9.81	0.82
3	37.93	7.43	0.8
5	47.76	15.2	0.68
3	36.26	13.59	0.63
1	16.92	4.67	0.72
5	53.63	26.62	0.5
3	33.16	20.39	0.39
0	0	0	NA
0	0	0	NA
4	35.57	2.18	0.94
3	32.67	18.7	0.43
4	49.27	24.19	0.51
2	31.32	8.74	0.72
4	46.01	7.48	0.84
1	9.8	18.51	-0.89
3	36.16	9.22	0.75
2	25.4	6.94	0.73
2	18.73	1.89	0.9
5	49.82	8.5	0.83
2	24.07	12.68	0.47
4	40.55	20.93	0.48
1	20.56	13.65	0.34
4	45.23	15.76	0.65
5	52.56	21.04	0.6
3	31.8	24.65	0.22
5	49.23	37.67	0.23
5	52.27	33.17	0.37
2	28.62	16.41	0.43
3	38.02	17.46	0.54
8	83.23	13.61	0.84
2	22.8	12.49	0.45
5	47.41	33.92	0.28
9	85.94	20.55	0.76
4	45.07	28.1	0.38
6	64.17	11.93	0.81
3	33.51	15.5	0.54
2	32.21	8.9	0.72
1	15.22	16.5	-0.08
1	15.84	18.65	-0.18
2	23.17	7.47	0.68
1	10.5	21.68	-1.06
6	53.32	28.55	0.46
4	44.76	9.49	0.79
1	13.52	3.32	0.75
4	42.02	11.3	0.73
1	12.2	9.5	0.22
6	65.99	16.92	0.74
2	30.68	6.9	0.78
4	46.57	15.09	0.68
4	45.33	6.95	0.85
3	34.18	6.08	0.82
0	0	0	NA
5	51.82	8.05	0.84
2	27.64	5.99	0.78
4	44.67	9.24	0.79
3	34.11	3.5	0.9
4	43.82	21.98	0.5
2	24.98	7.42	0.7
4	49.67	24.11	0.51
5	51.01	22.98	0.55
2	19.44	17.18	0.12
3	38.52	16.8	0.56
1	10.92	21.09	-0.93
3	39.52	18.33	0.54
0	0	0	NA
4	39.26	11.91	0.7
3	40.69	19.05	0.53
1	12.12	20.22	-0.67
2	24.96	13.78	0.45
3	31.93	21.76	0.32
3	44.56	17.83	0.6
5	52.78	19	0.64
1	20.77	9.44	0.55
2	17.28	12.78	0.26
7	76.52	16.27	0.79
2	24.41	9.06	0.63
1	15.66	7.42	0.53
3	36.85	25.99	0.29
4	42.47	33.4	0.21
4	49.97	24.87	0.5
7	63.4	11	0.83
3	35.42	25.58	0.28
3	25.47	3.33	0.87
3	42.15	7.22	0.83
3	27.98	33.91	-0.21
1	15.52	16.18	-0.04
3	38.28	14.92	0.61
3	30.63	7.79	0.75
3	32.25	14.41	0.55
1	15.06	3.07	0.8
5	51.47	6.84	0.87
2	21.75	3.54	0.84
4	38.31	18.77	0.51
