N.QTL	p.ts	p.vs	bias
5	50.3	26.02	0.48
1	12.27	11.22	0.09
2	31.04	8.67	0.72
3	36.04	8.76	0.76
5	55.66	21.43	0.62
4	41.87	17.38	0.58
2	23.06	26.03	-0.13
1	8.93	5.97	0.33
3	41.62	12.68	0.7
6	55.15	33.9	0.39
4	46.6	10.44	0.78
1	16.35	13.66	0.16
4	41.66	11.91	0.71
1	16.49	7.44	0.55
2	20.23	19.31	0.05
5	47.09	5.89	0.87
3	49.11	12.2	0.75
4	47.74	2.4	0.95
2	19.19	14.29	0.26
3	37.82	9.75	0.74
0	0	0	NA
4	44.26	18.97	0.57
2	28.18	26.97	0.04
5	57.7	13.23	0.77
3	32.67	20.42	0.37
7	71.91	21.12	0.71
3	33.37	8.66	0.74
2	24.37	11.62	0.52
2	28.33	10.22	0.64
2	24.76	30.69	-0.24
3	35.26	15.58	0.56
3	36.86	21.86	0.41
1	13.5	10.48	0.22
5	63.6	16.45	0.74
1	16.06	9.13	0.43
2	29.24	10.82	0.63
1	16.94	9.83	0.42
6	63.09	14.45	0.77
3	35.85	19.05	0.47
1	16.07	6.4	0.6
3	39.93	13.04	0.67
4	51.3	19.48	0.62
3	33.93	24.06	0.29
2	27.62	15.29	0.45
0	0	0	NA
2	28.14	12.61	0.55
4	44.2	15.68	0.65
5	59.34	4.54	0.92
1	10.1	21.04	-1.08
5	49.34	14.35	0.71
6	72.42	15.31	0.79
6	54.7	14.39	0.74
4	46.09	10.55	0.77
4	44.94	15.59	0.65
5	55.32	25.51	0.54
2	17.96	14.13	0.21
6	66.33	20.62	0.69
3	41.49	12.57	0.7
6	62.94	19.67	0.69
3	27.42	10.16	0.63
3	33.18	5.3	0.84
4	41.06	13.3	0.68
0	0	0	NA
4	47.97	10.36	0.78
0	0	0	NA
6	69.07	14.3	0.79
1	18.72	7.69	0.59
0	0	0	NA
2	24.49	9.72	0.6
3	44.49	4.87	0.89
3	37.14	16.06	0.57
6	57.38	4.39	0.92
4	39.17	8.77	0.78
3	33.12	13.68	0.59
7	79.69	25.66	0.68
6	61.45	20.5	0.67
3	44.19	24.41	0.45
3	29.05	16.67	0.43
0	0	0	NA
1	14.53	23.71	-0.63
4	42.06	14.04	0.67
4	59.1	10.3	0.83
2	25.63	10.55	0.59
7	77.66	20.06	0.74
3	29.59	2.86	0.9
4	49.64	14.38	0.71
0	0	0	NA
3	33.24	16.75	0.5
1	16.42	9.1	0.45
3	34.58	12.73	0.63
3	32.05	8.94	0.72
1	16.7	3.52	0.79
2	29.77	4.42	0.85
5	47.75	12.61	0.74
2	35.26	14.96	0.58
3	40.97	8.75	0.79
2	19.17	6.23	0.68
5	51.32	24.14	0.53
0	0	0	NA
2	32.83	8.54	0.74
