N.QTL	p.ts	p.vs	bias
4	44.76	18.27	0.59
9	68.45	33.59	0.51
6	55.5	20.73	0.63
8	62.45	15.18	0.76
5	44.73	28.32	0.37
8	65.05	28.2	0.57
6	58.51	13.34	0.77
8	62.22	27.92	0.55
7	58.66	12.52	0.79
6	49.12	40.37	0.18
5	54.98	15.99	0.71
6	50.5	23.85	0.53
5	43.37	35.77	0.18
7	60.03	25.55	0.57
6	52.53	22.47	0.57
5	48.35	16.21	0.66
8	60.7	29.25	0.52
11	77.18	11.17	0.86
7	53.02	42.37	0.2
9	70.64	20.07	0.72
7	58.18	13.82	0.76
7	60.94	28.1	0.54
4	43.18	26.3	0.39
6	53.75	17.96	0.67
7	51.54	30.64	0.41
5	51.11	36.04	0.29
6	51.91	36.69	0.29
7	59.03	9.88	0.83
8	63.27	18.75	0.7
5	48.86	31.69	0.35
5	46.61	24.19	0.48
6	51.76	33.5	0.35
9	66.92	28.43	0.58
9	68.61	26.88	0.61
7	53.59	20.05	0.63
7	56.05	18.18	0.68
5	43.72	26.24	0.4
6	47.99	44.57	0.07
5	54.11	14.87	0.73
4	43.25	23.39	0.46
6	57.11	24.94	0.56
9	65.65	38.25	0.42
6	52.22	29.27	0.44
7	58.6	14.35	0.76
7	53.4	42.45	0.21
6	51.33	18.97	0.63
6	53.03	26.74	0.5
4	39.57	38.15	0.04
9	74.42	9.42	0.87
6	47.16	25.15	0.47
7	53.86	23.97	0.55
5	45.9	27.79	0.39
7	61.61	9.98	0.84
6	61.61	16.22	0.74
10	70.36	13.23	0.81
6	48.59	44.41	0.09
7	64.37	16.78	0.74
7	60.97	12.56	0.79
6	52.44	13.74	0.74
5	49.92	8.44	0.83
6	50.02	21.3	0.57
5	47.75	29.6	0.38
5	49.89	20.44	0.59
10	73.74	10.34	0.86
4	39.97	22.37	0.44
7	62.21	22.19	0.64
9	64.9	26.71	0.59
7	51.13	46.24	0.1
4	40.86	38.36	0.06
6	52.09	45.11	0.13
8	65.69	20.63	0.69
6	53.07	21.52	0.59
7	53.49	26	0.51
6	56.2	11.49	0.8
5	46.47	32.9	0.29
4	44.2	22.52	0.49
8	68.13	22.62	0.67
4	38.46	30.11	0.22
6	50.02	38.24	0.24
5	46.15	21.21	0.54
5	46.69	29.79	0.36
5	40.64	37.81	0.07
8	69.12	4.52	0.93
10	69.1	27.12	0.61
8	64.32	22.56	0.65
7	53.28	29.92	0.44
5	48.16	15.76	0.67
7	57.35	16.12	0.72
5	45.6	32.79	0.28
6	54.27	19.18	0.65
7	56.57	25.8	0.54
6	50.09	21.69	0.57
5	47.86	17.93	0.63
6	55.57	17.46	0.69
7	53.19	27.47	0.48
5	46.97	24.64	0.48
5	52.48	15.19	0.71
8	63.39	40.08	0.37
4	37.47	28.22	0.25
4	43.98	26.75	0.39
