N.QTL	p.ts	p.vs	bias
5	49.22	20.3	0.59
6	58.24	7.96	0.86
6	55.24	21.22	0.62
6	54.73	17.8	0.67
9	65.82	16.57	0.75
9	70.56	20.27	0.71
7	60.8	18.79	0.69
5	44.94	9.24	0.79
8	63.91	19.34	0.7
7	56.33	23.29	0.59
7	59.43	22.39	0.62
6	53.48	8.18	0.85
9	70.95	40.91	0.42
6	52.89	16.35	0.69
7	59.38	20.49	0.65
8	60.63	29.27	0.52
7	58.66	23.03	0.61
10	71.21	30.55	0.57
4	41.05	20.73	0.49
8	64.89	23.14	0.64
6	53.07	42.77	0.19
8	66.43	11.75	0.82
5	45.7	13.51	0.7
7	66.05	14.22	0.78
7	54.97	22.27	0.59
5	52.42	15.84	0.7
8	62.37	24.03	0.61
8	63.72	29.97	0.53
7	53.91	36.38	0.33
5	43.27	27.75	0.36
4	40.91	23.02	0.44
7	60.8	19.89	0.67
11	71.88	32.75	0.54
6	53.96	9.78	0.82
8	69.5	19.24	0.72
6	51.47	20.87	0.59
7	58	27.28	0.53
7	62.26	20.08	0.68
8	63.36	15.26	0.76
7	58.89	23.23	0.61
6	52.02	18.26	0.65
10	70.75	29.97	0.58
7	55.45	32.97	0.41
7	65.33	17.42	0.73
6	57.01	28.86	0.49
6	52.96	29.21	0.45
9	67.83	19.34	0.71
7	58.25	12.88	0.78
6	48.82	10.56	0.78
5	51.21	20.02	0.61
8	65.4	15.72	0.76
7	61.41	20.7	0.66
9	67.81	33.4	0.51
7	54.72	33.28	0.39
6	55.13	21.11	0.62
7	57.09	17.1	0.7
8	64.13	16.04	0.75
5	49.57	28.18	0.43
6	55.48	27.26	0.51
8	62.75	17.94	0.71
6	53.27	29.19	0.45
5	51.36	9.48	0.82
8	67.06	6.92	0.9
6	51.45	36.74	0.29
7	56.74	27.88	0.51
5	52.82	9.33	0.82
7	60.51	17.66	0.71
6	57.72	12.06	0.79
6	53.56	16.03	0.7
5	41.55	20.65	0.5
8	57.05	29.49	0.48
6	56.44	19.2	0.66
7	60.19	24.34	0.6
8	64.62	24.28	0.62
9	72.32	6.71	0.91
5	48.58	16.34	0.66
5	50.92	29.8	0.41
7	57.6	42.2	0.27
7	61.1	32.74	0.46
9	70.12	24.23	0.65
6	54.25	8.56	0.84
5	47.65	29.48	0.38
4	37.52	35.99	0.04
10	76.38	26.4	0.65
7	59.54	9.78	0.84
6	49.79	33.87	0.32
5	46.67	23.58	0.49
4	42.82	22.32	0.48
9	65.41	29.01	0.56
7	59.07	36.31	0.39
11	73.9	25.56	0.65
6	54.64	18.07	0.67
10	70.79	13.63	0.81
7	56.12	29.08	0.48
6	58.47	22.74	0.61
5	40.21	31.63	0.21
9	74.36	17.28	0.77
5	50.42	17.67	0.65
7	62.61	25.18	0.6
7	61.62	17.52	0.72
