N.QTL	p.ts	p.vs	bias
2	27.49	18.7	0.32
3	40.29	37.96	0.06
2	35.64	4.6	0.87
2	28.39	31.38	-0.11
2	19.31	68.12	-2.53
4	46.65	41.49	0.11
3	41.37	17.84	0.57
5	51.08	51.54	-0.01
2	25.23	26.16	-0.04
3	44.2	30.28	0.31
3	48.51	10.61	0.78
2	21.32	44.64	-1.09
2	31.07	25.45	0.18
2	23.54	29.71	-0.26
2	25.1	31.07	-0.24
3	33.9	32.56	0.04
5	61.44	7.11	0.88
2	23.97	25.63	-0.07
4	57.49	15.47	0.73
2	25.5	43.03	-0.69
3	32.96	30.44	0.08
1	17.9	24.3	-0.36
2	21.63	30.52	-0.41
6	71.9	17.5	0.76
3	41.19	20.14	0.51
2	29.68	30.51	-0.03
3	39.13	14.97	0.62
3	36.4	44.67	-0.23
2	24.59	20.72	0.16
3	36.89	15.3	0.59
5	63.78	22.55	0.65
3	45.93	16.5	0.64
5	68.45	16.37	0.76
2	26.84	10.94	0.59
3	28.14	33.77	-0.2
0	0	0	NA
3	52.25	16.83	0.68
4	48.53	22.29	0.54
4	49.21	22.3	0.55
2	34.28	41.8	-0.22
2	36.86	12.8	0.65
1	17.61	16.14	0.08
2	32.27	10.54	0.67
4	38.82	27.1	0.3
4	46.88	26.76	0.43
2	32.64	4.87	0.85
4	51.6	1.84	0.96
3	28.99	42.88	-0.48
2	31.96	50.85	-0.59
3	46.6	21.32	0.54
2	21.11	53.35	-1.53
3	45.78	20.07	0.56
1	18.1	18.69	-0.03
4	52.24	38.84	0.26
2	22.7	23.1	-0.02
3	37.98	45.43	-0.2
0	0	0	NA
2	33.21	20.02	0.4
6	55.88	15.72	0.72
2	30.74	19.28	0.37
6	69.83	8.43	0.88
3	36.09	38.6	-0.07
3	40.26	16.48	0.59
4	35.9	28.1	0.22
2	36.18	17.5	0.52
3	38.48	6.94	0.82
4	55.82	11.77	0.79
2	17.94	5.91	0.67
6	73.03	41.02	0.44
3	30.34	36.58	-0.21
4	42.81	14.47	0.66
5	49.89	16.66	0.67
2	20.57	37.11	-0.8
4	44.16	31.79	0.28
5	69.85	12.38	0.82
2	33.58	8.92	0.73
4	44.27	21.94	0.5
3	44.57	44.48	0
5	65.19	16.76	0.74
2	29.28	24	0.18
4	46.59	35.91	0.23
2	33.19	24.55	0.26
3	40.81	21.57	0.47
5	52.06	36.87	0.29
2	27.79	8.25	0.7
4	52.03	9.16	0.82
2	34.23	16.64	0.51
4	46.51	12.26	0.74
2	25.47	27.46	-0.08
1	15.46	8.9	0.42
2	27.21	28.29	-0.04
4	43.1	3.53	0.92
3	41.69	25.26	0.39
2	32.22	22.86	0.29
3	39.27	23.94	0.39
5	61.66	19.95	0.68
3	36.21	19.96	0.45
2	33.2	31.25	0.06
2	28.19	24.64	0.13
4	47.31	44.4	0.06
