N.QTL	p.ts	p.vs	bias
7	82.76	20	0.76
3	33.87	8.69	0.74
3	49.07	33.57	0.32
4	50.9	17.3	0.66
3	28.2	27.43	0.03
3	37.41	29.24	0.22
4	52.79	20.95	0.6
3	56.39	25.46	0.55
3	48.78	40.65	0.17
2	33.65	15.57	0.54
4	45.47	32.65	0.28
2	27.1	3.42	0.87
3	47.28	6.77	0.86
4	53.24	16.19	0.7
3	50.98	17.67	0.65
3	45.41	28.54	0.37
6	73.33	14.72	0.8
5	60.51	27.51	0.55
2	26.67	10.87	0.59
2	31.32	19	0.39
3	40.02	26.16	0.35
4	55.44	23.73	0.57
3	45.99	28.82	0.37
4	55.27	11.51	0.79
3	46.93	37.85	0.19
3	45.9	26.43	0.42
3	32.89	12.05	0.63
4	67.22	22.27	0.67
4	46.22	16.83	0.64
4	49.53	39.9	0.19
3	41.77	46.73	-0.12
4	47.13	27.81	0.41
3	42.74	53.92	-0.26
3	44.62	24.75	0.45
2	34.52	25.8	0.25
2	30.69	13.36	0.56
5	58.03	4.64	0.92
2	24.91	25.71	-0.03
3	50.83	22.36	0.56
6	62.77	16.81	0.73
3	48.29	12.6	0.74
0	0	0	NA
1	14.34	12.11	0.16
7	93.23	5.04	0.95
5	50.29	28.98	0.42
3	45.76	31.48	0.31
3	43.08	17.8	0.59
4	55.72	27.72	0.5
3	46.23	23.53	0.49
3	36.94	49.92	-0.35
4	60.07	33.17	0.45
3	42.62	19.24	0.55
2	28.52	37.92	-0.33
2	24.92	30.28	-0.22
3	43.29	26.46	0.39
3	33.59	42.28	-0.26
5	57.78	14.46	0.75
3	50.17	23.05	0.54
4	48.89	47.76	0.02
4	50.57	35.29	0.3
3	40.59	17.78	0.56
5	64.06	28.81	0.55
2	23.45	34.57	-0.47
3	46.67	26.01	0.44
3	46.17	27.12	0.41
0	0	0	NA
4	56.15	14.41	0.74
3	52.33	18.78	0.64
3	36.09	10.7	0.7
2	28.72	13.15	0.54
1	14.21	26.07	-0.84
4	50.3	10.25	0.8
1	15.94	4.67	0.71
2	30.2	7.04	0.77
6	69.65	32.12	0.54
3	48.11	16.09	0.67
3	44.33	40.26	0.09
3	44.86	28.11	0.37
3	45.54	9.94	0.78
6	65.09	35.91	0.45
3	39.68	20.07	0.49
2	36.23	6.92	0.81
3	44.01	23.56	0.46
0	0	0	NA
3	39.27	19.32	0.51
3	32.69	38.21	-0.17
2	29.94	33.83	-0.13
5	62.72	12.69	0.8
2	28.22	17.76	0.37
3	42.14	37.07	0.12
3	39.46	46.33	-0.17
3	42.54	10.58	0.75
3	42.98	46.3	-0.08
6	75.9	32.44	0.57
3	50.72	22.71	0.55
2	28.4	19.7	0.31
1	15.55	48.36	-2.11
5	60.7	18.72	0.69
4	59.83	19.27	0.68
2	34.62	18.46	0.47
