N.QTL	p.ts	p.vs	bias
4	48.95	49.29	-0.01
7	67.98	41.31	0.39
9	67.86	13.64	0.8
6	65.06	28.17	0.57
6	64.46	33.01	0.49
4	47.88	30.13	0.37
7	72.82	15.09	0.79
7	64.43	4.02	0.94
5	61.64	15.83	0.74
5	53.66	41.99	0.22
5	58.89	25.04	0.57
4	47.1	30.96	0.34
5	58.78	35.63	0.39
5	58.9	41.76	0.29
6	63.42	21.43	0.66
5	55.14	31.17	0.43
7	65.56	28.85	0.56
8	71.6	28.2	0.61
5	52.53	22.89	0.56
4	47.79	41.93	0.12
6	58.73	40.55	0.31
5	62.42	30.11	0.52
8	72.39	34.6	0.52
5	50.02	43.12	0.14
5	53.77	38.22	0.29
6	63.35	32.96	0.48
6	65.61	25.99	0.6
6	66.35	15.22	0.77
6	66.38	28.87	0.57
3	31.48	28.09	0.11
6	60.17	33.21	0.45
7	64.6	29.81	0.54
4	53.99	8.87	0.84
6	65.93	14.5	0.78
6	63.42	33.46	0.47
6	64.11	39.57	0.38
5	60.48	21.07	0.65
5	62.57	28.64	0.54
7	64.32	13.29	0.79
4	42.86	15.19	0.65
7	70.81	22.15	0.69
8	74.04	34.31	0.54
5	58.07	25.66	0.56
5	48.83	34.78	0.29
5	48.03	37.89	0.21
6	64.99	33.41	0.49
7	67.51	37.11	0.45
6	56.7	40.8	0.28
7	63.02	21.69	0.66
5	59.16	35.64	0.4
6	62.35	26.38	0.58
6	57.6	26.77	0.54
6	60.26	32.69	0.46
5	59	30.78	0.48
5	55.33	23.81	0.57
5	50.44	19.94	0.6
6	60.9	24.89	0.59
4	46.71	33.97	0.27
5	57.25	38.77	0.32
7	73.55	17.84	0.76
5	49.85	31.71	0.36
6	61	28.76	0.53
5	60.66	38.9	0.36
6	59.58	14.29	0.76
5	54.55	56.63	-0.04
6	65.11	31.07	0.52
5	56.33	41.51	0.26
4	46.3	30.45	0.34
8	68.32	40.73	0.4
8	76.63	26.4	0.66
5	53.1	32	0.4
4	45.89	32.78	0.29
5	56.01	22.46	0.6
5	56.07	27.76	0.5
6	65.78	15.71	0.76
4	54.62	19.82	0.64
5	56.12	26.02	0.54
5	61.66	25.27	0.59
5	50.01	21.5	0.57
5	56.99	8.35	0.85
4	48.37	22.7	0.53
4	52.28	27.43	0.48
5	54.62	32.42	0.41
6	54.11	25.84	0.52
5	59.43	23.19	0.61
6	58.64	7.33	0.88
5	45.51	25.54	0.44
5	56.5	10.76	0.81
5	60.53	32.78	0.46
4	49.04	33.12	0.32
7	68.19	32.82	0.52
4	50.55	38.29	0.24
9	72.46	19.04	0.74
4	51.16	8.73	0.83
5	56.85	30.91	0.46
5	62.85	30.43	0.52
6	58.02	24.91	0.57
5	53.33	33.63	0.37
4	48.2	42.39	0.12
8	70.02	38.78	0.45
