N.QTL	p.ts	p.vs	bias
5	51.83	42.46	0.18
5	58.78	26.76	0.54
5	61.48	18.87	0.69
4	48.4	27.01	0.44
7	62.65	31.53	0.5
6	70.23	16.11	0.77
4	52.1	31.66	0.39
3	38.38	29.04	0.24
4	49.51	34.37	0.31
7	62.36	19.84	0.68
3	41.3	31.05	0.25
4	50.26	27.8	0.45
7	66.92	21.05	0.69
5	52.49	8.67	0.83
5	55.54	49.49	0.11
7	68.03	22.53	0.67
4	47	39.19	0.17
6	60.15	17.73	0.71
5	60.9	20.67	0.66
5	53.59	26.77	0.5
5	51.66	47.26	0.09
6	67.28	29.33	0.56
5	58.33	21.03	0.64
5	51.53	32.29	0.37
6	63.77	27.78	0.56
6	59.57	32.51	0.45
4	49.3	26.84	0.46
6	61.23	27.36	0.55
8	77.53	29.49	0.62
5	48.76	31.74	0.35
3	45.29	16.54	0.63
4	48.32	30.02	0.38
5	59.29	29.87	0.5
6	56.99	26.18	0.54
6	65.94	32.15	0.51
5	52.76	35.03	0.34
4	52.39	22.81	0.56
5	54.39	42	0.23
6	62.68	17.92	0.71
5	56.43	14.61	0.74
4	47	31.7	0.33
5	57.49	37.19	0.35
4	48.8	37.04	0.24
5	53.4	26.57	0.5
6	66.78	13.19	0.8
6	60.05	39.42	0.34
5	57.31	21.35	0.63
5	54.35	35.31	0.35
7	64.44	28.75	0.55
5	54.17	32.74	0.4
6	59.38	40.08	0.33
4	50.46	28.55	0.43
6	60.31	24.56	0.59
5	51.12	28.77	0.44
7	70.48	17.17	0.76
6	58.28	31.84	0.45
5	60.42	19.94	0.67
4	48.39	38.53	0.2
7	64.68	24.48	0.62
7	67.45	41.34	0.39
6	62.79	28.38	0.55
6	60.04	28.83	0.52
5	54.6	17.43	0.68
6	57.86	9.85	0.83
4	47.85	22.17	0.54
5	56.59	37.95	0.33
5	54.55	17.7	0.68
5	50.6	17.48	0.65
7	66.01	29.66	0.55
6	60.99	37.54	0.38
7	65.95	27.58	0.58
7	72.04	5.27	0.93
5	53.29	24.79	0.53
4	47.72	34.54	0.28
4	43.81	24.57	0.44
6	59.86	39.85	0.33
6	62.32	22.66	0.64
7	69.85	16.37	0.77
5	57.7	40.34	0.3
5	54.09	27.22	0.5
5	57.45	22.16	0.61
4	49.36	52.86	-0.07
7	69.61	12.51	0.82
4	49.8	47.81	0.04
5	54.36	36.83	0.32
5	55.07	24.39	0.56
6	56.32	24.33	0.57
5	55.01	16.78	0.69
7	67.47	20.35	0.7
6	56.7	32.9	0.42
4	46.07	37.57	0.18
6	60.61	12.27	0.8
7	73.34	10.1	0.86
6	57.48	38.71	0.33
6	55.26	42.67	0.23
4	49.35	45.31	0.08
5	60.23	32.57	0.46
6	62.33	20.73	0.67
8	65.61	43.79	0.33
7	65.02	37.04	0.43
