mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	F252	D09	F618	D06
PZE-101000344	1	1	0.7	0.323966560658006	NA	-0.182059962374301	-0.244745093051641	0.389277070800009	0.851070316464996	0.439600784314037
PZE-101000424	1	2	0.8	0.616178850349016	NA	NA	NA	0.24200322283071	NA	0.24200322283071
PZE-101000754	1	3	1.4	0.59207906578356	NA	NA	-0.243927345906665	0.241757485659193	NA	0.241757485659193
PZE-101000169	1	4	1.5	0.592079065783559	NA	NA	-0.243927345906664	0.241757485659194	NA	0.241757485659194
PZE-101001103	1	5	1.8	0.592079065783559	NA	NA	-0.243927345906664	0.241757485659195	NA	0.241757485659195
PZE-101000659	1	6	1.9	0.592079065783557	NA	NA	-0.243927345906665	0.241757485659195	NA	0.241757485659195
PZE-101001110	1	7	2.2	0.592121215625907	NA	NA	-0.243927212357609	0.241724195961687	NA	0.241724195961687
PZE-101000431	1	8	2.3	0.592134196901214	NA	NA	-0.243927171222054	0.24171394455588	NA	0.24171394455588
PZE-101000442	1	9	2.4	0.592146595536561	NA	NA	-0.243927131932557	0.241704153759351	NA	0.241704153759351
PZE-101000530	1	10	2.5	0.592158414276748	NA	NA	-0.243927094480421	0.241694821336685	NA	0.241694821336685
PZE-101001114	1	11	2.6	0.366138022782135	NA	NA	-0.244594257041288	0.242351994809642	0.851024003756783	0.242351994809642
PZE-101001280	1	12	2.7	0.36614643437627	NA	NA	-0.244594170322216	0.242343463153065	0.851023992985649	0.242343463153065
PZE-101000673	1	13	3	0.369096159662725	NA	NA	-0.243170039028746	0.241446699937006	0.842654816272717	0.241446699937006
PZE-101002282	1	14	3.4	0.369413708156839	NA	NA	-0.241779831318041	0.243515603516706	0.831549724257865	0.243515603516706
PZE-101002081	1	15	3.6	0.305856862647735	NA	NA	-0.241554318119036	NA	0.851372727777699	NA
PZE-101001587	1	16	4.2	0.306562445184661	NA	NA	-0.240997871588784	NA	0.851377980822245	NA
PZE-101001380	1	17	4.3	0.306513299515719	NA	NA	-0.241035685625209	NA	0.851388579491836	NA
PZE-101001108	1	18	4.4	0.299174756290374	NA	NA	-0.241133963254965	NA	0.966221333825527	NA
PZE-101003133	1	19	4.5	0.151831423464042	NA	NA	-0.24191832187564	0.892539134561656	-0.917194933533029	0.892539134561656
PZE-101003135	1	20	4.7	0.151120161571207	NA	NA	-0.242259657737495	0.901554739395903	-0.917173737276578	0.901554739395903
PZE-101003026	1	21	4.9	0.172338817530071	NA	NA	-0.242648063427293	0.686480975385912	-0.917156188562292	0.686480975385912
PZE-101003031	1	22	5.6	0.379873100218124	NA	NA	-0.244644112318354	0.224886012006218	-0.916999279616103	0.224886012006218
PZA00393.1	1	23	5.7	0.403127409879502	NA	NA	-0.245111382371883	0.204138073210186	-0.91698256822131	0.204138073210186
PZE-101003115	1	24	5.9	0.370749515646777	NA	NA	-0.246476713668971	0.231874180903399	-0.917005375502417	0.231874180903399
PZE-101002367	1	25	6	0.354927955291234	NA	NA	-0.247213521984188	0.247225954878434	-0.915552364294784	0.247225954878434
PZE-101005818	1	26	7.3	0.192058475407814	NA	NA	-0.259876765208122	0.534612372188414	-0.898845636325337	0.534612372188414
PZE-101004337	1	27	7.7	0.181421983881361	NA	NA	-0.259930871974649	0.574596370243505	-0.89885635660632	0.574596370243505
PZE-101005765	1	28	9.2	0.280031375589285	NA	NA	-0.259470330988529	NA	-0.898756450132553	NA
PZA01022.1	1	29	9.6	0.280025755105224	NA	NA	-0.259475155249983	NA	-0.898756746355023	NA
PZE-101009312	1	30	10.6	0.0362960710220061	NA	NA	NA	NA	-0.919822288685931	NA
PZE-101007769	1	31	10.9	0.0362957441451781	NA	NA	NA	NA	-0.91982298100121	NA
PZE-101009215	1	32	11.2	0.0362954172438455	NA	NA	NA	NA	-0.919823673368909	NA
PZE-101010821	1	33	11.8	0.036294763461795	NA	NA	NA	NA	-0.919825058062211	NA
PZE-101009528	1	34	12.3	0.283798084818883	NA	-0.520237812862063	-0.520237812862063	-0.520237812862063	-0.520237812862063	-0.520237812862063
PZE-101009163	1	35	12.5	0.283797713645363	NA	-0.520238257487982	-0.520238257487982	-0.520238257487982	-0.520238257487982	-0.520238257487982
PZE-101010560	1	36	13	0.269509259650763	NA	-0.537638969927629	-0.537638969927629	-0.537638969927629	-0.537638969927629	-0.537638969927629
PZE-101010917	1	37	13.5	0.269471679929674	NA	-0.537685494112367	-0.537685494112367	-0.537685494112367	-0.537685494112367	-0.537685494112367
PZE-101012517	1	38	13.6	0.0229577453846977	NA	-0.371782361421606	-0.616628008162325	-0.895308272870637	0.846279701368729	0.818951903392269
PZE-101014135	1	39	13.7	0.0229581092941075	NA	-0.371782706338402	-0.616628813227539	-0.895307534562	0.846257386653239	0.818952729607591
PZE-101014266	1	40	13.8	0.0229584733038881	NA	-0.371783051255623	-0.616629618297002	-0.895306796249809	0.84623507073253	0.818953555826597
PZE-101011048	1	41	14	0.098538581307525	NA	-0.519298225866187	-0.519298225866187	-0.519298225866187	0.845677807971442	-0.519298225866187
PZE-101013802	1	42	15.2	0.0730000699384769	NA	NA	NA	NA	0.845278709037192	NA
PZE-101014003	1	43	15.3	0.0730115810038828	NA	NA	NA	NA	0.845256305046435	NA
PZE-101011906	1	44	15.7	0.0730576188681195	NA	NA	NA	NA	0.845166707471146	NA
PZE-101013772	1	45	16.4	0.00597957667181356	NA	NA	0.986325867945734	NA	0.986325867945734	NA
PZE-101013713	1	46	16.9	0.0233788439384239	NA	NA	0.947591499263946	NA	0.947591499263946	NA
PZE-101017581	1	47	18.7	0.228483500912501	NA	NA	-0.590903413895785	-0.590903413895785	-0.590903413895785	-0.590903413895785
PZB01915.1	1	48	19.1	0.229840291661103	NA	NA	-0.589060237743652	-0.589060237743652	-0.589060237743652	-0.589060237743652
PZE-101017463	1	49	19.5	0.0665154371651564	NA	NA	-0.591201999282329	-0.591201999282329	-0.591201999282329	-0.893671328596244
PZE-101017580	1	50	19.6	0.0665931702688189	NA	NA	-0.591197515084738	-0.591197515084738	-0.591197515084738	-0.892623458615579
PZE-101017487	1	51	19.9	0.0776292308657036	NA	NA	-0.560900540786248	-0.560900540786248	-0.560900540786248	-0.88934378842662
PZE-101018404	1	52	20.6	0.0678205597452754	NA	NA	-0.386491964992453	-0.386491964992453	0.970055671397182	-0.880749337416203
PZE-101018668	1	53	20.8	0.0337249369447761	NA	NA	-0.422023250972571	-0.636629304476708	0.970094350452926	-0.879381200719825
