mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101155681	1	87	94.3	1	10.2	-13.1	2.3
PZE-101180531	1	110	118.4	1	21	14.1	0.3
PZE-101190874	1	117	126.1	11	15.6	8.5	0.5
PZE-101208550	1	130	139.6	8	16.1	11.8	0.3
PZE-101211929	1	133	142.9	3	17.5	-5.4	1.3
PZE-101236600	1	147	157.6	2	14.6	2.4	0.8
PZE-101239143	1	151	162	2	11.6	13.3	-0.1
PZE-102024868	2	25	32.4	1	17.3	20.7	-0.2
PZE-102062050	2	46	58.3	2	17.2	11.7	0.3
PZE-103107305	3	61	70.9	1	18.4	19.4	-0.1
PZE-103109369	3	63	73.4	2	15.7	12.2	0.2
PZE-103169740	3	111	126.7	1	17.3	2.6	0.8
PZE-103171398	3	112	127.7	2	13.6	0.6	1
PZE-103184380	3	128	146.9	2	13.5	10.2	0.2
PZE-103186727	3	130	149.5	4	13.1	9.5	0.3
PZE-106028794	6	13	13.2	1	15	1.3	0.9
PZE-106034708	6	15	15.9	2	15	-5.8	1.4
PZE-106053072	6	29	31	1	10.6	-13	2.2
PZE-107021022	7	32	42.5	1	12.6	-10.7	1.8
PZA03477.1	7	50	60.9	1	13.3	1.7	0.9
PZE-108005623	8	11	15.4	1	9.6	6.6	0.3
PZE-108011830	8	22	28.2	1	13	4.6	0.6
PZE-108060440	8	44	53.3	5	16.9	8.1	0.5
PZE-108071076	8	54	64.4	1	16.4	-9.4	1.6
