mk.names	chr	pos.ind	pos.cM	log10pval	R2.diff	adj.R2.diff	R2.sg	adj.R2.sg
PZE-101136081	1	491	82	9.37469453434684	3.72	3.77	5.71	4.91
PZE-101195784	1	827	131.8	11.22263437794	5.78	5.93	7.5	6.45
PZE-102070988	2	237	63.2	4.34012462157526	3.28	3.13	6.43	5.37
PZE-103116489	3	390	76.2	5.22062935571047	4.8	4.83	6.44	5.38
PZE-104141072	4	555	116	8.4051149754689	5.04	5.4	6.72	6.19
PZE-105064153	5	201	59.7	4.49431053450066	3.19	2.9	3.98	2.61
PZE-107097424	7	346	78	7.32421518212339	5.13	5.19	9.27	8.24
PZE-108019544	8	102	38	10.9579098102916	7.04	7.49	11.14	10.38
PZE-108076469	8	336	70.3	4.99440385864826	1.57	1.36	0.18	-0.66
PZE-109089050	9	343	70.8	7.82314991067569	4.64	4.65	8.4	7.36
PZE-110008044	10	29	23.9	10.8948176451816	6.71	6.81	9.36	8.07
