mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101092403	1	58	73.1	1	0	0	1	0	10.5	0	1
PZE-101134461	1	67	82.7	3	0	3	0	0	13.4	-4.5	1.3
PZE-101137048	1	68	83.8	1	0	1	0	0	12.8	-9.2	1.7
PZE-101142488	1	71	87.1	1	0	1	0	0	16.5	-7.1	1.4
PZE-101154647	1	76	93.2	7	0	0	7	0	10.6	-4	1.4
PZE-101169548	1	87	106.2	1	0	0	1	0	11.2	-8.1	1.7
PZE-102000848	2	1	0.1	1	0	0	0	1	7.4	-18.6	3.5
PZE-102006128	2	6	8.1	2	0	1	0	1	9.1	3.4	0.6
PZE-102006385	2	7	9.6	1	0	0	0	1	11	8.2	0.3
PZE-102007615	2	8	11.5	13	0	0	0	13	8.6	-4.5	1.5
PZE-102012595	2	10	16.9	1	0	0	0	1	5.7	2.3	0.6
PZE-102070996	2	47	62.9	1	0	1	0	0	12.9	8.1	0.4
PZE-102145703	2	71	90.8	4	0	4	0	0	13.2	-15.6	2.2
PZE-102147862	2	73	92.3	1	0	0	1	0	14.2	15.9	-0.1
PZE-102149235	2	74	94.4	2	0	2	0	0	17.4	0.7	1
PZE-102148515	2	75	95.4	1	0	0	1	0	15.5	0	1
PZE-102152341	2	76	96.3	3	0	0	3	0	9.7	-3.6	1.4
PZE-102157010	2	78	99.5	1	0	0	1	0	8.3	0	1
PZE-102165430	2	85	106.7	1	0	0	1	0	7.3	0	1
PZA03293.2	2	90	112.8	1	0	1	0	0	12.5	8.1	0.4
PZE-102180652	2	94	119.7	2	0	1	1	0	13.4	7.8	0.4
PZE-102186112	2	99	125.2	2	0	2	0	0	16.2	0.9	0.9
PZE-102186773	2	100	126.6	1	0	0	1	0	8.1	0	1
PZE-103103362	3	52	67.4	1	0	0	0	1	6.7	0.5	0.9
PZE-103115657	3	61	77.7	5	0	0	0	5	8.1	-4.4	1.5
PZE-103128590	3	73	91.3	1	0	0	0	1	9.8	8.2	0.2
PZE-103162358	3	95	117.3	1	0	0	0	1	7.7	4.1	0.5
PZE-103183225	3	114	144.1	1	0	0	0	1	13.8	5.6	0.6
PZE-104003542	4	8	8.6	1	0	0	0	1	10.3	8.7	0.2
PZE-104018936	4	33	44.5	3	0	0	0	3	8	-10	2.2
PZE-104098869	4	58	73.3	1	0	0	0	1	7.5	-32.6	5.3
PZE-104100613	4	61	76.6	1	0	0	0	1	8.6	-3.2	1.4
PZE-105181381	5	97	134.6	3	0	0	3	0	8.1	3.1	0.6
PZE-106000112	6	1	0	68	0	65	1	2	19.7	14	0.3
PZA00606.10	6	2	2	14	0	1	0	13	11.9	13.2	-0.1
PZE-106006805	6	6	6.8	1	0	1	0	0	20	33.3	-0.7
PZE-106008513	6	9	11.3	3	0	2	0	1	19	-1.8	1.1
PZE-107015196	7	27	40.1	1	0	1	0	0	14.4	-27.2	2.9
PZE-107061311	7	36	50.8	1	0	1	0	0	10.9	9.8	0.1
PZE-107063654	7	37	52.2	1	0	1	0	0	14.4	16.4	-0.1
PZE-107063951	7	38	53.6	8	0	3	5	0	13.1	2.4	0.8
PZE-107064549	7	39	54	5	0	5	0	0	16.9	-9.2	1.5
PZE-107066519	7	40	56.1	3	0	3	0	0	15.1	13.7	0.1
PZB01186.1	7	41	58	2	0	2	0	0	16.1	3	0.8
PZE-107067415	7	43	59.7	15	0	11	4	0	15.2	6.7	0.6
PZE-107068315	7	44	60.8	2	0	2	0	0	14.7	-0.6	1
PZE-107069959	7	45	62	4	0	4	0	0	16.1	6.3	0.6
PZE-107070661	7	46	63.6	1	0	1	0	0	17.7	-4.6	1.3
PZE-107072440	7	47	64	15	0	0	15	0	13.5	1.9	0.9
PZE-107073395	7	48	65.9	2	0	1	1	0	14.4	-12.5	1.9
PZE-108009888	8	19	25.1	2	0	0	0	2	8.6	11.7	-0.4
PZE-108022547	8	32	42.6	9	0	1	7	1	14.8	9.2	0.4
PZE-108023009	8	33	42.9	26	0	7	18	1	15.6	6.7	0.6
PZE-108030712	8	34	44.9	9	0	0	5	4	14.3	15.7	-0.1
PZE-108028178	8	35	45.2	1	0	0	1	0	18.7	-2.7	1.1
PZE-108042918	8	36	46.2	4	0	0	0	4	10.2	17.6	-0.7
PZE-108045901	8	37	47.4	12	0	2	0	10	12.9	16.3	-0.3
PZE-108059497	8	43	54.4	1	0	1	0	0	19	-0.1	1
PZE-108061060	8	44	55.5	23	0	2	21	0	15.8	9.7	0.4
PZE-108060864	8	45	56.6	2	0	0	0	2	10.9	-4.8	1.4
PZE-108065982	8	46	58.1	1	0	0	1	0	10.7	1.3	0.9
PZE-109000173	9	1	0.5	2	0	2	0	0	15.5	2.9	0.8
PZE-109002219	9	5	6	1	0	1	0	0	13.4	6.4	0.5
PZE-109093779	9	58	71.6	3	0	1	1	1	11	-15.9	2.4
PZE-109092156	9	59	72.3	1	0	0	0	1	11.5	-10.5	1.9
PZE-109096003	9	61	74.6	1	0	1	0	0	12.6	-13.7	2.1
PZE-109097849	9	63	77.6	1	0	1	0	0	10.5	1.9	0.8
PZE-109098198	9	64	79.1	4	0	4	0	0	14	8.8	0.4
PZE-110098124	10	61	86.1	1	0	0	1	0	7.9	14.6	-0.8
