mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101124014	1	72	79	1	10	0.7	0.9
PZE-101129171	1	73	80.1	1	9.5	1.5	0.8
PZE-101129154	1	74	80.2	3	8.8	2.2	0.8
PZE-101177603	1	106	115	9	5.3	-0.1	1
PZE-101177975	1	107	115.2	4	5	-1.3	1.3
PZE-101180531	1	110	118.4	1	7.6	4.6	0.4
PZE-101189338	1	114	122.5	1	5.8	6.7	-0.2
PZE-101187227	1	115	123.7	26	12.8	9	0.3
PZE-101189687	1	116	124.4	11	13.1	8.3	0.4
PZE-101190874	1	117	126.1	23	11	9.4	0.1
PZE-101196460	1	120	128.5	1	12.3	5.5	0.6
PZE-101196337	1	122	130.4	1	4.7	3.9	0.2
PZE-101208550	1	130	139.6	33	9.5	8.3	0.1
PZE-101211929	1	133	142.9	2	7.5	-0.7	1.1
PZE-101239143	1	151	162	17	4.1	0.3	0.9
PZE-102006128	2	7	8.1	1	7	0.3	1
PZE-103100245	3	57	66.9	1	5.5	-2.1	1.4
PZE-103116584	3	68	78.9	6	6.1	-0.6	1.1
PZE-103119152	3	71	81.3	1	4.8	-5.4	2.1
PZA00099.6	3	82	93.7	1	9.4	-5.9	1.6
PZA00303.21	3	83	95.2	3	7.2	-0.4	1.1
PZE-103151594	3	97	109.9	9	5.5	-0.2	1
PZE-103185158	3	129	148.1	3	6.2	-1.8	1.3
PZE-104069761	4	45	55	5	7.6	-3.1	1.4
PZE-104076572	4	46	56.5	1	4.3	-0.4	1.1
PZE-104081748	4	49	59.4	3	5.7	-0.9	1.2
PZE-104092479	4	56	67.1	2	4.9	-2.6	1.5
PZE-105000613	5	1	0.9	1	6.6	-15.4	3.3
PZE-105059355	5	44	58.9	1	6.1	-5.1	1.8
PZE-105069022	5	47	62.3	1	10	-9.3	1.9
PZE-106039880	6	16	17.1	1	7.9	2	0.7
PZE-106041751	6	18	19.1	1	6.5	-0.6	1.1
PZE-106040890	6	19	19.4	2	7.7	4	0.5
PZE-106042795	6	20	20.6	1	5.4	5.1	0.1
PZE-106044976	6	21	21.8	3	9.2	4.3	0.5
PZE-106045060	6	22	22.8	13	8.5	0.5	0.9
PZE-106046465	6	23	23.4	1	7.2	-0.4	1.1
PZE-106051814	6	30	31.1	14	7.1	-0.2	1
PZE-106059969	6	37	39.5	16	9	2.5	0.7
PZE-106060535	6	39	41.7	12	8.9	0.6	0.9
PZE-106092279	6	65	70.7	3	5.9	-1	1.2
PZE-107000121	7	1	0.3	1	9.4	-4.8	1.5
PZE-107001156	7	3	2.7	1	3.3	2.5	0.2
PZE-107011738	7	21	30.3	1	2.1	-3.7	2.8
PZE-107018798	7	29	39.4	1	6.5	1.9	0.7
PZE-107061406	7	39	49.3	3	8.9	-1.5	1.2
PZE-107063166	7	44	54.7	45	8	3.6	0.6
PZE-107066519	7	45	56.1	1	7.9	8.7	-0.1
PZB01186.3	7	49	60.1	3	7.4	-1	1.1
PZE-107072681	7	52	63.2	2	9.3	0.9	0.9
PZE-107073395	7	55	65.9	19	9	1.7	0.8
PZE-107076052	7	58	69.1	1	7.1	1.5	0.8
PZE-108011044	8	20	26.5	6	5.4	0.3	0.9
PZE-108011046	8	21	26.9	5	4.9	-0.9	1.2
PZE-108011830	8	22	28.2	3	6.1	-1.5	1.2
PZE-108015997	8	26	34.2	1	5.6	-13.6	3.4
PZE-108058478	8	43	53.2	1	7.1	7.6	-0.1
PZE-108060455	8	46	55.5	2	6.5	-6.4	2
PZE-108131921	8	96	115.7	1	4.2	-3.8	1.9
PZE-109022641	9	38	45.4	2	7	-4.3	1.6
PZB01963.1	9	41	48.6	2	5.7	4.6	0.2
PZE-109086097	9	59	66.4	15	9.3	5.9	0.4
PZE-109087846	9	60	67.9	67	10.3	8.4	0.2
PZE-109089873	9	61	69.2	2	6.9	-2.9	1.4
PZE-109091272	9	62	70.4	5	10.4	5.1	0.5
PZE-109093779	9	64	71.6	4	7.8	2	0.7
PZE-109118333	9	94	111.6	1	4.7	4.5	0
