mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.296146986182176
PZE-101000161	1	2	0.1	0.244232502434716
PZE-101000344	1	3	0.7	0.296146986182176
PZE-101000424	1	4	0.8	0.710161697603671
PZE-101000370	1	5	1	0.113972540901732
PZE-101000754	1	6	1.4	0.351191081644774
PZE-101000169	1	7	1.5	0.113972540901732
PZE-101000256	1	8	1.7	0.113972540901732
PZE-101001103	1	9	1.8	0.495019568733238
PZE-101000659	1	10	1.9	0.244232502434716
PZE-101001110	1	11	2.2	0.273290566096447
PZE-101000431	1	12	2.3	0.296146986182176
PZE-101000442	1	13	2.4	0.113972540901732
PZE-101000530	1	14	2.5	0.296146986182176
PZE-101001114	1	15	2.6	0.495019568733238
PZE-101001280	1	16	2.7	0.495019568733238
PZE-101000673	1	17	3	0.296146986182176
PZE-101001107	1	18	3.1	0.218075650050504
PZE-101002282	1	19	3.4	0.299235250080676
PZE-101002081	1	20	3.6	0.218372079552117
PZE-101001380	1	21	4.3	0.218075650050504
PZE-101003133	1	22	4.5	0.299235250080676
PZE-101003135	1	23	4.7	0.531948375022282
PZE-101003026	1	24	4.9	0.251438583334462
PZE-101003031	1	25	5.6	0.113972540901732
PZA00393.1	1	26	5.7	0.698625337780564
PZE-101003115	1	27	5.9	0.113972540901732
PZE-101002367	1	28	6	0.157261098763422
PZE-101005818	1	29	7.3	0.327962658817702
PZE-101006745	1	30	9.2	0.00481844784401014
PZA01022.1	1	31	9.6	0.131895378167052
PZE-101009312	1	32	10.6	0.238479872115042
PZE-101007769	1	33	10.9	0.181681011697396
PZE-101009215	1	34	11.2	0.156310744455337
PZE-101010821	1	35	11.8	0.332658083804444
PZE-101009528	1	36	12.3	0.33382965100658
PZE-101009163	1	37	12.5	0.268212491597028
PZE-101010560	1	38	13	0.312510002960106
PZE-101010917	1	39	13.5	0.355401122625713
PZE-101012517	1	40	13.6	0.346844184853678
PZE-101014135	1	41	13.7	0.265622506812832
PZE-101014266	1	42	13.8	0.265622506812832
PZE-101011048	1	43	14	0.117405261079918
PZE-101013802	1	44	15.2	0.115786724803898
PZE-101014003	1	45	15.3	0.178817873851556
PZE-101011906	1	46	15.7	0.706567155571538
PZE-101015469	1	47	16.2	0.564353574364186
PZE-101013772	1	48	16.4	0.147587801714074
PZE-101013713	1	49	16.9	0.369703783339459
PZE-101015471	1	50	17.3	0.0724938710437816
PZE-101017581	1	51	18.7	0.101871269597657
PZE-101017779	1	52	19	0.541975200427321
PZB01915.1	1	53	19.1	0.126191453289246
