mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000083	1	1	0	0.0843448745538669
PZE-101000161	1	2	0.1	0.619648584782502
PZE-101000344	1	3	0.7	0.0843448745538669
PZE-101000424	1	4	0.8	0.745015025141679
PZE-101000370	1	5	1	0.118361137384944
PZE-101000754	1	6	1.4	0.603297606493581
PZE-101000169	1	7	1.5	0.118361137384944
PZE-101000256	1	8	1.7	0.118361137384944
PZE-101001103	1	9	1.8	0.728860630499775
PZE-101000659	1	10	1.9	0.619648584782502
PZE-101001110	1	11	2.2	0.679050316880884
PZE-101000431	1	12	2.3	0.0843448745538669
PZE-101000442	1	13	2.4	0.118361137384944
PZE-101000530	1	14	2.5	0.0843448745538669
PZE-101001114	1	15	2.6	0.728860630499775
PZE-101001280	1	16	2.7	0.728860630499775
PZE-101000673	1	17	3	0.0843448745538669
PZE-101001107	1	18	3.1	0.0714572137248282
PZE-101002282	1	19	3.4	0.74871164013328
PZE-101002081	1	20	3.6	0.494538709806381
PZE-101001380	1	21	4.3	0.0714572137248282
PZE-101003133	1	22	4.5	0.74871164013328
PZE-101003135	1	23	4.7	0.810823630896414
PZE-101003026	1	24	4.9	0.137362313427021
PZE-101003031	1	25	5.6	0.118361137384944
PZA00393.1	1	26	5.7	0.703824043602805
PZE-101003115	1	27	5.9	0.118361137384944
PZE-101002367	1	28	6	0.214618036314831
PZE-101005818	1	29	7.3	0.826157550858236
PZE-101006745	1	30	9.2	0.753894126390608
PZA01022.1	1	31	9.6	0.105678334541971
PZE-101009312	1	32	10.6	0.507894857466164
PZE-101007769	1	33	10.9	0.82882810920758
PZE-101009215	1	34	11.2	0.18242796808229
PZE-101010821	1	35	11.8	0.544430902169103
PZE-101009528	1	36	12.3	0.721688114540406
PZE-101009163	1	37	12.5	0.65545854389715
PZE-101010560	1	38	13	0.733389262805568
PZE-101010917	1	39	13.5	0.752935576545412
PZE-101012517	1	40	13.6	1.12875772119913
PZE-101014135	1	41	13.7	0.456901735834946
PZE-101014266	1	42	13.8	0.456901735834946
PZE-101011048	1	43	14	0.691432162303922
PZE-101013802	1	44	15.2	0.224928310657807
PZE-101014003	1	45	15.3	0.732600759945618
PZE-101011906	1	46	15.7	1.12818452810177
PZE-101015469	1	47	16.2	0.933729491739501
PZE-101013772	1	48	16.4	0.716895623426295
PZE-101013713	1	49	16.9	1.1016113516388
PZE-101015471	1	50	17.3	0.512106442880463
PZE-101017581	1	51	18.7	0.405343835623942
PZE-101017779	1	52	19	1.26467011694312
PZB01915.1	1	53	19.1	0.28444695899935
PZE-101017463	1	54	19.5	0.364843781880396
PZE-101017580	1	55	19.6	0.364843781880396
PZE-101018214	1	56	19.7	0.459251702464765
PZE-101017487	1	57	19.9	0.146665797806411
PZE-101018516	1	58	20.1	1.06506099420276
PZE-101018023	1	59	20.3	1.06506099420276
PZE-101018404	1	60	20.6	1.06506099420276
PZE-101018668	1	61	20.8	0.555602043127252
PZE-101018057	1	62	20.9	0.878245280765071
PZE-101017262	1	63	21	0.604616934369269
PZE-101018616	1	64	21.1	1.06506099420276
PZE-101018411	1	65	21.2	1.08545115008332
PZE-101017187	1	66	21.3	0.970862590933717
PZE-101018868	1	67	21.4	1.53704634357658
PZE-101019597	1	68	21.5	1.36751419980358
PZE-101019781	1	69	21.6	0.521936739990344
PZE-101018356	1	70	21.7	1.08545115008332
PZE-101019727	1	71	21.8	1.34183211040846
PZE-101019853	1	72	21.9	0.521936739990344
PZE-101018206	1	73	22.5	1.08545115008332
PZE-101018567	1	74	22.9	1.08395069259769
PZE-101019726	1	75	23	0.453423510232717
PZE-101021986	1	76	23.1	1.29534822802191
PZE-101020456	1	77	23.6	0.521936739990344
PZE-101018818	1	78	23.7	0.955088710771217
PZE-101019538	1	79	24	1.05031056861375
PZE-101022341	1	80	24.3	0.720370866072984
PZE-101019557	1	81	24.4	1.26973885011903
PZE-101021926	1	82	25.4	0.250104169030552
PZE-101021455	1	83	25.7	0.52844253020041
PZE-101024131	1	84	25.9	1.26292799212873
PZE-101024424	1	85	26.4	1.26292799212873
PZE-101020931	1	86	26.9	0.940182268005334
PZE-101021308	1	87	27.6	1.17933080281559
PZE-101025101	1	88	27.7	0.720370866072984
PZE-101024556	1	89	28.2	0.579117837364157
PZE-101026314	1	90	28.6	1.17233240897198
PZE-101024519	1	91	29.4	1.19825946816033
PZE-101027798	1	92	29.5	0.347503309179916
PZE-101026621	1	93	29.6	0.903400854250461
PZE-101026386	1	94	29.7	1.17233240897198
PZE-101027475	1	95	29.8	0.347503309179916
PZE-101024452	1	96	30	1.19825946816033
PZE-101027158	1	97	30.4	0.347503309179916
PZE-101027807	1	98	30.9	0.347503309179916
PZB00718.5	1	99	31.1	2.9290499738637
PZE-101029689	1	100	31.3	2.95822288078329
PZE-101029759	1	101	31.4	2.95822288078329
PZE-101026218	1	102	31.5	0.99235526511382
PZE-101028121	1	103	31.6	0.347503309179916
PZE-101029820	1	104	31.8	2.95822288078329
PZE-101028242	1	105	31.9	1.21180200787229
PZE-101026095	1	106	32	1.42563028780458
PZE-101029587	1	107	32.1	2.30195241721056
PZE-101029707	1	108	32.2	2.95822288078329
PZE-101029748	1	109	32.4	2.32072722383786
PZE-101030925	1	110	32.7	0.347503309179916
PZE-101028351	1	111	33.1	1.21180200787229
PZE-101028104	1	112	33.4	1.39072231175808
PZE-101031146	1	113	33.7	2.95822288078329
PZE-101031377	1	114	33.9	2.32072722383786
PZE-101032517	1	115	34	0.347503309179916
PZE-101032704	1	116	34.1	0.347503309179916
PZE-101030251	1	117	34.3	1.9861766521535
PZE-101029123	1	118	34.4	1.7448516770658
PZE-101030692	1	119	34.5	2.32072722383786
PZE-101028930	1	120	34.7	1.88683911091347
PZE-101030220	1	121	35	1.9861766521535
PZE-101029737	1	122	35.1	0.652821133365518
PZE-101031077	1	123	35.2	0.48072305478463
PZE-101030022	1	124	35.4	2.17957604283663
PZE-101032015	1	125	35.7	2.32072722383786
PZE-101030211	1	126	35.8	1.9861766521535
PZE-101031636	1	127	35.9	0.362300830059387
PZA00358.12	1	128	36	1.83276713278445
PZE-101031655	1	129	36.1	1.63340844486906
PZE-101033801	1	130	36.3	0.76520673953861
PZE-101034101	1	131	36.5	3.22880911243611
PZE-101030616	1	132	36.6	0.664097877120311
PZE-101033184	1	133	36.7	0.55560762642729
PZE-101032956	1	134	37	0.3747770870847
PZE-101032974	1	135	37.1	0.3747770870847
PZE-101033119	1	136	37.3	0.3747770870847
PZE-101035119	1	137	37.4	0.76520673953861
PZE-101033489	1	138	37.7	1.79384314132436
PZE-101032230	1	139	37.8	0.3747770870847
PZE-101036310	1	140	37.9	2.94541994159776
PZE-101036345	1	141	38	2.94541994159776
PZD00096.1	1	142	38.3	3.22880911243611
PZE-101033622	1	143	38.5	0.55560762642729
PZE-101036609	1	144	38.6	2.94541994159776
PZE-101034427	1	145	38.7	3.22880911243611
PZE-101036305	1	146	38.8	2.94541994159776
PZE-101033968	1	147	39	1.4492243157926
PZE-101036181	1	148	39.2	3.17093914260392
PZE-101036318	1	149	39.3	2.94541994159776
PZE-101038503	1	150	40	2.7905922822566
PZE-101038492	1	151	40.5	2.7905922822566
PZE-101037142	1	152	40.6	0.142285892933486
PZE-101039024	1	153	40.7	2.7905922822566
PZE-101036799	1	154	40.8	1.7716446378175
PZE-101037211	1	155	41.1	1.69238855765448
PZE-101038176	1	156	41.2	1.88743113801195
PZE-101037244	1	157	41.3	1.65661029327016
PZE-101039207	1	158	41.5	0.710125264252284
PZE-101039199	1	159	41.9	1.49740045827598
PZE-101040838	1	160	42	0.60779130616699
PZE-101042009	1	161	42.4	0.420216777649453
PZE-101039655	1	162	42.5	1.37584496953854
PZE-101039624	1	163	42.6	1.37584496953854
PZE-101039351	1	164	42.8	1.72736986412016
PZE-101039466	1	165	42.9	1.49740045827598
PZE-101039469	1	166	43	1.49740045827598
PZE-101042341	1	167	43.1	0.420216777649453
PZE-101043604	1	168	43.2	1.98753976617041
PZE-101043094	1	169	43.3	0.603273061235141
PZE-101041837	1	170	43.4	2.67731911640353
PZE-101041854	1	171	43.5	2.67731911640353
PZE-101041588	1	172	43.6	1.75782158728297
PZE-101043600	1	173	43.8	1.98753976617041
PZE-101043189	1	174	43.9	1.75782158728297
PZE-101043682	1	175	44	0.420216777649453
PZE-101043507	1	176	44.1	1.75782158728297
PZE-101042156	1	177	44.2	1.75782158728297
PZE-101045145	1	178	44.3	0.67534440153103
PZE-101042424	1	179	44.4	1.28184675032803
PZE-101043512	1	180	44.5	1.75782158728297
PZE-101045249	1	181	44.6	0.447000920927299
PZE-101044585	1	182	44.9	0.0371855741123844
PZE-101045021	1	183	45	1.3697533813775
PZE-101044115	1	184	45.1	0.0216095724409753
PZE-101046755	1	185	45.2	0.294864454731817
PZE-101046128	1	186	45.3	0.447000920927299
PZE-101049120	1	187	45.4	0.471691748294978
PZE-101046859	1	188	45.5	0.447000920927299
PZE-101048164	1	189	45.7	0.162837593566714
PZE-101048115	1	190	45.8	1.27330940262005
PZE-101048857	1	191	45.9	0.447000920927299
PZE-101046132	1	192	46	1.27330940262005
PZE-101049707	1	193	46.1	1.25672133283516
PZE-101047390	1	194	46.3	0.283856415660842
PZE-101049608	1	195	46.5	1.44955008807047
PZE-101048629	1	196	46.6	1.33366467771698
PZE-101048744	1	197	46.7	2.2657157023429
PZE-101047517	1	198	46.8	0.0371855741123844
PZE-101049395	1	199	46.9	0.219669990662323
PZE-101053708	1	200	47.1	1.05026656684858
PZE-101048890	1	201	47.2	1.32854634536404
PZE-101054681	1	202	47.4	2.04173727998636
PZE-101053919	1	203	47.5	0.562295543093925
PZE-101053696	1	204	47.6	1.08475465349052
PZE-101052571	1	205	47.8	0.348102009033764
PZE-101054136	1	206	47.9	1.40815494882494
PZE-101054372	1	207	48	2.04173727998636
PZA00192.7	1	208	48.1	1.92672142716751
PZE-101055086	1	209	48.2	0.855922033605384
PZE-101052294	1	210	48.4	0.348102009033764
PZE-101055111	1	211	48.5	0.401178049733855
PZE-101053934	1	212	48.6	0.348102009033764
PZE-101053954	1	213	48.7	0.348102009033764
PZE-101050072	1	214	48.8	1.12033636619213
PZE-101055223	1	215	48.9	0.436562804862534
PZE-101055906	1	216	49	2.76859557778363
PZE-101053510	1	217	49.1	2.19853838724158
PZE-101054452	1	218	49.3	0.993040999709736
PZE-101054366	1	219	49.5	1.29250622362925
PZE-101056000	1	220	49.6	1.97989903285916
PZE-101054371	1	221	49.8	2.19853838724158
PZE-101055260	1	222	49.9	0.193280045123683
PZE-101056102	1	223	50	2.07231729913228
PZE-101054527	1	224	50.1	1.29250622362925
PZE-101055259	1	225	50.2	1.45930405518412
PZE-101055565	1	226	50.3	3.36026948636352
PZE-101056687	1	227	50.5	0.993040999709736
PZE-101057232	1	228	51.3	1.49397857913468
PZE-101057532	1	229	51.6	1.39068740519389
PZA00240.6	1	230	51.9	1.39068740519389
PZE-101057000	1	231	52.1	0.881948579290317
PZE-101058205	1	232	52.2	1.49397857913468
PZE-101057783	1	233	52.4	0.0818460923281841
PZE-101058312	1	234	52.6	0.878023240883373
PZE-101058806	1	235	52.7	1.49397857913468
PZE-101060218	1	236	52.8	0.531958795819446
PZE-101060335	1	237	52.9	1.22494677468538
PZE-101062764	1	238	53	0.808609773112434
PZE-101060288	1	239	53.1	1.49397857913468
PZE-101060788	1	240	53.2	0.531958795819446
PZE-101060254	1	241	53.3	1.49397857913468
PZE-101061168	1	242	53.4	2.41914393194975
PZE-101059783	1	243	53.5	0.488520403488727
PZE-101059495	1	244	53.6	1.07773799338698
PZE-101061114	1	245	53.8	0.531958795819446
PZE-101059072	1	246	53.9	0.488520403488727
PZE-101063036	1	247	54	0.808609773112434
PZE-101063002	1	248	54.3	1.63252365933576
PZE-101062246	1	249	54.4	1.07360804085212
PZE-101063328	1	250	54.6	0.0464574939225787
PZE-101063527	1	251	54.7	0.135123861840016
PZE-101064466	1	252	54.9	0.386899534504678
PZE-101064790	1	253	55	0.386899534504678
PZE-101064805	1	254	55.1	0.0488078733300971
PZE-101063113	1	255	55.3	0.646611103198003
PZE-101063271	1	256	55.4	0.646611103198003
PZE-101064893	1	257	55.5	0.0488078733300971
PZE-101065040	1	258	55.6	0.0488078733300971
PZE-101066061	1	259	55.7	0.0488078733300971
PZE-101066291	1	260	55.8	0.378351858348084
PZE-101066588	1	261	55.9	0.0488078733300971
PZE-101064994	1	262	56	0.0488078733300971
PZE-101065132	1	263	56.1	0.0488078733300971
PZE-101066420	1	264	56.2	0.0488078733300971
PZE-101065651	1	265	56.4	0.273960658399601
PZE-101065728	1	266	56.7	0.995443536987516
PZE-101068100	1	267	56.9	0.00880687090382877
PZE-101067487	1	268	57	0.0488078733300971
