mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101134461	1	67	82.7	1	12.5	-15.2	2.2
PZE-101150835	1	74	91.4	1	13.7	-5.3	1.4
PZE-101152935	1	77	94.9	1	15.8	-10.4	1.7
PZE-102006128	2	6	8.1	2	12.3	1.3	0.9
PZE-102009795	2	9	13.7	1	10	-13.2	2.3
PZE-102145703	2	71	90.8	1	17.6	20.7	-0.2
PZE-102145439	2	72	91.1	3	13.3	0	1
PZE-102147862	2	73	92.3	1	11.7	-1.9	1.2
PZE-102148515	2	75	95.4	5	13.4	-3.3	1.2
PZE-102186112	2	99	125.2	2	13.8	-1.7	1.1
PZE-102186665	2	101	127.8	1	10.5	-14.2	2.4
PZE-106000112	6	1	0	50	19.7	15.6	0.2
PZA00606.10	6	2	2	1	14.3	10.8	0.2
PZE-106006805	6	6	6.8	1	26.8	14.4	0.5
PZE-106008513	6	9	11.3	2	14.9	29.5	-1
PZE-106038001	6	15	16.9	5	19.6	11.3	0.4
PZE-107063654	7	37	52.2	1	19.9	-11.5	1.6
PZE-107063951	7	38	53.6	1	13	3.8	0.7
PZE-107064549	7	39	54	3	16	-1.5	1.1
PZE-107066519	7	40	56.1	12	16.7	5.2	0.7
PZB01186.1	7	41	58	2	16.1	-5.4	1.3
PZE-107067415	7	43	59.7	12	14.6	7.2	0.5
PZE-107068315	7	44	60.8	7	16.1	2.1	0.9
PZE-107069959	7	45	62	1	14.8	12.9	0.1
PZE-108009888	8	19	25.1	1	15.2	-11.3	1.7
PZE-108022547	8	32	42.6	3	17.1	14.5	0.2
PZE-108023009	8	33	42.9	21	16.3	12.3	0.2
PZE-108030712	8	34	44.9	1	14.8	-8.1	1.5
PZE-108045901	8	37	47.4	5	18.9	11.6	0.4
PZE-108061060	8	44	55.5	22	18	7.7	0.6
PZE-109093779	9	58	71.6	2	12.3	-7.7	1.6
