mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.0877948287799865	NA	0.770474649183681	-0.341265742688284	-0.382910058249065	0.783330877476871	0.531705491817587
PZE-101000161	1	2	0.1	0.101837159163466	NA	NA	NA	NA	0.782957575766506	0.530978910644821
PZE-101000344	1	3	0.7	0.26547730922751	NA	NA	-0.195857803227903	-0.195857803227903	0.78275511469898	0.530587693494327
PZE-101000424	1	4	0.8	0.265451727349913	NA	NA	-0.195879100655689	-0.195879100655689	0.782755162606473	0.530587844491962
PZE-101000370	1	5	1	0.26545168656316	NA	NA	-0.195879105048069	-0.195879105048069	0.782755162682855	0.530587960772105
PZE-101000754	1	6	1.4	0.265451604985508	NA	NA	-0.195879113832917	-0.195879113832917	0.782755162835629	0.530588193345768
PZE-101000169	1	7	1.5	0.265451642916064	NA	NA	-0.195879067435194	-0.195879067435194	0.782755162764595	0.53058825127737
PZE-101000256	1	8	1.7	0.265451718779033	NA	NA	-0.195878974639056	-0.195878974639056	0.782755162622525	0.530588367137404
PZE-101001103	1	9	1.8	0.265451756710844	NA	NA	-0.195878928241378	-0.195878928241378	0.782755162551488	0.530588425064912
PZE-101000659	1	10	1.9	0.265451515807713	NA	NA	-0.195879114157778	-0.195879114157778	0.782755163002636	0.530588484003093
PZE-101001110	1	11	2.2	0.264914082332833	NA	NA	-0.19588123447946	-0.19588123447946	0.782756169638286	0.532345023612858
PZE-101000431	1	12	2.3	0.265451622657439	NA	NA	-0.195879113724508	-0.195879113724508	0.782755162802534	0.53058813592047
PZE-101000442	1	13	2.4	0.265451676212197	NA	NA	-0.195879113445983	-0.195879113445983	0.782755162702241	0.530587961697005
PZE-101000530	1	14	2.5	0.14274825425597	NA	NA	-0.446055900696837	-0.446055900696837	0.782901264903773	-0.446055900696837
PZE-101001114	1	15	2.6	0.142751362348363	NA	NA	-0.446050303303878	-0.446050303303878	0.782901260625205	-0.446050303303878
PZE-101001280	1	16	2.7	0.142753091820518	NA	NA	-0.446047188728287	-0.446047188728287	0.782901258244432	-0.446047188728287
PZE-101000673	1	17	3	0.155146675008398	NA	NA	-0.424555512753563	-0.424555512753563	0.782884196732104	-0.424555512753563
PZE-101001107	1	18	3.1	0.164765897834589	NA	NA	-0.408931032614031	-0.408931032614031	0.782870953641689	-0.408931032614031
PZE-101002282	1	19	3.4	0.191199378369214	NA	NA	-0.370059309174395	-0.370059309174395	0.782834557885348	-0.370059309174395
PZE-101002081	1	20	3.6	0.192178221127103	NA	NA	-0.368722078775067	-0.368722078775067	0.78283321002439	-0.368722078775067
PZE-101001380	1	21	4.3	0.102290765877281	NA	NA	NA	NA	0.790149435411994	NA
PZE-101003133	1	22	4.5	0.100951994938419	NA	NA	NA	NA	0.792588935042469	NA
PZE-101003135	1	23	4.7	0.0725561623861424	NA	NA	NA	NA	0.795390716989588	0.605711449965853
