mk.names	chr	pos.ind	pos.cM	log10pval	D06	UH304	D09	F252	F618	F353
PZE-101000344	1	1	0.7	0.164126663622336	0.552208739954738	-0.50967741772564	0.256442939235596	-0.346583630369462	-0.714870262197363	1
PZE-101000424	1	2	0.8	0.164126663622376	0.55220873995493	-0.50967741772564	0.25644293923567	-0.346583630369215	-0.71487026219713	1
PZE-101000754	1	3	1.4	0.164126663622298	0.552208739954802	-0.509677417725529	0.256442939235743	-0.3465836303694	-0.714870262197305	1
PZE-101000169	1	4	1.5	0.164126663622353	0.552208739954834	-0.509677417725585	0.25644293923568	-0.346583630369215	-0.714870262197595	1
PZE-101001103	1	5	1.8	0.164126663622336	0.552208739954802	-0.509677417725585	0.256442939235775	-0.346583630369138	-0.714870262197595	1
PZE-101000659	1	6	1.9	0.164126663622358	0.256442939235691	-0.346583630369184	0.55220873995477	-0.509677417725612	-0.714870262197653	1
PZE-101001110	1	7	2.2	0.164126663622336	0.256442939235712	-0.346583630369261	0.55220873995477	-0.509677417725668	-0.714870262197363	1
PZE-101000431	1	8	2.3	0.164126663559427	0.256442939364701	-0.346583630354564	0.552208739954738	-0.509677417725557	-0.714870262197363	1
PZE-101000442	1	9	2.4	0.164126663496538	0.256442939493847	-0.346583630339387	0.552208739954898	-0.509677417725612	-0.714870262197363	1
PZE-101000530	1	10	2.5	0.164126663433584	0.256442939622878	-0.346583630324736	0.552208739954738	-0.50967741772564	-0.714870262197363	1
PZE-101001114	1	11	2.6	0.164126663370819	0.256442939751941	-0.346583630309497	0.552208739954706	-0.50967741772564	-0.714870262197246	1
PZE-101001280	1	12	2.7	0.164126034261006	0.256444230087528	-0.346583481942894	-0.714870262197421	0.55220873995477	-0.509677417725695	1
PZE-101000673	1	13	3	0.144243602840242	0.299741562573787	-0.342287377287976	-0.727120123144463	0.552208739954802	-0.50967741772564	1
PZE-101002282	1	14	3.4	0.119439342894192	0.372491322568164	-0.743769167892099	0.552208739954834	-0.509677417725612	-0.337052540305153	1
PZE-101002081	1	15	3.6	0.11123869238866	-0.509677417725695	0.552208739954738	0.415309040986195	-0.714474154033505	-0.334652861011996	1
