mk.names	chr	pos.ind	pos.cM	log10pval	W117	UH250	Mo17	B73	EC169	F353
PZE-101000083	1	1	0	0.0366107467096482	0.393332978679959	0.815077489378196	0.69553330662009	-0.498138325311449	0.82105743161825	1
PZE-101000161	1	2	0.1	0.0366107590564553	0.393332903095421	0.695533306619822	0.821057431618152	0.815077489378007	-0.498138325311503	1
PZE-101000344	1	3	0.7	0.0366211076902356	0.393329892516271	0.695357890529541	0.821057431618055	0.815077489378101	-0.498138325311529	1
PZE-101000424	1	4	0.8	0.0374628750334332	0.388261459403478	0.695328722493074	0.821057431618739	0.815077489377913	-0.498138325311662	1
PZE-101000370	1	5	1	0.0391262539291639	0.378659330920762	0.695270446801071	0.821057431618055	0.815077489378101	-0.498138325311769	1
PZE-101000754	1	6	1.4	0.0423043055831831	0.36168042279965	0.695154143469474	0.821057431618739	0.815077489378007	-0.498138325311343	1
PZE-101000169	1	7	1.5	0.0430538535592546	0.357911383573332	0.695125120663968	0.821057431618836	0.815077489377913	-0.49813832531137	1
PZE-101000256	1	8	1.7	0.0444831470619495	0.350950630735042	0.695067140298169	0.821057431618934	0.815077489377913	-0.498138325311343	1
PZE-101001094	1	9	1.8	0.0451587667536477	0.347758802492074	0.695038183195393	0.821057431618445	0.815077489377818	-0.49813832531121	1
PZE-101000659	1	10	1.9	0.0458040399375218	0.815077489378007	0.34475848122222	-0.498138325311183	0.695038180300281	0.821057431618445	1
PZE-101001110	1	11	2.2	0.046732276882694	0.815077489378007	0.34053941014816	-0.498131207257737	0.695038180299852	0.821057431617859	1
PZE-101000431	1	12	2.3	0.0487476565582795	0.815077489378007	0.3454476164949	-0.474726700506064	0.695038180299959	0.821057431221281	1
PZE-101000442	1	13	2.4	0.0521726611018802	0.815077489377913	0.345101940880648	-0.45199010168018	0.695038180299798	0.821057430824507	1
PZE-101000530	1	14	2.5	0.0558621107942678	0.815077489378007	0.344758905687346	-0.429959507801934	0.695038180299906	0.82105743042656	1
PZE-101001114	1	15	2.6	0.0597387136188378	0.815077489461408	0.344756529992897	-0.408667545925801	0.695038180299852	0.821057430028614	1
PZE-101001280	1	16	2.7	0.0638841991464144	0.815077489544054	0.344754154290898	-0.388141174278597	0.695038180115794	0.821053457937711	1
PZE-101000673	1	17	3	0.0848781675364755	0.815077489792558	0.344747027334214	-0.331338845200759	0.695032658025764	0.704430038012409	1
PZE-101001107	1	18	3.1	0.100427465735222	0.815078319178155	0.322421420467201	-0.314029786941585	0.695030817299778	0.667172482631531	1
PZE-101002282	1	19	3.4	0.152612238432552	0.853867687105777	0.269250636931122	-0.266967908029983	0.695025295239804	0.56245969690929	1
PZE-101002081	1	20	3.6	0.167870809870184	0.853870047402279	0.262189813040911	-0.266965009869073	0.658740525487007	0.519375955745529	1
PZE-101001587	1	21	4.2	0.179452789201953	0.828162618449834	0.333146227323822	-0.266962320026491	0.558317891248227	0.405755900398073	1
PZE-101001380	1	22	4.3	0.182269141826915	0.824683379861027	0.346608413967272	-0.266961871544679	0.543094435519315	0.389433052882208	1
PZE-101003133	1	23	4.5	0.18754060652649	0.83504960333802	0.37490810931211	0.51411163104286	0.359147631559396	-0.266960974461983	1
PZE-101003135	1	24	4.7	0.186970764426576	0.845928459243053	0.374910001976701	0.514108832529361	0.359141551456961	-0.266960077246834	1
PZE-101003026	1	25	4.9	0.198042851952328	0.857287697906744	0.374911894666662	0.514110781859233	0.328792705497038	-0.266959179926714	1
PZE-101003031	1	26	5.6	0.246723693899654	0.900139454924652	0.34449584181048	0.514117606865039	0.251648297080995	-0.266956038898007	1
PZA00393.1	1	27	5.7	0.25260102541844	0.906553470488982	0.341158029127718	0.514118582059919	0.24423821664028	-0.26695559017574	1
