mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	F252	D09	F618	D06
PZE-101000344	1	1	0.7	1.02612544857432	NA	0.462749603650087	-0.511628731734858	0.0381912274319878	0.0846947589070031	0.283563811549655
PZE-101000424	1	2	0.8	1.63907442990662	NA	NA	NA	0.0229575516513546	NA	0.0229575516513546
PZE-101000754	1	3	1.4	1.21491753539791	NA	NA	-0.511836466658412	0.023075233838273	NA	0.023075233838273
PZE-101000169	1	4	1.5	1.21491753539792	NA	NA	-0.511836466658411	0.0230752338382729	NA	0.0230752338382729
PZE-101001103	1	5	1.8	1.21491753539791	NA	NA	-0.511836466658411	0.023075233838273	NA	0.023075233838273
PZE-101000659	1	6	1.9	1.21491753539791	NA	NA	-0.511836466658413	0.023075233838273	NA	0.023075233838273
PZE-101001110	1	7	2.2	1.21330243620573	NA	NA	-0.511841177285698	0.0231741184308306	NA	0.0231741184308306
PZE-101000431	1	8	2.3	1.21275800500803	NA	NA	-0.511842765124092	0.0232075501989949	NA	0.0232075501989949
PZE-101000442	1	9	2.4	1.21221246731849	NA	NA	-0.511844356186281	0.0232411000715979	NA	0.0232411000715979
PZE-101000530	1	10	2.5	1.2116658389077	NA	NA	-0.511845950426245	0.0232747674615752	NA	0.0232747674615752
PZE-101001114	1	11	2.6	1.44685111098855	NA	NA	-0.510584544514898	0.0229024075229962	0.0841579817575423	0.0229024075229962
PZE-101001280	1	12	2.7	1.44634634411178	NA	NA	-0.510585650881912	0.0229362470831513	0.0841591757921198	0.0229362470831513
PZE-101000673	1	13	3	1.38218567250299	NA	NA	-0.495183770962557	0.0295379778376505	0.0803071246190945	0.0295379778376505
PZE-101002282	1	14	3.4	1.28993194665662	NA	NA	-0.475385651195331	0.04248070608167	0.0755176316904356	0.04248070608167
PZE-101002081	1	15	3.6	0.753820880989737	NA	NA	-0.467855847887655	NA	0.0862037170247741	NA
PZE-101001587	1	16	4.2	0.768843297248283	NA	NA	-0.440043675904225	NA	0.0861741916693662	NA
