mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	D09	D06	W117	B73
PZE-101000083	1	1	0	0.284498453838678	NA	0.762544769615207	-0.302460960116113	-0.107096893711537	0.760811520438491	0.54741299189166
PZE-101000161	1	2	0.1	0.0986317723160518	NA	NA	NA	NA	0.7610616531803	0.547842793622334
PZE-101000344	1	3	0.7	0.563955801789509	NA	NA	-0.0639236401778877	-0.0639236401778877	0.760253860500894	0.546450081616465
PZE-101000424	1	4	0.8	0.563959141096142	NA	NA	-0.0639229175512347	-0.0639229175512347	0.760253854304431	0.546450088403104
PZE-101000370	1	5	1	0.563959130419156	NA	NA	-0.0639229174259239	-0.0639229174259239	0.760253854324243	0.546450123397961
PZE-101000754	1	6	1.4	0.563959109063834	NA	NA	-0.0639229171753037	-0.0639229171753037	0.760253854363871	0.546450193391869
PZE-101000169	1	7	1.5	0.563959228197679	NA	NA	-0.0639228902222325	-0.0639228902222325	0.760253854142805	0.546450210491834
PZE-101000256	1	8	1.7	0.563959466467626	NA	NA	-0.0639228363157048	-0.0639228363157048	0.760253853700668	0.546450244690847
PZE-101001103	1	9	1.8	0.563959585601829	NA	NA	-0.063922809362678	-0.063922809362678	0.7602538534796	0.546450261789621
PZE-101000659	1	10	1.9	0.563959080718014	NA	NA	-0.0639229172191032	-0.0639229172191032	0.760253854416471	0.546450280885864
PZE-101001110	1	11	2.2	0.56378562134581	NA	NA	-0.0639232834943338	-0.0639232834943338	0.76025417629588	0.546984774889994
PZE-101000431	1	12	2.3	0.563959114673917	NA	NA	-0.06392291715575	-0.06392291715575	0.760253854353461	0.546450176231919
PZE-101000442	1	13	2.4	0.563959131799824	NA	NA	-0.0639229170958976	-0.0639229170958976	0.760253854321682	0.54645012385003
PZE-101000530	1	14	2.5	0.356806222640332	NA	NA	-0.213365657937549	-0.213365657937549	0.760669047424655	-0.213365657937549
PZE-101001114	1	15	2.6	0.356811863492945	NA	NA	-0.213361823599026	-0.213361823599026	0.760669038840023	-0.213361823599026
PZE-101001280	1	16	2.7	0.356814387066825	NA	NA	-0.213360108240066	-0.213360108240066	0.760669034999477	-0.213360108240066
PZE-101000673	1	17	3	0.370198664565253	NA	NA	-0.204487824490313	-0.204487824490313	0.760648665087805	-0.204487824490313
PZE-101001107	1	18	3.1	0.37809522807134	NA	NA	-0.199457592450979	-0.199457592450979	0.760636646323025	-0.199457592450979
PZE-101002282	1	19	3.4	0.392597649120642	NA	NA	-0.190592363611399	-0.190592363611399	0.760614571809217	-0.190592363611399
PZE-101002081	1	20	3.6	0.39642023365895	NA	NA	-0.188332844027755	-0.188332844027755	0.760608753036329	-0.188332844027755
PZE-101001380	1	21	4.3	0.114136555291062	NA	NA	NA	NA	0.768888640482267	NA
PZE-101003133	1	22	4.5	0.112635713989776	NA	NA	NA	NA	0.771550373810915	NA
PZE-101003135	1	23	4.7	0.0851152415115234	NA	NA	NA	NA	0.774598016242251	0.577999897622322
PZE-101003026	1	24	4.9	0.0846300870203855	NA	NA	NA	NA	0.777600809325321	0.578002329885128
PZE-101003031	1	25	5.6	0.202281637966348	NA	NA	NA	NA	NA	0.627651197902669
PZA00393.1	1	26	5.7	0.196550595200437	NA	NA	NA	NA	NA	0.635988707992991
PZE-101003115	1	27	5.9	0.184760315213314	NA	NA	NA	NA	NA	0.65349111136963
PZE-101002367	1	28	6	0.178724617348406	NA	NA	NA	NA	NA	0.662636543039081
PZE-101005818	1	29	7.3	0.0980519344484862	NA	NA	NA	NA	NA	0.797899265986266
