mk.names	chr	pos.ind	pos.cM	QTL.eff	R2.diff	adj.R2.diff	R2.sg	adj.R2.sg
PZE-101136081	1	491	82	par	4.59	4.29	6.39	5.05
PZE-101211038	1	911	145.1	biall	7.53	8.11	7.65	7.39
PZE-102068646	2	223	61.7	anc	3.46	3.21	6.09	5.03
PZE-103105125	3	320	67	biall	3.03	3.18	3.55	3.27
PZE-104131974	4	515	109.8	biall	3.27	3.44	5.58	5.32
PZE-105050638	5	154	54.9	biall	3.28	3.46	2.99	2.72
PZE-107097424	7	346	78	anc	5.33	5.24	7.44	6.39
PZE-108016622	8	93	35.2	par	8.4	8.41	11.81	10.56
PZE-109093492	9	347	71.5	par	7.47	7.4	9.86	8.57
PZE-110014876	10	64	36.4	par	5.94	5.75	6.7	5.37
