mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	F252	D09	F618	D06
PZE-101000344	1	1	0.7	0.198715929945085	NA	-0.46985846688652	-0.376587903202581	0.191399984233872	-0.764745707527362	0.566280232157598
PZE-101000424	1	2	0.8	0.769282067723798	NA	NA	NA	0.170105334101864	NA	0.170105334101864
PZE-101000754	1	3	1.4	0.579180865841151	NA	NA	-0.375082424454451	0.170234592439732	NA	0.170234592439732
PZE-101000169	1	4	1.5	0.579180865841151	NA	NA	-0.37508242445445	0.170234592439732	NA	0.170234592439732
PZE-101001103	1	5	1.8	0.579180865841154	NA	NA	-0.37508242445445	0.170234592439731	NA	0.170234592439731
PZE-101000659	1	6	1.9	0.579180865841152	NA	NA	-0.37508242445445	0.170234592439732	NA	0.170234592439732
PZE-101001110	1	7	2.2	0.578454936395911	NA	NA	-0.375084676835266	0.170614244268239	NA	0.170614244268239
PZE-101000431	1	8	2.3	0.578210597541301	NA	NA	-0.375085434943722	0.170742248964245	NA	0.170742248964245
PZE-101000442	1	9	2.4	0.577965942347411	NA	NA	-0.375086194033444	0.17087052988759	NA	0.17087052988759
PZE-101000530	1	10	2.5	0.577720976840514	NA	NA	-0.37508695408574	0.170999084422036	NA	0.170999084422036
PZE-101001114	1	11	2.6	0.364005611351937	NA	NA	-0.37570322458975	0.171680083602324	-0.764322408630655	0.171680083602324
PZE-101001280	1	12	2.7	0.363813487473629	NA	NA	-0.375703850102784	0.171810840255436	-0.764322778113127	0.171810840255436
PZE-101000673	1	13	3	0.326037198991935	NA	NA	-0.371656046298023	0.200988089641826	-0.774639807770593	0.200988089641826
PZE-101002282	1	14	3.4	0.276914357927946	NA	NA	-0.366737495467506	0.249168177492263	-0.788623606668081	0.249168177492263
PZE-101002081	1	15	3.6	0.198260440266775	NA	NA	-0.364593483189671	NA	-0.764260250376447	NA
PZE-101001587	1	16	4.2	0.202928641464105	NA	NA	-0.358406028726135	NA	-0.764246096898139	NA
PZE-101001380	1	17	4.3	0.203618129866206	NA	NA	-0.357505028066204	NA	-0.764241340611457	NA
PZE-101001108	1	18	4.4	0.209957700028683	NA	NA	-0.356623991623326	NA	-0.733349493547314	NA
PZE-101003133	1	19	4.5	0.132050882096163	NA	NA	-0.356279328155243	0.595659237969473	-0.7200306549233	0.595659237969473
PZE-101003135	1	20	4.7	0.131647488638398	NA	NA	-0.354748242464164	0.601143423223644	-0.720030872059063	0.601143423223644
PZE-101003026	1	21	4.9	0.159023999916707	NA	NA	-0.35323713488731	0.498002029581877	-0.7199582752787	0.498002029581877
PZE-101003031	1	22	5.6	0.234424648557297	NA	NA	-0.349264455985824	0.331629537962706	-0.719769356359529	0.331629537962706
PZA00393.1	1	23	5.7	0.234725832711082	NA	NA	-0.348895769907582	0.331480293956519	-0.719769170397563	0.331480293956519
PZE-101003115	1	24	5.9	0.235694351882471	NA	NA	-0.348269606196266	0.330482841899236	-0.719767912014641	0.330482841899236
PZE-101002367	1	25	6	0.23501969914247	NA	NA	-0.348017648858151	0.330490663490372	-0.725260746193423	0.330490663490372
PZE-101005818	1	26	7.3	0.208728130125073	NA	NA	-0.348110306515604	0.359521058147195	-0.804077965765342	0.359521058147195
PZE-101004337	1	27	7.7	0.189567222617644	NA	NA	-0.348201894427982	0.398146933027008	-0.804116252530065	0.398146933027008
PZE-101005765	1	28	9.2	0.204849482089265	NA	NA	-0.348028332757147	NA	-0.804054062566419	NA
PZA01022.1	1	29	9.6	0.204844317040705	NA	NA	-0.348034119501492	NA	-0.804058148830578	NA
PZE-101009312	1	30	10.6	0.0722477092212632	NA	NA	NA	NA	-0.846744317503871	NA
PZE-101007769	1	31	10.9	0.0722469914326899	NA	NA	NA	NA	-0.846745716978014	NA
PZE-101009215	1	32	11.2	0.0722462735911637	NA	NA	NA	NA	-0.846747116557713	NA
PZE-101010821	1	33	11.8	0.0722448379559655	NA	NA	NA	NA	-0.846749915630748	NA
PZE-101009528	1	34	12.3	0.045489790346941	NA	-0.900554933282949	-0.900554933282949	-0.900554933282949	-0.900554933282949	-0.900554933282949
PZE-101009163	1	35	12.5	0.0454895083026017	NA	-0.900555518131512	-0.900555518131512	-0.900555518131512	-0.900555518131512	-0.900555518131512
PZE-101010560	1	36	13	0.0352606495828037	NA	-0.922017895573065	-0.922017895573065	-0.922017895573065	-0.922017895573065	-0.922017895573065
PZE-101010917	1	37	13.5	0.0352256651362256	NA	-0.922092171407523	-0.922092171407523	-0.922092171407523	-0.922092171407523	-0.922092171407523
PZE-101012517	1	38	13.6	6.74355792400375e-05	NA	-0.967638458846028	-0.951529015823454	0.844517161453116	0.84700498142601	-0.897371103339631
PZE-101014135	1	39	13.7	6.74603098708146e-05	NA	-0.96763837384939	-0.951529065163651	0.844517742016657	0.846975621297624	-0.897370027654985
PZE-101014266	1	40	13.8	6.74850521262055e-05	NA	-0.967638288852257	-0.95152911450399	0.844518322582609	0.846946259605439	-0.897368951965267
PZE-101011048	1	41	14	0.00818915489094276	NA	-0.993698938157824	-0.993698938157824	-0.993698938157824	0.846254883675992	-0.993698938157824
PZE-101013802	1	42	15.2	0.0727908403048971	NA	NA	NA	NA	0.845686036256341	NA
PZE-101014003	1	43	15.3	0.0728059978438511	NA	NA	NA	NA	0.845656521040557	NA
PZE-101011906	1	44	15.7	0.0728666207273132	NA	NA	NA	NA	0.845538484636865	NA
PZE-101013772	1	45	16.4	0.0400783212940849	NA	NA	0.911846380833782	NA	0.911846380833782	NA
PZE-101013713	1	46	16.9	0.0408682312183944	NA	NA	0.910189390241889	NA	0.910189390241889	NA
PZE-101017581	1	47	18.7	0.265631152539193	NA	NA	-0.542461408734231	-0.542461408734231	-0.542461408734231	-0.542461408734231
PZB01915.1	1	48	19.1	0.266283541700421	NA	NA	-0.541647144949528	-0.541647144949528	-0.541647144949528	-0.541647144949528
PZE-101017463	1	49	19.5	0.103532915609019	NA	NA	-0.679821375984644	-0.679821375984644	-0.679821375984644	-0.580185957006616
PZE-101017580	1	50	19.6	0.103849058515825	NA	NA	-0.67982032314963	-0.67982032314963	-0.67982032314963	-0.579287780826798
PZE-101017487	1	51	19.9	0.110994714358824	NA	NA	-0.655682188939283	-0.655682188939283	-0.655682188939283	-0.576582467854332
PZE-101018404	1	52	20.6	0.103433461753876	NA	NA	-0.414285319067568	-0.414285319067568	0.800086171204825	-0.570595446846374
