mk.names	chr	pos.ind	pos.cM	N	p.ts	p.vs	bias
PZE-101126806	1	66	79.4	1	8.1	4.5	0.4
PZE-101130213	1	68	81.6	38	8.2	5.8	0.3
PZE-101134523	1	69	83.4	17	8.1	5.9	0.3
PZE-101136791	1	70	84.1	2	6.9	6.7	0
PZE-101189687	1	104	124.4	7	8.1	7.7	0
PZE-101187678	1	105	124.9	15	8.4	7.2	0.1
PZE-101190874	1	106	126.1	13	9.6	4	0.6
PZE-101193133	1	107	127.1	16	8.3	8.1	0
PZE-101194696	1	108	128.5	11	9.3	11.2	-0.2
PZE-101194503	1	109	129.1	2	12.9	3.2	0.8
PZE-101196778	1	110	130.2	3	9.5	6.5	0.3
PZE-101199598	1	111	131.3	6	7.3	2.6	0.6
PZE-101201013	1	114	135.2	6	6.4	3.2	0.5
PZE-101205734	1	115	136.4	2	9.2	3.1	0.7
PZE-101210733	1	119	141.1	1	8.8	-1.2	1.1
PZE-101210657	1	120	142	3	9.3	5.2	0.4
PZE-101219932	1	123	145.9	2	7.4	-3.2	1.4
PZE-101219933	1	125	147.4	1	3.6	-1	1.3
PZE-101235865	1	133	156.8	1	3.1	-2.8	1.9
PZE-102061118	2	43	58.9	1	5.3	-0.5	1.1
PZE-102072547	2	46	62.6	8	8	-1.3	1.2
PZE-102074320	2	47	63.7	5	6.4	1.8	0.7
PZE-102107953	2	52	68.8	3	6.8	2.3	0.7
PZE-102111317	2	53	70.6	6	5.3	-1	1.2
PZE-102120480	2	55	72.5	1	4.8	4.5	0.1
PZE-103104474	3	50	67.1	1	4.2	-1.2	1.3
PZD00007.1	3	52	69.5	1	5.2	4.1	0.2
PZE-103108797	3	56	73.3	1	8	-1.7	1.2
PZE-103113298	3	57	74.3	3	6.7	-0.1	1
PZE-103110385	3	58	75.4	14	6.9	-1.8	1.3
PZE-103113055	3	59	77.5	3	8.8	-2.9	1.3
PZE-103119721	3	61	79.2	2	5.4	-2.5	1.5
PZE-103119152	3	62	81.3	1	5.3	-1.5	1.3
PZE-103184380	3	115	146.9	1	4	-8.4	3.1
PZE-103185158	3	116	148.1	5	4	-0.4	1.1
PZE-103186727	3	117	149.5	1	2.9	0.6	0.8
PZE-104095745	4	56	71.5	1	4.9	-8	2.6
PZE-104105683	4	67	83.9	1	3.7	-3.8	2
PZE-104116539	4	81	102.4	4	5.8	1.2	0.8
PZE-104132368	4	88	109.2	1	7.2	-2.1	1.3
PZE-104137686	4	89	111	8	6.3	7.1	-0.1
PZE-104139877	4	90	111.9	10	6.4	7.6	-0.2
PZE-104142446	4	91	112.7	2	6	7.7	-0.3
PZE-104143542	4	92	113.9	1	6.9	5.6	0.2
PZE-104140347	4	93	115.3	52	6.9	7.4	-0.1
PZE-104149854	4	98	121.7	4	5.8	4.5	0.2
PZE-105002659	5	4	5.7	1	5.1	-3.3	1.6
PZE-105061593	5	39	58.1	1	5.4	-2.9	1.5
PZA00626.3	5	42	61.9	1	5.3	-8.1	2.5
PZE-105091639	5	45	64.5	1	5.3	-3.3	1.6
PZE-106003350	6	4	3.6	2	3.5	-2.5	1.7
PZE-106044976	6	19	21.8	1	5.5	-11.7	3.1
PZE-106051814	6	26	31.1	2	3.6	-2	1.6
PZE-107084721	7	57	77	29	7.5	6.4	0.1
PZE-107093975	7	58	77.7	41	7.6	6.5	0.1
PZE-107089497	7	59	78.8	1	4.8	3	0.4
PZE-107097289	7	60	79.9	4	8.7	3.9	0.6
PZE-107113484	7	66	88.2	4	7.4	2.1	0.7
PZE-107118905	7	69	92.9	3	5.7	1.2	0.8
PZE-108002818	8	5	6	1	3.8	-2.5	1.7
PZE-108013355	8	23	31.5	21	9	6.8	0.2
PZE-108017647	8	27	37	47	8.5	8.6	0
PZE-108020961	8	30	41.1	1	6.8	7	0
PZE-108042026	8	33	44.4	9	11.8	7.3	0.4
PZE-108042286	8	34	45.7	6	10.9	6.7	0.4
PZE-108044274	8	35	46.7	9	9	6.7	0.3
PZE-108048156	8	36	47.1	7	10.5	9.7	0.1
PZE-108063241	8	45	57.2	1	3.4	2.7	0.2
PZE-108074608	8	53	67.4	2	2.5	4.6	-0.8
PZE-108077298	8	55	69.1	1	4.7	-1.8	1.4
PZE-108110041	8	69	85.7	1	2.9	-4.1	2.4
PZE-108120405	8	78	98.2	1	3.8	-6.5	2.7
PZE-109024236	9	37	48	1	4	-11.7	3.9
PZE-109077374	9	51	63.3	7	7.3	-1.7	1.2
PZE-109085253	9	55	68.1	1	5.3	2.5	0.5
PZE-109091272	9	57	70.4	54	7.2	3.7	0.5
PZE-109096235	9	60	74.4	1	4.9	-2.3	1.5
PZE-109114072	9	82	103.4	1	2.8	-10.9	4.9
PZE-110008044	10	12	23.9	53	10.5	8.7	0.2
PZE-110009032	10	13	24	23	10.4	7.9	0.2
PZE-110009618	10	14	25.7	2	10	-1.8	1.2
PZE-110012098	10	19	32.3	1	11.4	-3.7	1.3
PZE-110014551	10	21	34.8	6	11.4	4.9	0.6
PZE-110045755	10	31	46.2	1	9.6	9.3	0
