mk.names	chr	pos.ind	pos.cM	log10pval
PZE-101000344	1	1	0.7	0.591009254068252
PZE-101000424	1	2	0.8	0.592128573641415
PZE-101000754	1	3	1.4	0.592128573641415
PZE-101000169	1	4	1.5	0.591009254068252
PZE-101001103	1	5	1.8	0.592128573641415
PZE-101000659	1	6	1.9	0.13896975277491
PZE-101001110	1	7	2.2	0.13896975277491
PZE-101000431	1	8	2.3	0.591009254068252
PZE-101000442	1	9	2.4	0.591009254068252
PZE-101000530	1	10	2.5	0.591009254068252
PZE-101001114	1	11	2.6	0.13896975277491
PZE-101001280	1	12	2.7	0.211015940300364
PZE-101000673	1	13	3	0.591009254068252
PZE-101002282	1	14	3.4	0.441453872296342
PZE-101002081	1	15	3.6	0.222256636404846
PZE-101001587	1	16	4.2	0.146018718771719
PZE-101001380	1	17	4.3	0.142216440338208
PZE-101001108	1	18	4.4	0.591009254068252
PZE-101003133	1	19	4.5	0.541023216828487
PZE-101003135	1	20	4.7	0.541023216828487
PZE-101003026	1	21	4.9	0.0713973471323177
PZE-101003031	1	22	5.6	0.179465518126152
PZA00393.1	1	23	5.7	0.329497715711145
PZE-101003115	1	24	5.9	0.179465518126152
PZE-101002367	1	25	6	0.660497463675593
PZE-101005818	1	26	7.3	0.314721713437165
PZE-101004337	1	27	7.7	0.346566515641388
PZE-101005765	1	28	9.2	0.298045226476701
PZA01022.1	1	29	9.6	0.117925770086559
PZE-101009312	1	30	10.6	0.0895156830410798
PZE-101007769	1	31	10.9	0.236188255839871
PZE-101009215	1	32	11.2	0.00622231373385378
PZE-101010821	1	33	11.8	0.0895156830410798
PZE-101009528	1	34	12.3	0.0864247445294473
PZE-101009163	1	35	12.5	0.0864247445294473
PZE-101010560	1	36	13	0.0614828045562736
PZE-101010917	1	37	13.5	0.0614828045562736
PZE-101012517	1	38	13.6	0.0654359426797487
PZE-101014135	1	39	13.7	0.410839114974018
PZE-101014266	1	40	13.8	0.410839114974018
PZE-101011048	1	41	14	0.0145753605899211
PZE-101013802	1	42	15.2	0.169794544453602
PZE-101014003	1	43	15.3	0.228828615419802
PZE-101011906	1	44	15.7	0.0337063105527958
PZE-101013772	1	45	16.4	0.0222140692093008
PZE-101013713	1	46	16.9	0.0536436744188453
PZE-101017581	1	47	18.7	0.0118842453432119
PZB01915.1	1	48	19.1	0.045693702950875
PZE-101017463	1	49	19.5	0.10175572885327
PZE-101017580	1	50	19.6	0.10175572885327
PZE-101017487	1	51	19.9	0.211697142676559
PZE-101018404	1	52	20.6	0.120819768987992
PZE-101018668	1	53	20.8	0.354711056262828
PZE-101018057	1	54	20.9	0.166406254232362
PZE-101017262	1	55	21	0.045693702950875
PZE-101018411	1	56	21.2	0.0227592931245239
PZE-101017187	1	57	21.3	0.033131127706594
PZE-101019597	1	58	21.5	0.404416562372069
PZE-101019781	1	59	21.6	0.380961701561553
PZE-101018400	1	60	21.7	0.183721535030212
PZE-101019727	1	61	21.8	0.380961701561553
PZE-101019853	1	62	21.9	0.380961701561553
PZE-101018206	1	63	22.5	0.0615107157121104
PZE-101018567	1	64	22.9	0.0615107157121104
PZE-101019726	1	65	23	0.134150310120109
PZE-101020844	1	66	23.4	0.0385512562693457
PZE-101021745	1	67	23.5	0.221313241407627
PZE-101020456	1	68	23.6	0.132088572672187
PZE-101018818	1	69	23.7	0.118059842883296
PZE-101019538	1	70	24	0.143468929147779
PZE-101022341	1	71	24.3	0.221313241407627
PZE-101019557	1	72	24.4	0.0690407929798127
PZE-101021926	1	73	25.4	0.0691386566080406
PZE-101021455	1	74	25.7	0.0691386566080406
PZE-101020931	1	75	26.9	0.0243734435889786
PZE-101021308	1	76	27.6	0.0852996633279795
PZE-101024556	1	77	28.2	0.177508005319876
PZE-101026314	1	78	28.6	0.0655675457247879
PZE-101024519	1	79	29.4	0.177508005319876
PZE-101026621	1	80	29.6	0.0857997396347952
PZE-101026386	1	81	29.7	0.176124120575511
PZE-101024452	1	82	30	0.177508005319876
PZE-101027182	1	83	30.4	0.0150317179669201
PZE-101027351	1	84	30.6	0.018814131129994
PZE-101027807	1	85	30.9	0.0150317179669201
PZE-101026218	1	86	31.5	0.11358446840886
PZE-101028121	1	87	31.6	0.0150317179669201
PZE-101029820	1	88	31.8	0.137719188693936
PZE-101028242	1	89	31.9	0.0994714452143419
PZE-101026095	1	90	32	0.11358446840886
PZE-101029587	1	91	32.1	0.137719188693936
PZE-101029707	1	92	32.2	0.018814131129994
