mk.names	chr	pos.ind	pos.cM	log10pval	F353	UH304	F252	D09	F618	D06
PZE-101000344	1	1	0.7	2.09472136196068	1	0.477072477382083	-0.0624875966290599	0.0191122606632776	0.0243170663769379	0.299986574986106
PZE-101000424	1	2	0.8	1.73408507995626	1	1	1	0.0184465400897783	1	0.0184465400897783
PZE-101000754	1	3	1.4	1.95939241069645	1	1	-0.0624875966293632	0.0184465400897884	1	0.0184465400897884
PZE-101000169	1	4	1.5	1.95939241069948	1	1	-0.0624875966290264	0.0184465400897357	1	0.0184465400897357
PZE-101001103	1	5	1.8	1.95939241069707	1	1	-0.0624875966292345	0.0184465400897945	1	0.0184465400897945
PZE-101000659	1	6	1.9	1.95939241069711	1	1	-0.0624875966292899	0.0184465400897771	1	0.0184465400897771
PZE-101001110	1	7	2.2	1.95621743043156	1	1	-0.062487596629075	0.0186012893169771	1	0.0186012893169771
PZE-101000431	1	8	2.3	1.95515207494316	1	1	-0.0624875966093951	0.0186535149362633	1	0.0186535149362633
PZE-101000442	1	9	2.4	1.95408698645183	1	1	-0.0624875965894077	0.0187058788938784	1	0.0187058788938784
PZE-101000530	1	10	2.5	1.95302218537497	1	1	-0.0624875965693756	0.018758380527249	1	0.018758380527249
PZE-101001114	1	11	2.6	2.54923947801486	1	1	-0.0624875965494869	0.0188110191685817	0.0243170663768661	0.0188110191685817
PZE-101001280	1	12	2.7	2.54823563198228	1	1	-0.0624873973950774	0.0188641899820949	0.0243170663768829	0.0188641899820949
PZE-101000673	1	13	3	2.53353902513774	1	1	-0.0567986375404578	0.0235995763761008	0.0221811693496443	0.0235995763761008
PZE-101002282	1	14	3.4	2.50793015837528	1	1	-0.0500571298103992	0.0324792727229667	0.0196203429745492	0.0324792727229667
PZE-101002081	1	15	3.6	1.95676575171226	1	1	-0.0470231929598411	1	0.0243900417499689	1
PZE-101001587	1	16	4.2	2.02414193897169	1	1	-0.039136094895599	1	0.0243916315218223	1
PZE-101001380	1	17	4.3	2.03517605021028	1	1	-0.0379844160573473	1	0.0243910079283061	1
PZE-101001108	1	18	4.4	2.08047398613907	1	1	-0.0368757065229514	1	0.0222670862964327	1
PZE-101003133	1	19	4.5	1.71789915903221	1	1	-0.0358086685544293	0.374792192682271	0.0294898489298582	0.374792192682271
PZE-101003135	1	20	4.7	1.73147105866083	1	1	-0.0337945131138082	0.38418604402883	0.0294924745703004	0.38418604402883
PZE-101003026	1	21	4.9	1.86118451826522	1	1	-0.0319319731939378	0.252224737917701	0.0294924748329849	0.252224737917701
PZE-101003031	1	22	5.6	2.33576006496707	1	1	-0.0264718907941411	0.0673638766663271	0.0294924748682257	0.0673638766663271
PZA00393.1	1	23	5.7	2.37092776157709	1	1	-0.025811758254178	0.0622651941940702	0.02949252500397	0.0622651941940702
PZE-101003115	1	24	5.9	2.37851117281715	1	1	-0.0245712862621096	0.0640942677999066	0.0294926252770094	0.0640942677999066
PZE-101002367	1	25	6	2.37463490961893	1	1	-0.0239890758905804	0.0652730917842838	0.0300223097889358	0.0652730917842838
PZE-101005818	1	26	7.3	2.20622275852561	1	1	-0.0183293440676681	0.0994108797587271	0.0431424572634326	0.0994108797587271
PZE-101004337	1	27	7.7	2.17558175974916	1	1	-0.0183300193474507	0.109376966902461	0.0431420754991693	0.109376966902461
PZE-101005765	1	28	9.2	2.09633310453068	1	1	-0.0183325539763052	1	0.043140643744729	1
PZA01022.1	1	29	9.6	2.09632232985681	1	1	-0.0183332301051553	1	0.0431402621287865	1
