mk.names	chr	pos.ind	pos.cM	log10pval	W117	UH250	Mo17	B73	EC169	F353
PZE-101000083	1	1	0	0.0557465966120922	0.444530896157017	0.658222406868103	-0.617029472431886	-0.484744760307453	0.618426518158496	NA
PZE-101000161	1	2	0.1	0.0557467193831679	0.444530151896832	-0.617029471458704	0.61842651718821	0.658222405983406	-0.484744759100749	NA
PZE-101000344	1	3	0.7	0.0557372227078748	0.444529281035238	-0.617135292036952	0.61842659224517	0.658222474419505	-0.484744852445834	NA
PZE-101000424	1	4	0.8	0.0562179940562196	0.441624898524527	-0.61714918569759	0.618422799332955	0.658219016083342	-0.48474013537151	NA
PZE-101000370	1	5	1	0.05711999776255	0.436280616417323	-0.617177543209278	0.618415720526379	0.658212561699119	-0.484731331810995	NA
PZE-101000754	1	6	1.4	0.0586485823940964	0.427518932985288	-0.617236776461428	0.618403832568343	0.658201722363841	-0.484716547443668	NA
PZE-101000169	1	7	1.5	0.0589666914668488	0.425739481169405	-0.617252150362093	0.618401375282166	0.658199481829572	-0.484713491473711	NA
PZE-101000256	1	8	1.7	0.0595198873044599	0.422678515670206	-0.617283612796468	0.618397115423322	0.658195597721722	-0.484708193771411	NA
PZE-101001094	1	9	1.8	0.0597537309950926	0.421396678870389	-0.617299707923969	0.618395319785163	0.658193960471362	-0.48470596066065	NA
PZE-101000659	1	10	1.9	0.0599601619703663	0.658192517410417	0.420279688436742	-0.484703992415322	-0.617298123346012	0.61839373712273	NA
PZE-101001110	1	11	2.2	0.0599145081858686	0.658192836372459	0.420531163188583	-0.484698221484403	-0.61729847398407	0.618394086941018	NA
PZE-101000431	1	12	2.3	0.0630851412732106	0.658170923198353	0.420495727072051	-0.464269290749283	-0.617274384700609	0.618370053729315	NA
PZE-101000442	1	13	2.4	0.066481416742205	0.658147959046189	0.42033731885398	-0.444429955358073	-0.617249140166548	0.61834486796313	NA
PZE-101000530	1	14	2.5	0.0700805841762476	0.658124151662229	0.420179951143952	-0.425207513383143	-0.617222968769847	0.618318757496542	NA
PZE-101001114	1	15	2.6	0.0738566936368846	0.658099712113974	0.420146194533119	-0.406624913659174	-0.617196102517595	0.618291953794385	NA
PZE-101001280	1	16	2.7	0.0778315490545403	0.658074534303888	0.420111368300977	-0.388700196282415	-0.617168424852114	0.618262286019145	NA
PZE-101000673	1	17	3	0.0983569579287551	0.657951976852984	0.419938690849505	-0.338924666665066	-0.617034798031692	0.55882234271397	NA
PZE-101001107	1	18	3.1	0.101879796160935	0.657932263743958	0.438183493194193	-0.323737817340076	-0.617013207266142	0.540211461206392	NA
PZE-101002282	1	19	3.4	0.109340211169206	0.690373051738341	0.506614302108094	-0.28228889039892	-0.616968753457968	0.488513334757544	NA
PZE-101002081	1	20	3.6	0.106752002721628	0.690388719377222	0.495911742100603	-0.282307711181898	-0.624724653797547	0.508466500674287	NA
PZE-101001587	1	21	4.2	0.0808658591576094	0.665720936195911	0.599308275019945	-0.282531772951131	-0.652951784069416	0.579129048878357	NA
PZE-101001380	1	22	4.3	0.0770378692236049	0.663182936773877	0.617865267114558	-0.282567192621314	-0.658301862089792	0.592289313817685	NA
PZE-101003133	1	23	4.5	0.0701991955764821	0.655639167445389	0.655910237565555	-0.669480268018201	0.619571949329919	-0.282632257855668	NA
PZE-101003135	1	24	4.7	0.0708388689036721	0.648432497459343	0.655911477766954	-0.669477357025898	0.619567518137581	-0.282625211569572	NA
PZE-101003026	1	25	4.9	0.0741747503714143	0.641650985012591	0.655895273288527	-0.669454288313562	0.593917339564403	-0.282592118320603	NA
PZE-101003031	1	26	5.6	0.080347183485831	0.622185320972969	0.718539973988569	-0.669409019805387	0.521702912584352	-0.282531135112375	NA
PZA00393.1	1	27	5.7	0.0810172588163939	0.620012593848572	0.728636786413748	-0.669403917345163	0.513984564833877	-0.282524533088907	NA
PZE-101003115	1	28	5.9	0.0800388336608003	0.616173660526051	0.749604146243136	-0.669407626372749	0.513993963721149	-0.282532833384616	NA
PZE-101002367	1	29	6	0.0795532481661868	0.614503429486579	0.760439524361371	-0.669409469908317	0.513998648368728	-0.282536966633617	NA
PZE-101005818	1	30	7.3	0.0743437223601016	0.60754318786221	0.912900333704166	-0.282581158625672	-0.66942726407715	0.514051194827055	NA
PZE-101006745	1	31	9.2	0.0962716554322985	0.607395198906321	-0.477857413182748	-0.220837330500324	0.880228899868422	0.849755962852021	NA
PZA01022.1	1	32	9.6	0.106612525299566	0.607337077336631	-0.442615722208353	-0.210942306831923	0.873487984608203	0.929901741903012	NA
PZE-101009312	1	33	10.6	0.142519354857209	0.607144846774471	-0.19061325681542	-0.871536687317815	-0.364358113077328	0.857298900868548	NA
PZE-101007769	1	34	10.9	0.156056539050727	0.607076183453145	-0.185663800850972	-0.814864704675388	-0.343721595153898	0.852689937529072	NA
PZE-101009670	1	35	11	0.155647637512606	0.625639223697659	-0.184913239987203	-0.830995077241544	-0.337171522978524	0.851195349835864	NA
PZE-101009215	1	36	11.2	0.154931769516018	0.664197494002987	-0.184015325800323	-0.864099589782242	-0.324505349395196	0.848255482670002	NA
PZE-101010821	1	37	11.8	0.153973067447988	0.790188367910874	-0.186357949017099	-0.289889882301986	-0.967521877921117	0.839859212130004	NA
PZE-101009528	1	38	12.3	0.155169053145815	0.904109576846964	-0.19427698288401	-0.264725624851608	0.9464700074263	0.833387045005965	NA
PZE-101009163	1	39	12.5	0.149193880468139	0.950979566588788	-0.199014499221948	-0.268230229179823	0.946471480391917	0.830957440971377	NA
PZE-101010560	1	40	13	0.153176471532727	-0.931315223488561	-0.198988318628149	-0.261515028965779	0.946494815429889	0.825206077164513	NA
PZE-101010917	1	41	13.5	0.187761571972369	-0.816639003480154	0.819913622873813	-0.198762773036713	-0.221939025369063	-0.787746782145056	NA
PZE-101012517	1	42	13.6	0.195234867601096	0.818918748101759	-0.794462988852997	-0.198716000919115	-0.213234043705801	-0.787719202908449	NA
PZE-101014135	1	43	13.7	0.200147044581337	0.808568338163429	-0.822692411304038	-0.198685589005974	-0.204831819453593	-0.787699187301654	NA
PZE-101014266	1	44	13.8	0.205479666448751	0.798257665718702	-0.851593607269448	-0.198652857737781	-0.196710709171838	-0.787678096364061	NA
PZE-101011048	1	45	14	0.21749736073525	0.77780003994305	-0.910601254072015	-0.19858011638103	-0.181299317987147	-0.787632538412463	NA
PZE-101013818	1	46	14.9	0.307308668718363	0.690475274385175	-0.780285040030434	-0.198068635227962	-0.124732376240334	-0.703649054904735	NA
PZE-101014003	1	47	15.3	0.354959125156982	0.65535336713695	-0.724402606924828	-0.197816511976383	-0.105638023435994	-0.667463387963916	NA
PZE-101011906	1	48	15.7	0.395757617139347	0.690787743666639	-0.671061244039081	-0.197608106368663	-0.0897187683630249	-0.632249118231143	NA
PZE-101015469	1	49	16.2	0.362830927846185	0.736805776320012	-0.609316048211362	-0.197772757844041	-0.112003682846363	-0.590124847356124	NA
PZE-101013772	1	50	16.4	0.34948260829453	0.755572952413966	-0.586272470889665	-0.197840732181216	-0.123333792744286	-0.573820264662825	NA
PZE-101013713	1	51	16.9	0.317157278153574	0.803142250517966	-0.533103573487489	-0.19800855345124	-0.1588117957413	-0.534520169647016	NA
PZE-101015471	1	52	17.3	0.331811550374943	0.833345147967369	0.614537832497226	-0.145961534779935	-0.183688903746551	-0.517133338771502	NA
PZE-101017581	1	53	18.7	0.478586526822669	0.94717049949864	0.47432647970942	-0.4845020552706	-0.108869929584356	-0.14135622474046	NA
PZE-101017779	1	54	19	0.509747171584408	0.972238798720296	0.447924265231736	-0.489616607521628	-0.102470972858874	-0.133890875784568	NA
PZB01915.1	1	55	19.1	0.520412002895725	0.969427221937796	0.439444696699633	-0.491375748652109	-0.100447338697196	-0.13151978642796	NA
PZE-101017463	1	56	19.5	0.563413365508602	0.958176527449088	0.40717518344421	-0.498686847804616	-0.0928772766586676	-0.122606480063304	NA
PZE-101017580	1	57	19.6	0.574213892317229	0.955366457194737	0.399524042333933	-0.500582940794525	-0.0911110328334391	-0.120517054577197	NA
PZE-101018214	1	58	19.7	0.585020224330157	0.952558912405022	0.392040054969492	-0.502506189465036	-0.0893933497401898	-0.118481586294093	NA
PZE-101017487	1	59	19.9	0.600040555268703	0.9469578569872	0.391912097060469	-0.50646173412724	-0.0861203950307031	-0.114593037396536	NA
PZE-101018516	1	60	20.1	0.614866908707478	0.941376523754237	0.391785477060878	-0.510524285749927	-0.0830293267054242	-0.110909659451923	NA
PZE-101018023	1	61	20.3	0.629469572219297	0.935820737857191	0.391660304540799	-0.107424521662341	-0.514692488136377	-0.080112402663806	NA
PZE-101018404	1	62	20.6	0.650891944042383	0.927547451179006	0.391475485162334	-0.0760468727555379	-0.102553171225307	-0.521139400262191	NA
PZE-101018668	1	63	20.8	0.664813127429337	0.922080295365582	0.391354371681003	-0.0735322140166038	-0.0995329007359385	-0.525564412790613	NA
PZE-101018057	1	64	20.9	0.671656037768833	0.919363252109372	0.391294478189247	-0.0723308590121766	-0.0980883168514856	-0.527814276920347	NA
PZE-101017262	1	65	21	0.674080202935172	0.916661619526171	0.391255070943557	-0.0711775420791178	-0.0984719140406409	-0.530106080031366	NA
